"","model","formula","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_50)","SElam(LandCover_NonVeg_v1_50)","lam(S150.sd_PercCanopyDensity)","SElam(S150.sd_PercCanopyDensity)","lam(S150.VPD__10.11m_Grid.1x1m.mean)","SElam(S150.VPD__10.11m_Grid.1x1m.mean)","lam(S150.VPD__150.200cm_Grid.1x1m.mean)","SElam(S150.VPD__150.200cm_Grid.1x1m.mean)","lam(Structure_Stand_CrownClosure_v1_50)","SElam(Structure_Stand_CrownClosure_v1_50)","lam(Swamp_500)","SElam(Swamp_500)","lam(Tamarack_500)","SElam(Tamarack_500)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","r2"
"1","358","~1 ~ S150.sd_PercCanopyDensity + S150.VPD__150.200cm_Grid.1x1m.mean + Tamarack_500 + 1",-2.17840121575528,0.349366216632343,NA,NA,0.891480927019486,0.236663120890743,NA,NA,-1.00623841236838,0.290875445274233,NA,NA,NA,NA,0.770621892799704,0.133610784074883,0.0525025146792615,0.301888730881471,NA,NA,0,20.761790870285,105.571191310157,5,98,221.142382620314,0,0.799518798009151,NA,0.799518798009151,0.441962272406717
"2","458","~1 ~ S150.VPD__10.11m_Grid.1x1m.mean + S150.VPD__150.200cm_Grid.1x1m.mean + Tamarack_500 + 1",-2.01621066316858,0.323895686418581,NA,NA,NA,NA,-0.686992565746545,0.193742057704083,-0.935555287559466,0.200236013957594,NA,NA,NA,NA,0.711705019274658,0.156002765592766,0.169414407846774,0.2670558224984,NA,NA,0,16.1671163454957,107.441574518915,5,98,224.88314903783,3.74076641751677,0.123177553076625,NA,0.922696351085776,0.420249604594457
"3","245","~1 ~ LandCover_NonVeg_v1_50 + S150.VPD__10.11m_Grid.1x1m.mean + S150.VPD__150.200cm_Grid.1x1m.mean + 1",-2.03147852564075,0.323621694094854,-0.898978688964464,0.262572987301726,NA,NA,-1.53841606132336,0.248368910123438,-1.58909868235503,0.334635704445862,NA,NA,NA,NA,NA,NA,0.223541932820999,0.252956822943598,NA,NA,0,23.2820723574092,108.952406806875,5,98,227.904813613749,6.76243099343549,0.0271885124443085,NA,0.949884863530084,0.402095543072131
"4","345","~1 ~ S150.sd_PercCanopyDensity + S150.VPD__10.11m_Grid.1x1m.mean + S150.VPD__150.200cm_Grid.1x1m.mean + 1",-2.03503658893493,0.330823290907035,NA,NA,0.659925869266335,0.176145008389753,-0.89397071725957,0.214113055338701,-1.02261051732795,0.238815500899632,NA,NA,NA,NA,NA,NA,0.227363688581047,0.252806663654896,NA,NA,0,12.8990272066376,108.995961033216,5,98,227.991922066431,6.84953944611749,0.0260297553748263,NA,0.97591461890491,0.401563852398254
"5","368","~1 ~ S150.sd_PercCanopyDensity + Structure_Stand_CrownClosure_v1_50 + Tamarack_500 + 1",-2.01847011164081,0.334091103109274,NA,NA,0.831299699272858,0.295470953126453,NA,NA,NA,NA,-0.473248615686635,0.208509408097867,NA,NA,0.626132950884596,0.135071346264379,0.126038334218907,0.282487977851448,NA,NA,0,22.5207405080388,110.280053511053,5,98,230.560107022107,9.41772440179287,0.00720768518307142,NA,0.983122304087982,0.385673957618599
"6","348","~1 ~ S150.sd_PercCanopyDensity + S150.VPD__10.11m_Grid.1x1m.mean + Tamarack_500 + 1",-2.13793687387759,0.370094183108437,NA,NA,1.08966031463848,0.282701198371724,-0.463543342131265,0.248959761419704,NA,NA,NA,NA,NA,NA,0.644935152416907,0.142157969556744,0.118360074606874,0.288276876265681,NA,NA,0,25.2046781096787,110.615391919209,5,98,231.230783838418,10.0884012181042,0.00515418721173948,NA,0.988276491299721,0.38145531175447
"7","138","~Julian + 1 ~ S150.sd_PercCanopyDensity + Tamarack_500 + 1",-1.95864551724463,0.334184647398185,NA,NA,1.11879249673561,0.266464056108072,NA,NA,NA,NA,NA,NA,NA,NA,0.734286850074974,0.13319400477296,-0.0302806059144633,0.302411022006692,-0.360892878385355,0.251386065004035,0,18.7506780048095,111.527309163374,5,98,233.054618326748,11.9122357064346,0.00207071134047434,NA,0.990347202640196,0.369836066244896
"8","568","~1 ~ S150.VPD__150.200cm_Grid.1x1m.mean + Structure_Stand_CrownClosure_v1_50 + Tamarack_500 + 1",-1.94231668733959,0.309291018091876,NA,NA,NA,NA,NA,NA,-0.641576879265318,0.232821448567314,-0.494122844273099,0.184706261671682,NA,NA,0.707083359531782,0.144823173351909,0.186798444567853,0.259707302656678,NA,NA,0,15.9044956613334,111.528589812037,5,98,233.057179624073,11.9147970037596,0.00206806118408752,NA,0.992415263824283,0.369819596262345
"9","38","~1 ~ S150.sd_PercCanopyDensity + Tamarack_500 + 1",-1.99332569013982,0.332197451894248,NA,NA,1.13367154915553,0.266632141722551,NA,NA,NA,NA,NA,NA,NA,NA,0.737951216419847,0.134293171597153,0.116353287793658,0.287186070966038,NA,NA,0,18.2520438436269,112.553947327191,4,98,233.107894654382,11.9655120340686,0.0020162795921389,NA,0.994431543416422,0.356493712928402
"10","238","~1 ~ LandCover_NonVeg_v1_50 + S150.sd_PercCanopyDensity + Tamarack_500 + 1",-2.00682897037526,0.335841864495378,0.183121557308331,0.130488532177956,1.05341457466423,0.277836963401148,NA,NA,NA,NA,NA,NA,NA,NA,0.76973123029275,0.137809425031602,0.126180748903691,0.284648468976185,NA,NA,0,18.7184685623419,111.764688684777,5,98,233.529377369554,12.3869947492404,0.00163315327338036,NA,0.996064696689802,0.36677584304299
"11","256","~1 ~ LandCover_NonVeg_v1_50 + S150.VPD__150.200cm_Grid.1x1m.mean + Structure_Stand_CrownClosure_v1_50 + 1",-2.16811979613706,0.354744610417853,-0.991833418522234,0.228160356623466,NA,NA,NA,NA,-0.691223087461377,0.249428558659266,-1.85591165507622,0.333292014767693,NA,NA,NA,NA,0.192242410365184,0.257581745763413,NA,NA,0,29.6201911367829,111.85284425147,5,98,233.70568850294,12.5633058826259,0.00149534522944715,NA,0.99756004191925,0.36563558836486
"12","378","~1 ~ S150.sd_PercCanopyDensity + Swamp_500 + Tamarack_500 + 1",-1.99115992481285,0.334423036116368,NA,NA,1.13077462472831,0.272486690959346,NA,NA,NA,NA,NA,NA,-0.00697442598736777,0.138613631815375,0.738540958203033,0.134713944194206,0.116938935784099,0.28703565722645,NA,NA,0,19.0464385006269,112.552667203262,5,98,235.105334406524,13.9629517862101,0.000742697946738895,NA,0.998302739865988,0.356510524296491
"13","236","~1 ~ LandCover_NonVeg_v1_50 + S150.sd_PercCanopyDensity + Structure_Stand_CrownClosure_v1_50 + 1",-2.05004276639683,0.344619236578719,-0.685217419253513,0.200456533693916,0.480287317777676,0.227039160962464,NA,NA,NA,NA,-1.60163331569145,0.354056965768508,NA,NA,NA,NA,0.201368429830472,0.259295443054043,NA,NA,0,26.6758525418807,113.552583367118,5,98,237.105166734235,15.9627841139214,0.000273246212554166,NA,0.998575986078543,0.343244288951201
"14","58","~1 ~ S150.VPD__150.200cm_Grid.1x1m.mean + Tamarack_500 + 1",-1.86335079743228,0.303417627911134,NA,NA,NA,NA,NA,NA,-0.899154273139879,0.233375105554756,NA,NA,NA,NA,0.808961244946019,0.14485640640647,0.213144770640474,0.253240185802053,NA,NA,0,13.1595107726927,114.937078868093,4,98,237.874157736186,16.7317751158722,0.000186024384624153,NA,0.998762010463167,0.324423003961801
"15","158","~Julian + 1 ~ S150.VPD__150.200cm_Grid.1x1m.mean + Tamarack_500 + 1",-1.82759697449912,0.304517174435319,NA,NA,NA,NA,NA,NA,-0.877213964960607,0.233315838300164,NA,NA,NA,NA,0.804220843193808,0.143757328677963,0.0727372813886574,0.279343939494327,-0.339598023979064,0.251342359162322,0,13.9386355832873,114.010346338512,5,98,238.020692677025,16.8783100567111,0.000172882175299131,NA,0.998934892638466,0.337080061880518
"16","168","~Julian + 1 ~ Structure_Stand_CrownClosure_v1_50 + Tamarack_500 + 1",-1.73446567687429,0.288500927777871,NA,NA,NA,NA,NA,NA,NA,NA,-0.735592486513854,0.169766806251062,NA,NA,0.55800787942083,0.124765770146562,-0.000179246343790377,0.291993969092747,-0.437367509161216,0.256211365697968,0,16.2453961491221,114.101499072929,5,98,238.202998145858,17.0606155255444,0.000157820381502098,NA,0.999092713019968,0.335845710760995
"17","268","~1 ~ LandCover_NonVeg_v1_50 + Structure_Stand_CrownClosure_v1_50 + Tamarack_500 + 1",-1.89183176461713,0.311717011533447,-0.412026226239617,0.252231914437552,NA,NA,NA,NA,NA,NA,-1.2929156259039,0.397026683926781,NA,NA,0.349834026613838,0.172253082816128,0.203431368809224,0.255389554370485,NA,NA,0,34.0217503469449,114.179746205956,5,98,238.359492411913,17.2171097915991,0.000145942167086341,NA,0.999238655187054,0.334784288626544
