"","model","formula","lam(Int)","SElam(Int)","lam(S150.VPD__11.12m_Grid.1x1m.mean)","SElam(S150.VPD__11.12m_Grid.1x1m.mean)","lam(S150.VPD__2.3m_Grid.1x1m.mean)","SElam(S150.VPD__2.3m_Grid.1x1m.mean)","lam(SpeciesGroups_Needleleaf_Spp_v1_150)","SElam(SpeciesGroups_Needleleaf_Spp_v1_150)","lam(Structure_Stand_CrownClosure_v1_150)","SElam(Structure_Stand_CrownClosure_v1_150)","lam(Tamarack_150)","SElam(Tamarack_150)","lam(Tremblingaspen_150)","SElam(Tremblingaspen_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","r2"
"1","123","~Julian + 1 ~ S150.VPD__11.12m_Grid.1x1m.mean + S150.VPD__2.3m_Grid.1x1m.mean + 1",1.21615207586447,0.713714829588338,-1.04245496545376,0.134651406769873,-0.309899962209566,0.0913669953808457,NA,NA,NA,NA,NA,NA,NA,NA,-2.97589567803985,0.759135948998805,-0.521869688424977,0.116265925847332,0,281.814222970205,214.867848704301,5,98,439.735697408602,0,0.791797266423166,NA,0.791797266423166,0.571729939787665
"2","126","~Julian + 1 ~ S150.VPD__11.12m_Grid.1x1m.mean + Tamarack_150 + 1",1.11951442001781,0.622092108394755,-0.840914085365394,0.154345688012768,NA,NA,NA,NA,NA,NA,0.234502247696384,0.0825051815525656,NA,NA,-2.86877707095907,0.662136320360596,-0.506086548848182,0.118066898021348,0,318.33322710546,216.649917785339,5,98,443.299835570679,3.56413816207709,0.133251230999016,NA,0.925048497422182,0.55586759157094
"3","125","~Julian + 1 ~ S150.VPD__11.12m_Grid.1x1m.mean + Structure_Stand_CrownClosure_v1_150 + 1",1.06162841981364,0.597885985128305,-0.862101470986886,0.152026091247885,NA,NA,NA,NA,-0.216314480443008,0.0899230149326351,NA,NA,NA,NA,-2.80647626757894,0.644383551484055,-0.54759744323653,0.118571403701711,0,256.342170025264,217.672064892322,5,98,445.344129784644,5.60843237604234,0.0479466624584833,NA,0.972995159880665,0.546505618538977
"4","236","~1 ~ S150.VPD__11.12m_Grid.1x1m.mean + S150.VPD__2.3m_Grid.1x1m.mean + Tamarack_150 + 1",0.8308925125464,0.569895385567653,-0.871539505023628,0.146766872611787,-0.352034304813069,0.0936501937403314,NA,NA,NA,NA,0.283601367617134,0.0797615003383531,NA,NA,-2.47963998373925,0.619767877195169,NA,NA,0,258.543878529213,219.187461976801,5,98,448.374923953602,8.63922654500038,0.0105348847746156,NA,0.983530044655281,0.532261512984325
"5","12","~Julian + 1 ~ S150.VPD__11.12m_Grid.1x1m.mean + 1",0.993927429665629,0.542797553090255,-0.995857191011191,0.144093081411223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.72998802006298,0.588253899075552,-0.579057041905775,0.118606979276127,0,149.463546598643,220.408618300031,4,98,448.817236600062,9.08153919145985,0.00844467264705592,NA,0.991974717302337,0.520458274682721
"6","124","~Julian + 1 ~ S150.VPD__11.12m_Grid.1x1m.mean + SpeciesGroups_Needleleaf_Spp_v1_150 + 1",0.989178419831587,0.537053299728972,-0.997098989582908,0.144298410426557,NA,NA,0.0424174850206234,0.0947854231036377,NA,NA,NA,NA,NA,NA,-2.72700906338365,0.581920135916688,-0.584161050503353,0.119183734554397,0,145.923718257329,220.304501791785,5,98,450.609003583571,10.8733061749692,0.00344751021888237,NA,0.995422227521219,0.521476135971522
"7","127","~Julian + 1 ~ S150.VPD__11.12m_Grid.1x1m.mean + Tremblingaspen_150 + 1",1.01191338030991,0.554485078585714,-1.02644989518524,0.18013143135112,NA,NA,NA,NA,NA,NA,NA,NA,0.0536541023359837,0.187973273776734,-2.74890320941888,0.600166072330043,-0.57983668592413,0.118422956276575,0,175.964373744491,220.368951225854,5,98,450.737902451708,11.0022050431062,0.00323232877607291,NA,0.998654556297292,0.520846322025563
"8","234","~1 ~ S150.VPD__11.12m_Grid.1x1m.mean + S150.VPD__2.3m_Grid.1x1m.mean + SpeciesGroups_Needleleaf_Spp_v1_150 + 1",0.559051552981974,0.453231533639655,-1.0949604646773,0.142601234734072,-0.4971928697447,0.113245277451945,0.318330746700206,0.146611420678043,NA,NA,NA,NA,NA,NA,-2.17651955314261,0.50428244097628,NA,NA,0,100.767986733014,221.963756415564,5,98,453.927512831128,14.1918154225261,0.000655994857690828,NA,0.999310551154983,0.504994723806823
"9","256","~1 ~ S150.VPD__11.12m_Grid.1x1m.mean + Structure_Stand_CrownClosure_v1_150 + Tamarack_150 + 1",0.64697505815333,0.478416752377196,-0.663039861178615,0.165796625920736,NA,NA,NA,NA,-0.27844685746321,0.102676668259568,0.272626186286469,0.0767606626593054,NA,NA,-2.27668601246797,0.530149436270804,NA,NA,0,206.980296923507,222.486695139759,5,98,454.973390279518,15.237692870916,0.000388857995107107,NA,0.99969940915009,0.49968362898812
"10","23","~1 ~ S150.VPD__11.12m_Grid.1x1m.mean + S150.VPD__2.3m_Grid.1x1m.mean + 1",0.554804466268172,0.433722522717191,-1.01665096456754,0.139590719895244,-0.340510081983379,0.0872279598499589,NA,NA,NA,NA,NA,NA,NA,NA,-2.11275000870479,0.48862554749761,NA,NA,0,90.4477787736994,224.891845109324,4,98,457.783690218649,18.0479928100472,9.53986336731111e-05,NA,0.999794807783763,0.474513062039524
