"","model","formula","lam(Int)","SElam(Int)","lam(Jackpine_500)","SElam(Jackpine_500)","lam(LandCover_NonVeg_v1_500)","SElam(LandCover_NonVeg_v1_500)","lam(S500.VPD__100.150cm_Grid.1x1m.mean)","SElam(S500.VPD__100.150cm_Grid.1x1m.mean)","lam(S500.VPD__2.3m_Grid.1x1m.mean)","SElam(S500.VPD__2.3m_Grid.1x1m.mean)","lam(S500.VPD__9.10m_Grid.1x1m.mean)","SElam(S500.VPD__9.10m_Grid.1x1m.mean)","lam(Shrub_500)","SElam(Shrub_500)","lam(Species_Pice_Gla_v1_500)","SElam(Species_Pice_Gla_v1_500)","lam(Structure_Stand_CrownClosure_v1_500)","SElam(Structure_Stand_CrownClosure_v1_500)","lam(Tremblingaspen_500)","SElam(Tremblingaspen_500)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","r2"
"1","4/5/6","~1 ~ S500.VPD__100.150cm_Grid.1x1m.mean + S500.VPD__2.3m_Grid.1x1m.mean + S500.VPD__9.10m_Grid.1x1m.mean + 1",-2.70582079234627,0.831902501488597,NA,NA,NA,NA,1.87021289654768,0.492175276379162,-1.76325378894812,0.509757716491953,-1.48349033972594,0.370875132079379,NA,NA,NA,NA,NA,NA,NA,NA,-1.65251600811571,0.955304009183567,NA,NA,0,153.573750360135,58.4099857973006,5,98,126.819971594601,0,0.258854461745051,NA,0.258854461745051,0.348454591128107
"2","4/5/10","~1 ~ S500.VPD__100.150cm_Grid.1x1m.mean + S500.VPD__2.3m_Grid.1x1m.mean + Tremblingaspen_500 + 1",-3.01328821342038,0.806716539761983,NA,NA,NA,NA,2.62833163827172,0.616239240984382,-3.16593860242626,0.709796172449028,NA,NA,NA,NA,NA,NA,NA,NA,-1.58553799081402,0.490458525009259,-1.53566179771436,0.867078615816561,NA,NA,0,73.3431081123694,59.1640753793294,5,98,128.328150758659,1.50817916405762,0.121775160533106,NA,0.380629622278156,0.338350025683365
"3","6/8/10","~1 ~ S500.VPD__9.10m_Grid.1x1m.mean + Species_Pice_Gla_v1_500 + Tremblingaspen_500 + 1",-3.15411094292436,0.762206553984205,NA,NA,NA,NA,NA,NA,NA,NA,-1.40524258351977,0.360796324740253,NA,NA,0.688494034338543,0.275511540758924,NA,NA,-1.19327672621359,0.676220439074586,-1.16956702258338,0.617370202856483,NA,NA,0,73.3487881458504,59.6109225481164,5,98,129.221845096233,2.40187350163151,0.0778924655885019,NA,0.458522087866658,0.332288625290861
"4","5/7/10","~1 ~ S500.VPD__2.3m_Grid.1x1m.mean + Shrub_500 + Tremblingaspen_500 + 1",-3.02377157549535,0.703306543232791,NA,NA,NA,NA,NA,NA,-0.827453663255424,0.218696424449895,NA,NA,-1.60674378268162,0.573476161516502,NA,NA,NA,NA,-2.11237932221629,0.577418568199838,-1.15507853350515,0.573608197358891,NA,NA,0,42.421885979386,59.7516343183218,5,98,129.503268636644,2.68329704204237,0.0676682750278539,NA,0.526190362894512,0.330368423610224
"5","6/7/10","~1 ~ S500.VPD__9.10m_Grid.1x1m.mean + Shrub_500 + Tremblingaspen_500 + 1",-3.11661772824663,0.708857647142217,NA,NA,NA,NA,NA,NA,NA,NA,-1.11326598942521,0.333986342924857,-0.956079522157183,0.524768783967603,NA,NA,NA,NA,-1.23854354663262,0.615493475731828,-1.11012514768332,0.577994385441007,NA,NA,0,61.7547851571609,59.8353012560908,5,98,129.670602512182,2.8506309175805,0.0622370524665824,NA,0.588427415361095,0.329224058659982
"6","3/8/9","~1 ~ LandCover_NonVeg_v1_500 + Species_Pice_Gla_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",-2.34917916797385,0.620045848612604,NA,NA,-1.15068478675312,0.417478549853696,NA,NA,NA,NA,NA,NA,NA,NA,1.48991835661542,0.325289041856158,-3.01433333508137,0.580794428037609,NA,NA,-1.43875990041803,0.723674606984852,NA,NA,0,66.5303857786469,60.2746982760842,5,98,130.549396552168,3.7294249575672,0.0401071050220909,NA,0.628534520383185,0.323181968783775
"7","6/8","~1 ~ S500.VPD__9.10m_Grid.1x1m.mean + Species_Pice_Gla_v1_500 + 1",-2.67620534350838,0.571620568079542,NA,NA,NA,NA,NA,NA,NA,NA,-1.73309416122822,0.314455196224087,NA,NA,0.658850514412833,0.262215896604154,NA,NA,NA,NA,-1.11311905178834,0.562574698309118,NA,NA,0,33.137712079628,61.625817702863,4,98,131.251635405726,4.43166381112491,0.0282313785657919,NA,0.656765898948977,0.304259799394619
"8","7/9/10","~1 ~ Shrub_500 + Structure_Stand_CrownClosure_v1_500 + Tremblingaspen_500 + 1",-3.07250927614676,0.676106635384391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.59035308897971,0.613777637169929,NA,NA,-0.850022111784952,0.278255750755282,-1.5531249150879,0.600698157923346,-1.02427047805008,0.530246085819878,NA,NA,0,49.2281382263472,60.6278294131203,5,98,131.255658826241,4.43568723163938,0.0281746422995538,NA,0.684940541248531,0.318286686722313
"9","1/6/8","~Julian + 1 ~ S500.VPD__9.10m_Grid.1x1m.mean + Species_Pice_Gla_v1_500 + 1",-2.64008263217969,0.560633545131854,NA,NA,NA,NA,NA,NA,NA,NA,-1.6870720545685,0.31621868489074,NA,NA,0.644734407203486,0.259033870737773,NA,NA,NA,NA,-1.10116272092448,0.547268331821096,-0.443783864888431,0.331688107445726,0,30.0350899255718,60.6499680238841,5,98,131.299936047768,4.47996445316701,0.0275577486402661,NA,0.712498289888797,0.317978613342789
"10","6/7/8","~1 ~ S500.VPD__9.10m_Grid.1x1m.mean + Shrub_500 + Species_Pice_Gla_v1_500 + 1",-2.71716484923,0.584097302350858,NA,NA,NA,NA,NA,NA,NA,NA,-1.68470053273166,0.306164314323951,-0.550341096556286,0.538126207717707,0.53678431483278,0.2924055782816,NA,NA,NA,NA,-1.15664823642721,0.574984844981663,NA,NA,0,36.2973867387918,60.9397328878059,5,98,131.879465775612,5.05949418101062,0.0206253084960189,NA,0.733123598384816,0.313933484265044
