"","model","formula","lam(Fen_150)","SElam(Fen_150)","lam(Int)","SElam(Int)","lam(S500.VPD__10.11m_Grid.1x1m.mean)","SElam(S500.VPD__10.11m_Grid.1x1m.mean)","lam(S500.VPD__100.150cm_Grid.1x1m.mean)","SElam(S500.VPD__100.150cm_Grid.1x1m.mean)","lam(S500.VPD__50.100cm_Grid.1x1m.mean)","SElam(S500.VPD__50.100cm_Grid.1x1m.mean)","lam(Species_Pice_Gla_v1_500)","SElam(Species_Pice_Gla_v1_500)","lam(SpeciesGroups_Needleleaf_Spp_v1_500)","SElam(SpeciesGroups_Needleleaf_Spp_v1_500)","lam(Structure_Stand_CrownClosure_v1_500)","SElam(Structure_Stand_CrownClosure_v1_500)","lam(Swamp_150)","SElam(Swamp_150)","lam(Tremblingaspen_150)","SElam(Tremblingaspen_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","r2"
"1","2/3/9","~1 ~ Fen_150 + S500.VPD__10.11m_Grid.1x1m.mean + Swamp_150 + 1",-128.612162223436,177.983960835496,-26.970187805365,41.7940895872246,-0.873419561399336,0.23507564561215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3106908666209,2.39869550880539,NA,NA,-4.38425405233159,0.748941525185586,NA,NA,0,2270089.43088618,70.9854022412749,5,98,151.97080448255,0,0.566222043659346,NA,0.566222043659346,0.266101624039518
"2","2/9/10","~1 ~ Fen_150 + Swamp_150 + Tremblingaspen_150 + 1",-142.866378270011,127.974787709694,-30.1729075960286,30.0746102609418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7697038914132,2.648723137756,-1.46215854457089,0.618915694758156,-4.43832029822253,0.645392399618408,NA,NA,0,922349.116495709,71.990487808169,5,98,153.980975616338,2.01017113378813,0.207244807136097,NA,0.773466850795444,0.250892485702663
"3","3/4/5","~1 ~ S500.VPD__10.11m_Grid.1x1m.mean + S500.VPD__100.150cm_Grid.1x1m.mean + S500.VPD__50.100cm_Grid.1x1m.mean + 1",NA,NA,-0.163598282423271,1.53702609240373,-0.855010442196667,0.262411200296357,-1.74954929356668,0.540520253769892,1.99072557843925,0.552574676865976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.4543130574976,1.55689968288674,NA,NA,0,351.340026782523,73.4565220404714,5,98,156.913044080943,4.94223959839289,0.0478402102916406,NA,0.821307061087085,0.228141237645502
"4","2/8/9","~1 ~ Fen_150 + Structure_Stand_CrownClosure_v1_500 + Swamp_150 + 1",-132.524185509588,161.468824013373,-27.5507194981207,37.9178392524719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.589692167721565,0.179591318648049,12.6644291005776,2.39163181282416,NA,NA,-4.44333348940169,0.63868485969042,NA,NA,0,1810829.70290756,73.6208048496592,5,98,157.241609699318,5.27080521676848,0.040592515250364,NA,0.861899576337449,0.225549075796269
"5","2/5/8","~1 ~ Fen_150 + S500.VPD__50.100cm_Grid.1x1m.mean + Structure_Stand_CrownClosure_v1_500 + 1",-13.5262140005719,222.446880833367,-3.39849556217185,52.2115719090756,NA,NA,NA,NA,0.701423321597815,0.207658317211002,NA,NA,NA,NA,-0.897439080093913,0.243363286974744,NA,NA,NA,NA,-3.02497476314287,1.09953743036718,NA,NA,0,3064096.16203284,74.7226137446549,5,98,159.44522748931,7.47442300675991,0.0134876547105135,NA,0.875387231047962,0.207937590029889
"6","5/8","~1 ~ S500.VPD__50.100cm_Grid.1x1m.mean + Structure_Stand_CrownClosure_v1_500 + 1",NA,NA,-0.374677681994425,1.02108306852855,NA,NA,NA,NA,0.736570945491523,0.210907997325283,NA,NA,NA,NA,-0.934296532125041,0.250422838447599,NA,NA,NA,NA,-2.97650941602849,1.05401043423407,NA,NA,0,119.988162107167,75.9680934903185,4,98,159.936186980637,7.96538249808717,0.0105517851645099,NA,0.885939016212472,0.18754693760898
"7","4/5/8","~1 ~ S500.VPD__100.150cm_Grid.1x1m.mean + S500.VPD__50.100cm_Grid.1x1m.mean + Structure_Stand_CrownClosure_v1_500 + 1",NA,NA,-0.181631859478646,1.20127030639119,NA,NA,-0.791249396903196,0.56342420352418,1.41409389928493,0.523953255213405,NA,NA,NA,NA,-0.767832468974534,0.288002797229076,NA,NA,NA,NA,-3.20230192578467,1.22908889823726,NA,NA,0,184.200814529073,75.0940557686463,5,98,160.188111537293,8.21730705474278,0.00930296137774187,NA,0.895241977590214,0.201910586116228
"8","5/8/10","~1 ~ S500.VPD__50.100cm_Grid.1x1m.mean + Structure_Stand_CrownClosure_v1_500 + Tremblingaspen_150 + 1",NA,NA,-0.518490304681913,1.01164785085512,NA,NA,NA,NA,0.628808554643295,0.225222902677039,NA,NA,NA,NA,-0.811137542954258,0.259721069107431,NA,NA,-0.507220003605305,0.445423548641278,-2.94114637605132,1.02237065179679,NA,NA,0,130.112923490089,75.1352495648374,5,98,160.270499129675,8.29969464712494,0.00892752303751934,NA,0.904169500627733,0.201239358444216
"9","3/5/8","~1 ~ S500.VPD__10.11m_Grid.1x1m.mean + S500.VPD__50.100cm_Grid.1x1m.mean + Structure_Stand_CrownClosure_v1_500 + 1",NA,NA,-0.487797755613318,1.00962564555105,-0.367316063541902,0.358007006664523,NA,NA,0.607841740873614,0.243906651323144,NA,NA,NA,NA,-0.669533764227132,0.355661625526548,NA,NA,NA,NA,-2.90306424193606,1.0385792789546,NA,NA,0,166.2837453206,75.4191309244077,5,98,160.838261848815,8.86745736626543,0.00672113891399991,NA,0.910890639541733,0.196598309987315
"10","2/5/9","~1 ~ Fen_150 + S500.VPD__50.100cm_Grid.1x1m.mean + Swamp_150 + 1",-121.806574928361,31.8030092099411,-25.0407749500746,7.55068602337219,NA,NA,NA,NA,0.548536636539536,0.241711689101629,NA,NA,NA,NA,NA,NA,12.2878873346511,2.40317341317554,NA,NA,-4.45746255000518,0.66829490215886,NA,NA,1,58474.3538132649,75.4785080418688,5,98,160.957016083738,8.9862116011877,0.00633367416111706,NA,0.91722431370285,0.195624175470472
