"","model","formula","lam(Int)","SElam(Int)","lam(S150.VPD__5.6m_Grid.1x1m.mean)","SElam(S150.VPD__5.6m_Grid.1x1m.mean)","lam(Species_Abie_Bal_v1_500)","SElam(Species_Abie_Bal_v1_500)","lam(SpeciesGroups_Needleleaf_Spp_v1_500)","SElam(SpeciesGroups_Needleleaf_Spp_v1_500)","lam(Whitespruce_150)","SElam(Whitespruce_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","r2"
"1","123","~Julian + 1 ~ S150.VPD__5.6m_Grid.1x1m.mean + Species_Abie_Bal_v1_500 + 1",0.25062855855099,0.271649555657092,0.504483308011311,0.147133555316896,0.27018830624256,0.109265917886771,NA,NA,NA,NA,-2.07325209242247,0.346980278290521,-1.10496198278062,0.194865000842487,0,19.6120358797063,171.510187239234,5,98,353.020374478468,0,0.404902180565105,NA,0.404902180565105,0.378604687358093
"2","124","~Julian + 1 ~ S150.VPD__5.6m_Grid.1x1m.mean + SpeciesGroups_Needleleaf_Spp_v1_500 + 1",0.205547685727834,0.278476039944654,0.522679449525576,0.163788480920054,NA,NA,0.322211011325436,0.185335369519245,NA,NA,-2.03529527565361,0.354816845568574,-1.07970251877221,0.195382640082074,0,17.9204995248163,172.032237315276,5,98,354.064474630551,1.04410015208299,0.240229672003665,NA,0.64513185256877,0.371948897294059
"3","125","~Julian + 1 ~ S150.VPD__5.6m_Grid.1x1m.mean + Whitespruce_150 + 1",0.124892790173944,0.282060848778241,0.446824027797114,0.148947909350999,NA,NA,NA,NA,-0.605021485293203,0.521665519524442,-1.96144662088581,0.339750775859649,-1.03834790751343,0.191929957021802,0,27.2782193148037,172.395624163229,5,98,354.791248326458,1.77087384798989,0.167035870784738,NA,0.812167723353508,0.367273920288674
"4","12","~Julian + 1 ~ S150.VPD__5.6m_Grid.1x1m.mean + 1",0.196944511317815,0.260370864830793,0.4888445708685,0.147845620590362,NA,NA,NA,NA,NA,NA,-1.95482850572398,0.333049297695122,-1.04965890860626,0.19218665415743,0,15.2549270974272,173.763181179949,4,98,355.526362359899,2.5059878814302,0.115659620059785,NA,0.927827343413293,0.349366227878102
"5","134","~Julian + 1 ~ Species_Abie_Bal_v1_500 + SpeciesGroups_Needleleaf_Spp_v1_500 + 1",0.179537650136193,0.248698239665451,NA,NA,0.338777784983113,0.107082351802679,0.474619535329104,0.200191587571414,NA,NA,-1.94186303719361,0.320035077083687,-1.105172726345,0.19854311630839,0,16.5955887562753,173.810249370919,5,98,357.620498741839,4.60012426337016,0.0405925022853785,NA,0.968419845698672,0.348740944862754
"6","135","~Julian + 1 ~ Species_Abie_Bal_v1_500 + Whitespruce_150 + 1",0.0760243400334823,0.259248373693101,NA,NA,0.254045974283294,0.112547630447825,NA,NA,-0.787895027766887,0.535067952604166,-1.87156892048902,0.313258289837526,-1.05868935795461,0.195998803845856,0,29.4041827481476,175.007750235835,5,98,360.015500471671,6.99512599320246,0.0122568199399188,NA,0.980676665638591,0.332628881739647
"7","145","~Julian + 1 ~ SpeciesGroups_Needleleaf_Spp_v1_500 + Whitespruce_150 + 1",0.0296778572137702,0.260191660997045,NA,NA,NA,NA,0.331352721211354,0.204998215033263,-0.709563500811798,0.556893096533025,-1.81149248026801,0.307207530711968,-1.03138209824659,0.195191530516063,0,26.1000156801812,175.467338124613,5,98,360.934676249225,7.91430177075682,0.00774071935407764,NA,0.988417384992668,0.32633993098532
"8","15","~Julian + 1 ~ Whitespruce_150 + 1",0.0318372754775102,0.249718273795554,NA,NA,NA,NA,NA,NA,-0.753355647170985,0.522384827648382,-1.7631809678664,0.298056693885851,-1.00544529351772,0.19315137347172,0,21.8619268615224,176.923644789053,4,98,361.847289578107,8.82691509963837,0.00490467071695961,NA,0.993322055709628,0.3060178919858
"9","14","~Julian + 1 ~ SpeciesGroups_Needleleaf_Spp_v1_500 + 1",0.118176300099977,0.233253250348228,NA,NA,NA,NA,0.346486704946693,0.189355325093184,NA,NA,-1.78994716272773,0.300110152697898,-1.03006190038365,0.194800226696603,0,10.1361152558219,177.194359844646,4,98,362.388719689291,9.36834521082284,0.00374144875121097,NA,0.997063504460839,0.302173170808046
"10","13","~Julian + 1 ~ Species_Abie_Bal_v1_500 + 1",0.15558834663055,0.231777989426829,NA,NA,0.245544477161679,0.111769778487588,NA,NA,NA,NA,-1.82547730774911,0.302857870298653,-1.05034631415315,0.195858682840089,0,12.7649658176552,177.43661587082,4,98,362.87323174164,9.85285726317198,0.00293649553916123,NA,1,0.298714571979447
