"","model","formula","lam(Int)","SElam(Int)","lam(S500.mean_MaxHeight)","SElam(S500.mean_MaxHeight)","lam(Species_Sali_Spp_v1_500)","SElam(Species_Sali_Spp_v1_500)","lam(Structure_Biomass_TotalLiveAboveGround_v1_500)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_500)","lam(Structure_Stand_CrownClosure_v1_500)","SElam(Structure_Stand_CrownClosure_v1_500)","lam(Tremblingaspen_500)","SElam(Tremblingaspen_500)","lam(Whitebirch_500)","SElam(Whitebirch_500)","lam(Whitespruce_500)","SElam(Whitespruce_500)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","r2"
"1","367","~1 ~ Species_Sali_Spp_v1_500 + Tremblingaspen_500 + Whitebirch_500 + 1",-1.10195839467393,0.664235093947984,NA,NA,-1.64710093509801,1.28521667199344,NA,NA,NA,NA,1.03096619860633,0.204198290852019,-0.665131485621738,0.236113397026194,NA,NA,-1.74831480039978,0.510197738096165,NA,NA,0,213.542772781841,126.935198112919,5,98,263.870396225839,0,0.359991727419559,NA,0.359991727419559,0.320429227329532
"2","678","~1 ~ Tremblingaspen_500 + Whitebirch_500 + Whitespruce_500 + 1",-0.505300173111111,0.480181392771886,NA,NA,NA,NA,NA,NA,NA,NA,1.00297829764662,0.21731735494542,-0.651874493830123,0.247670209810974,0.199948603615817,0.101728183263557,-1.87047238802028,0.549112427239275,NA,NA,0,111.577069092859,127.703977071122,5,98,265.407954142245,1.53755791640583,0.166884522899895,NA,0.526876250319455,0.309683112989743
"3","167","~Julian + 1 ~ Tremblingaspen_500 + Whitebirch_500 + 1",-0.417853705680894,0.462454605231415,NA,NA,NA,NA,NA,NA,NA,NA,1.08080954613548,0.196788373506582,-0.631977244611296,0.249791786323773,NA,NA,-1.99670939794361,0.52168534954082,0.351919739150379,0.226169558083102,0,52.5732993730208,128.307459982655,5,98,266.61491996531,2.74452373947133,0.0912697294333665,NA,0.618145979752821,0.30112861517215
"4","168","~Julian + 1 ~ Tremblingaspen_500 + Whitespruce_500 + 1",0.135895804929579,0.632992311914554,NA,NA,NA,NA,NA,NA,NA,NA,0.502482693351921,0.156258514996926,NA,NA,0.348323509924063,0.106530404805196,-2.56771302384986,0.701713269288346,0.592100557101878,0.19700472042788,0,221.853299050288,128.408393516259,5,98,266.816787032518,2.94639080667923,0.0825072071118347,NA,0.700653186864656,0.299687548653667
"5","67","~1 ~ Tremblingaspen_500 + Whitebirch_500 + 1",-0.639026869264308,0.413722402940246,NA,NA,NA,NA,NA,NA,NA,NA,1.14850268226399,0.197823039700042,-0.701943806813917,0.240295683431779,NA,NA,-1.68880326219887,0.479475547291521,NA,NA,0,39.3602040811426,129.445657152018,4,98,266.891314304036,3.02091807819698,0.0794892675119674,NA,0.780142454376623,0.28470486042237
"6","138","~Julian + 1 ~ Species_Sali_Spp_v1_500 + Whitespruce_500 + 1",-0.293422647680379,0.747995428900174,NA,NA,-1.57894910468257,1.1131387205109,NA,NA,NA,NA,NA,NA,NA,NA,0.490867586975067,0.0953326127053227,-2.50553660268782,0.693354099848734,0.598776119939993,0.201264218526155,0,286.816573506119,129.102970894217,5,98,268.205941788435,4.33554556259617,0.041194644930718,NA,0.821337099307341,0.289689894456615
"7","467","~1 ~ Structure_Biomass_TotalLiveAboveGround_v1_500 + Tremblingaspen_500 + Whitebirch_500 + 1",-0.641303101946272,0.415396157865743,NA,NA,NA,NA,-0.126273194524384,0.173893660378562,NA,NA,1.17090200442618,0.198829871775462,-0.717792377492061,0.238228813955795,NA,NA,-1.6878643103336,0.481809583447287,NA,NA,0,40.1827198460316,129.174890641956,5,98,268.349781283913,4.47938505807412,0.0383359662745311,NA,0.859673065581872,0.288646571350562
"8","267","~1 ~ S500.mean_MaxHeight + Tremblingaspen_500 + Whitebirch_500 + 1",-0.616425329906822,0.423439955277572,-0.106128527719181,0.220772177782001,NA,NA,NA,NA,NA,NA,1.21044100988795,0.232950726045155,-0.699378996345753,0.23685776469337,NA,NA,-1.71466244129153,0.490279940274296,NA,NA,0,51.3789212063269,129.33068160929,5,98,268.66136321858,4.79096699274089,0.0328055449818121,NA,0.892478610563684,0.286381289708305
"9","567","~1 ~ Structure_Stand_CrownClosure_v1_500 + Tremblingaspen_500 + Whitebirch_500 + 1",-0.646249672118567,0.413139133876225,NA,NA,NA,NA,NA,NA,0.0846996569837928,0.197203984779912,1.12152988835855,0.208627612034766,-0.690341278096053,0.241127171937629,NA,NA,-1.68999234217009,0.477051029923823,NA,NA,0,42.5329359424993,129.35333190152,5,98,268.706663803041,4.83626757720191,0.0320708418321929,NA,0.924549452395877,0.286051342591148
"10","368","~1 ~ Species_Sali_Spp_v1_500 + Tremblingaspen_500 + Whitespruce_500 + 1",-0.831307428282754,0.640647288699791,NA,NA,-1.5115040832293,1.13992000953926,NA,NA,NA,NA,0.416207534130359,0.150718303144244,NA,NA,0.290254253771412,0.103731066380088,-1.82197326400339,0.555463506315587,NA,NA,0,326.330798684303,129.854809958286,5,98,269.709619916572,5.83922369073309,0.0194232190068148,NA,0.943972671402692,0.278707099064653
"11","136","~Julian + 1 ~ Species_Sali_Spp_v1_500 + Tremblingaspen_500 + 1",-0.679334829867068,0.649370530671623,NA,NA,-1.55449396945159,1.19788676650157,NA,NA,NA,NA,0.596840645148878,0.144086856198508,NA,NA,NA,NA,-2.10637531454525,0.533436954761366,0.521933520988849,0.212956428813748,0,197.702656759443,130.313410227542,5,98,270.626820455083,6.7564242292446,0.0122787354026226,NA,0.956251406805315,0.271924692956361
"12","128","~Julian + 1 ~ S500.mean_MaxHeight + Whitespruce_500 + 1",0.0219514955918605,0.517368749905115,0.374712621380343,0.169023115837388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.498821828500958,0.0975621821599139,-2.39542167727847,0.586294161106781,0.627935106947826,0.201211559369473,0,111.889922824345,130.585380463372,5,98,271.170760926745,7.30036470090585,0.00935488532353025,NA,0.965606292128845,0.267872338607892
"13","68","~1 ~ Tremblingaspen_500 + Whitespruce_500 + 1",-0.437464135190724,0.426795318493418,NA,NA,NA,NA,NA,NA,NA,NA,0.503325586581099,0.144451748289422,NA,NA,0.304967583691495,0.103919511217762,-1.74487320838157,0.507972690957377,NA,NA,0,89.273792585808,132.717285875712,4,98,273.434571751424,9.56417552558491,0.00301618651176204,NA,0.968622478640607,0.235315620187519
"14","238","~1 ~ S500.mean_MaxHeight + Species_Sali_Spp_v1_500 + Whitespruce_500 + 1",-0.920866745810221,0.604060225637356,0.290974254944832,0.1810852410279,-1.59022074520092,1.16064385219705,NA,NA,NA,NA,NA,NA,NA,NA,0.389079010893909,0.0976542849325217,-1.67523299638218,0.485027665982785,NA,NA,0,262.5683087148,131.912371542692,5,98,273.824743085384,9.95434685954501,0.00248161019588143,NA,0.971104088836488,0.247774346438775
"15","18","~Julian + 1 ~ Whitespruce_500 + 1",0.123026553598546,0.529607264802395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.550073394556779,0.0927309230767182,-2.43774999015748,0.608755993064188,0.656486617008921,0.20017491240304,0,117.469416783321,132.947009970298,4,98,273.894019940596,10.0236237147576,0.00239712282294565,NA,0.973501211659434,0.231722174170162
