"","model","formula","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_150)","SElam(LandCover_NonVeg_v1_150)","lam(S150.mean_MaxHeight)","SElam(S150.mean_MaxHeight)","lam(S150.VPD__100.150cm_Grid.1x1m.mean)","SElam(S150.VPD__100.150cm_Grid.1x1m.mean)","lam(S150.VPD__150.200cm_Grid.1x1m.mean)","SElam(S150.VPD__150.200cm_Grid.1x1m.mean)","lam(Shrub_150)","SElam(Shrub_150)","lam(Structure_Biomass_TotalLiveAboveGround_v1_150)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_150)","lam(Structure_Stand_CrownClosure_v1_150)","SElam(Structure_Stand_CrownClosure_v1_150)","lam(Tamarack_150)","SElam(Tamarack_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","r2"
"1","269","~1 ~ LandCover_NonVeg_v1_150 + Shrub_150 + Tamarack_150 + 1",0.806123334419472,0.900274339363708,-1.55881179883455,1.22424923477756,NA,NA,NA,NA,NA,NA,0.40635567949924,0.168827087683779,NA,NA,NA,NA,0.789685824068525,0.174563799941734,-4.76328442176946,0.79870077768906,NA,NA,0,653.01903949235,58.5998442240444,5,98,127.199688448089,0,0.165760468378468,NA,0.165760468378468,0.247792437643921
"2","69","~1 ~ Shrub_150 + Tamarack_150 + 1",1.07210938712744,0.833044044464816,NA,NA,NA,NA,NA,NA,NA,NA,0.22488802149518,0.0832115088233964,NA,NA,NA,NA,0.732477733887975,0.163794801182427,-4.70621739656445,0.776889549580676,NA,NA,0,493.44648248834,59.9096452435702,4,98,127.81929048714,0.619602039051685,0.121600704753267,NA,0.287361173131736,0.227414306522192
"3","679","~1 ~ Shrub_150 + Structure_Biomass_TotalLiveAboveGround_v1_150 + Tamarack_150 + 1",1.0062337831146,0.829416144178226,NA,NA,NA,NA,NA,NA,NA,NA,0.247115560988631,0.0858900166834654,0.421033028643076,0.322938358235255,NA,NA,0.821423599969791,0.184279027797827,-4.71097670892087,0.765949202665827,NA,NA,0,500.542481788659,59.0608004495421,5,98,128.121600899084,0.921912450995492,0.104541859357334,NA,0.39190303248907,0.240682829507916
"4","469","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + Shrub_150 + Tamarack_150 + 1",1.0241804979604,0.800661749383069,NA,NA,NA,NA,0.288058800059118,0.281082841342652,NA,NA,0.248801560518101,0.0861203419099636,NA,NA,NA,NA,0.678865343874113,0.168314771666883,-4.68656037155956,0.737976557200525,NA,NA,0,494.922457515783,59.3984941105153,5,98,128.796988221031,1.59729977294187,0.0745816052389969,NA,0.466484637728067,0.235431764150935
"5","459","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__150.200cm_Grid.1x1m.mean + Tamarack_150 + 1",1.0927267366325,0.787134840871687,NA,NA,NA,NA,1.25931133871392,0.525091778581386,-1.42004154625084,0.572555218887481,NA,NA,NA,NA,NA,NA,0.714380677636707,0.177625130285437,-4.79043099256594,0.706400929818612,NA,NA,0,182.683575233703,59.3991097102335,5,98,128.798219420467,1.59853097237833,0.0745357069527622,NA,0.541020344680829,0.235422158621401
"6","369","~1 ~ S150.mean_MaxHeight + Shrub_150 + Tamarack_150 + 1",1.05062735693971,0.839499999705464,NA,NA,-0.179677537024966,0.370346846285755,NA,NA,NA,NA,0.200689812828485,0.0962334020246677,NA,NA,NA,NA,0.689848524419208,0.183307210658063,-4.7044327855912,0.780915756566706,NA,NA,0,518.315342006035,59.788738057647,5,98,129.577476115294,2.37778766720531,0.0504836716889949,NA,0.591504016369824,0.229318306748559
"7","569","~1 ~ S150.VPD__150.200cm_Grid.1x1m.mean + Shrub_150 + Tamarack_150 + 1",1.06072376751634,0.824452155330867,NA,NA,NA,NA,NA,NA,0.128171309318737,0.330251483956425,0.249747495268026,0.105442882248463,NA,NA,NA,NA,0.713414163077458,0.168680233613481,-4.69903715185245,0.766436968372204,NA,NA,0,501.618029745992,59.8346105273826,5,98,129.669221054765,2.46953260667654,0.0482201740078805,NA,0.639724190377705,0.228596477644311
"8","169","~Julian + 1 ~ Shrub_150 + Tamarack_150 + 1",0.992980298146241,0.851531528228471,NA,NA,NA,NA,NA,NA,NA,NA,0.235841838806599,0.0895970768424015,NA,NA,NA,NA,0.731409023797096,0.163668823615098,-4.62448007946213,0.796989864174235,0.094362937523579,0.269764744845684,0,543.995445561965,59.8476237041193,5,98,129.695247408239,2.49555896014998,0.047596741577232,NA,0.687320931954936,0.228391584920529
"9","689","~1 ~ Shrub_150 + Structure_Stand_CrownClosure_v1_150 + Tamarack_150 + 1",1.07264487178525,0.83361284959691,NA,NA,NA,NA,NA,NA,NA,NA,0.222636837781891,0.0847551992635915,NA,NA,-0.0464808489252724,0.327757174097697,0.720161950159133,0.184407256009127,-4.70925845921313,0.777492559831872,NA,NA,0,502.90501215583,59.8997458279949,5,98,129.79949165599,2.59980320790099,0.0451794429213424,NA,0.732500374876279,0.227570375385988
"10","379","~1 ~ S150.mean_MaxHeight + Structure_Biomass_TotalLiveAboveGround_v1_150 + Tamarack_150 + 1",1.20572608972414,0.985519356263204,NA,NA,-0.658092124918354,0.402658098479795,NA,NA,NA,NA,NA,NA,0.475378698398231,0.313141068003908,NA,NA,0.737245924825191,0.177760199124519,-4.9805685956804,0.893484247914424,NA,NA,0,228.744362839375,60.5059069757758,5,98,131.011813951552,3.81212550346298,0.0246427079446541,NA,0.757143082820933,0.21795558198127
"11","9","~1 ~ Tamarack_150 + 1",1.4483943175873,2.19912537555549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78278689855908,0.150604322186084,-5.00756468253048,2.19516143046593,NA,NA,0,1005.01346497793,62.5410707448906,3,98,131.082141489781,3.88245304169253,0.023791235673944,NA,0.780934318494877,0.1847902077336
"12","39","~1 ~ S150.mean_MaxHeight + Tamarack_150 + 1",1.36298785349884,1.0367384424384,NA,NA,-0.462808289388555,0.35974413864567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.678022215724601,0.166557502152911,-5.03052234079846,0.966455908726959,NA,NA,0,248.207495018457,61.6450123677423,4,98,131.290024735485,4.09033628739589,0.02144251516262,NA,0.802376833657497,0.19956239186326
"13","789","~1 ~ Structure_Biomass_TotalLiveAboveGround_v1_150 + Structure_Stand_CrownClosure_v1_150 + Tamarack_150 + 1",1.28474201444541,2.29976740025144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.753750005878314,0.440805604386427,-0.696313917524903,0.461322494948082,0.739284008679311,0.171009886223496,-4.97319087151843,2.2886662351418,NA,NA,0,1217.92485095125,60.8845829945562,5,98,131.769165989112,4.56947754102366,0.0168745237510038,NA,0.819251357408501,0.21188846518626
"14","79","~1 ~ Structure_Biomass_TotalLiveAboveGround_v1_150 + Tamarack_150 + 1",1.04327742190973,6.48565975592587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.309218632643496,0.309324764241544,NA,NA,0.846178728271907,0.169433817859737,-4.63396854414786,6.58331802950402,NA,NA,0,8880.54156938255,62.0415989190993,4,98,132.083197838199,4.88350939010984,0.0144224942671382,NA,0.833673851675639,0.193057679795038
"15","239","~1 ~ LandCover_NonVeg_v1_150 + S150.mean_MaxHeight + Tamarack_150 + 1",1.33196745191615,1.20303040060284,-0.39257035569521,0.535348183902372,-0.624524970562015,0.417916283196922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.648643364289288,0.170677272667086,-5.0605305804117,1.14295444087233,NA,NA,0,326.967285578094,61.2371467327045,5,98,132.474293465409,5.27460501732035,0.0118608288351691,NA,0.845534680510808,0.2061974126331
"16","59","~1 ~ S150.VPD__150.200cm_Grid.1x1m.mean + Tamarack_150 + 1",1.56593836263718,1.24632525927594,NA,NA,NA,NA,NA,NA,-0.225236563844628,0.287885090906746,NA,NA,NA,NA,NA,NA,0.822252592643404,0.162800348330594,-5.16088015772122,1.20778046856191,NA,NA,0,328.181981660601,62.2384713429096,4,98,132.476942685819,5.2772542377305,0.0118451282611194,NA,0.857379808771928,0.18980902138806
"17","359","~1 ~ S150.mean_MaxHeight + S150.VPD__150.200cm_Grid.1x1m.mean + Tamarack_150 + 1",1.47909500934454,1.00486667800854,NA,NA,-0.439599800540663,0.341885940225972,NA,NA,-0.20997642889325,0.266352234375534,NA,NA,NA,NA,NA,NA,0.708578637191084,0.177095419705608,-5.15421176158553,0.93619399169684,NA,NA,0,234.001657302617,61.3397688684423,5,98,132.679537736885,5.47984928879593,0.0107040175216659,NA,0.868083826293593,0.204533186504883
"18","49","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + Tamarack_150 + 1",1.42602455070147,1.95720341314745,NA,NA,NA,NA,0.128796741824805,0.261233761812857,NA,NA,NA,NA,NA,NA,NA,NA,0.756757097388862,0.157702503850246,-4.98703735866744,1.9462902413889,NA,NA,0,839.144682363176,62.4212987182553,4,98,132.842597436511,5.64290898842187,0.00986594857545349,NA,0.877949774869047,0.186780413751842
