"","model","formula","lam(Int)","SElam(Int)","lam(S500.VPD__100.150cm_Grid.1x1m.mean)","SElam(S500.VPD__100.150cm_Grid.1x1m.mean)","lam(S500.VPD__150.200cm_Grid.1x1m.mean)","SElam(S500.VPD__150.200cm_Grid.1x1m.mean)","lam(S500.VPD__2.3m_Grid.1x1m.mean)","SElam(S500.VPD__2.3m_Grid.1x1m.mean)","lam(Shrub_500)","SElam(Shrub_500)","lam(Species_Sali_Spp_v1_500)","SElam(Species_Sali_Spp_v1_500)","lam(SpeciesGroups_Broadleaf_Spp_v1_500)","SElam(SpeciesGroups_Broadleaf_Spp_v1_500)","lam(Water_500)","SElam(Water_500)","lam(Whitespruce_50)","SElam(Whitespruce_50)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","r2"
"1","56","~1 ~ Shrub_500 + Species_Sali_Spp_v1_500 + 1",1.40986790469509,0.474991714839569,NA,NA,NA,NA,NA,NA,0.142896137508075,0.0791013509877307,-0.314441444006459,0.12676191112628,NA,NA,NA,NA,NA,NA,-2.17030965489774,0.534854237389873,NA,NA,0,123.813898444125,326.225651704324,4,98,660.451303408648,0,0.0839535667622804,NA,0.0839535667622804,0.0941392995721925
"2","234","~1 ~ S500.VPD__100.150cm_Grid.1x1m.mean + S500.VPD__150.200cm_Grid.1x1m.mean + S500.VPD__2.3m_Grid.1x1m.mean + 1",1.41534057382246,0.47139697536258,1.47745674816085,0.495665011345175,-3.06262586897532,0.929935601439196,1.67612979749014,0.512313559435201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.17845345214419,0.528810900450847,NA,NA,0,456.292461193028,325.480167933858,5,98,660.960335867715,0.509032459067498,0.0650884842178991,NA,0.14904205098018,0.107816715441298
"3","568","~1 ~ Shrub_500 + Species_Sali_Spp_v1_500 + Water_500 + 1",1.42328438398271,0.482252826965081,NA,NA,NA,NA,NA,NA,0.161449358914949,0.0793378539864637,-0.282189518206358,0.130461096442628,NA,NA,-0.118690246699054,0.110032384137265,NA,NA,-2.19079487191794,0.541684766325387,NA,NA,0,129.298398656434,325.530718007441,5,98,661.061436014881,0.610132606233492,0.0618800334489244,NA,0.210922084429104,0.106895833767825
"4","6","~1 ~ Species_Sali_Spp_v1_500 + 1",1.42622009644829,0.471275899666213,NA,NA,NA,NA,NA,NA,NA,NA,-0.281308343663572,0.122717630779506,NA,NA,NA,NA,NA,NA,-2.17588710985948,0.531112564743693,NA,NA,0,120.42535247077,327.704605328442,3,98,661.409210656884,0.957907248236097,0.0520034595017566,NA,0.262925543930861,0.0663811523067996
"5","569","~1 ~ Shrub_500 + Species_Sali_Spp_v1_500 + Whitespruce_50 + 1",1.40598251004131,0.473723845870529,NA,NA,NA,NA,NA,NA,0.143448123223094,0.078876278245895,-0.321175190967471,0.127223604707346,NA,NA,NA,NA,-0.0951976495772784,0.117005788015407,-2.16999949871929,0.533015499898198,NA,NA,0,123.313578786967,325.803494876223,5,98,661.606989752445,1.15568634379781,0.0471069570163189,NA,0.310032500947179,0.101910170218702
"6","567","~1 ~ Shrub_500 + Species_Sali_Spp_v1_500 + SpeciesGroups_Broadleaf_Spp_v1_500 + 1",1.45565453971062,0.501021183910777,NA,NA,NA,NA,NA,NA,0.156859947040675,0.0803039816029312,-0.329834980146776,0.127261823809108,0.080542617096402,0.0875465954290466,NA,NA,NA,NA,-2.22336124406887,0.561256599015396,NA,NA,0,139.42705359892,325.817594847091,5,98,661.635189694183,1.18388628553521,0.0464474110113511,NA,0.356479911958531,0.101651703636342
"7","456","~1 ~ S500.VPD__2.3m_Grid.1x1m.mean + Shrub_500 + Species_Sali_Spp_v1_500 + 1",1.42155564865408,0.484267284284554,NA,NA,NA,NA,0.0732683884764161,0.093265934759472,0.166080903186211,0.0839411334362298,-0.311678620959814,0.126619573822972,NA,NA,NA,NA,NA,NA,-2.18634779712438,0.544346444478374,NA,NA,0,129.306919383758,325.915673133925,5,98,661.83134626785,1.38004285920226,0.042108197629151,NA,0.398588109587682,0.0998517709915173
"8","256","~1 ~ S500.VPD__100.150cm_Grid.1x1m.mean + Shrub_500 + Species_Sali_Spp_v1_500 + 1",1.41967449261013,0.480850186293486,0.061084502548816,0.0911714840610952,NA,NA,NA,NA,0.157298945945542,0.0815381708643044,-0.316099894600093,0.126438262348032,NA,NA,NA,NA,NA,NA,-2.18345161468806,0.540731539004616,NA,NA,0,127.339452202255,326.000652797022,5,98,662.001305594045,1.55000218539692,0.0386776833726635,NA,0.437265792960345,0.0982893084850263
"9","356","~1 ~ S500.VPD__150.200cm_Grid.1x1m.mean + Shrub_500 + Species_Sali_Spp_v1_500 + 1",1.41503747036438,0.478762001679753,NA,NA,0.045787733574446,0.0926923735305672,NA,NA,0.156798154739551,0.0836819801170018,-0.314972870630122,0.12657550358822,NA,NA,NA,NA,NA,NA,-2.1773049932025,0.538719118661318,NA,NA,0,126.632284733256,326.103334289961,5,98,662.206668579921,1.75536517127341,0.0349032966184838,NA,0.472169089578829,0.0963977558358322
"10","156","~Julian + 1 ~ Shrub_500 + Species_Sali_Spp_v1_500 + 1",1.41450697438895,0.481230962130541,NA,NA,NA,NA,NA,NA,0.141460163682884,0.0816461341492122,-0.315139183059362,0.127156892204512,NA,NA,NA,NA,NA,NA,-2.17564195113873,0.5417570061774,-0.00723579829868495,0.102193189007232,0,127.662517268423,326.223149741498,5,98,662.446299482995,1.99499607434745,0.0309621605716538,NA,0.503131250150483,0.0941855520606977
