"","model","formula","lam(Fen_500)","SElam(Fen_500)","lam(Int)","SElam(Int)","lam(S150.VPD__100.150cm_Grid.1x1m.mean)","SElam(S150.VPD__100.150cm_Grid.1x1m.mean)","lam(S150.VPD__150.200cm_Grid.1x1m.mean)","SElam(S150.VPD__150.200cm_Grid.1x1m.mean)","lam(S150.VPD__3.4m_Grid.1x1m.mean)","SElam(S150.VPD__3.4m_Grid.1x1m.mean)","lam(Species_Sali_Spp_v1_500)","SElam(Species_Sali_Spp_v1_500)","lam(SpeciesGroups_Broadleaf_Spp_v1_500)","SElam(SpeciesGroups_Broadleaf_Spp_v1_500)","lam(Swamp_500)","SElam(Swamp_500)","lam(Tremblingaspen_500)","SElam(Tremblingaspen_500)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","r2"
"1","278","~1 ~ Fen_500 + SpeciesGroups_Broadleaf_Spp_v1_500 + Swamp_500 + 1",0.641065996390429,0.153705307241235,-0.905885181861931,0.214929354209088,NA,NA,NA,NA,NA,NA,NA,NA,0.464019268034369,0.145828251955211,-0.521316146902201,0.224439641792746,NA,NA,-0.598929549492227,0.264948554729425,NA,NA,0,7.21993459067224,153.50914229232,5,98,317.018284584639,0,0.145110699672327,NA,0.145110699672327,0.195648296273653
"2","567","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + Species_Sali_Spp_v1_500 + SpeciesGroups_Broadleaf_Spp_v1_500 + 1",NA,NA,-0.990526962051935,0.224176426778265,NA,NA,NA,NA,0.382153660659583,0.143679757027118,-0.550190660795889,0.309775535160004,0.466745152048829,0.140670599512525,NA,NA,NA,NA,-0.520596036885661,0.249875896120059,NA,NA,0,9.19091302568236,153.676455289313,5,98,317.352910578625,0.334625993986322,0.122754189957671,NA,0.267864889629998,0.192897102018845
"3","289","~1 ~ Fen_500 + Swamp_500 + Tremblingaspen_500 + 1",0.663054627997076,0.161976785402232,-0.907775577120792,0.217554551879633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.613119762925482,0.238509683291668,0.457830825551106,0.146995223669398,-0.611075873464075,0.269082786231484,NA,NA,0,7.2079501900093,153.785670770977,5,98,317.571341541954,0.553056957315164,0.110053698900976,NA,0.377918588530974,0.191096154245141
"4","257","~1 ~ Fen_500 + S150.VPD__3.4m_Grid.1x1m.mean + SpeciesGroups_Broadleaf_Spp_v1_500 + 1",0.287070525981207,0.115081777935774,-0.941748749653332,0.212863133093028,NA,NA,NA,NA,0.359434128510892,0.14215784146208,NA,NA,0.51144124522067,0.149738208931998,NA,NA,NA,NA,-0.536493359540823,0.252770602879039,NA,NA,0,8.51260037782966,153.960575253906,5,98,317.921150507812,0.902865923172783,0.0923941750035699,NA,0.470312763534544,0.188203629425305
"5","237","~1 ~ Fen_500 + S150.VPD__100.150cm_Grid.1x1m.mean + SpeciesGroups_Broadleaf_Spp_v1_500 + 1",0.356629714610966,0.116442165256225,-0.922494476130349,0.213440889252473,0.346887628747073,0.155346254301966,NA,NA,NA,NA,NA,NA,0.54175569110594,0.146672578084921,NA,NA,NA,NA,-0.56308871920621,0.260033201063998,NA,NA,0,7.55048936155269,154.663168328421,5,98,319.326336656842,2.308052072203,0.0457627692038279,NA,0.516075532738372,0.176479726733497
"6","367","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + Species_Sali_Spp_v1_500 + SpeciesGroups_Broadleaf_Spp_v1_500 + 1",NA,NA,-0.962174683530725,0.221500119867584,0.344631343951526,0.155415374181545,NA,NA,NA,NA,-0.590478700482323,0.305679755909997,0.49179644088076,0.136041803680165,NA,NA,NA,NA,-0.530288115688524,0.252273259508392,NA,NA,0,8.5406844142594,154.691325240721,5,98,319.382650481442,2.36436589680341,0.0444922024848192,NA,0.560567735223191,0.176006370578447
"7","267","~1 ~ Fen_500 + Species_Sali_Spp_v1_500 + SpeciesGroups_Broadleaf_Spp_v1_500 + 1",0.286026568281097,0.119287953880088,-0.956886753762331,0.220548291311729,NA,NA,NA,NA,NA,NA,-0.513585130590853,0.309537185312532,0.493915396630979,0.138510562262103,NA,NA,NA,NA,-0.523862692697936,0.249371693121222,NA,NA,0,9.68896831015119,154.786196007679,5,98,319.572392015358,2.55410743071855,0.0404652338419628,NA,0.601032969065154,0.17440945969625
"8","239","~1 ~ Fen_500 + S150.VPD__100.150cm_Grid.1x1m.mean + Tremblingaspen_500 + 1",0.35158085173929,0.120413190259107,-0.927899907293515,0.216601808831319,0.440656867569593,0.169782476581743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.543424814186691,0.142514458574676,-0.571228741188137,0.263568116605077,NA,NA,0,7.54999707132802,154.803690424756,5,98,319.607380849512,2.58909626487269,0.0397634744973085,NA,0.640796443562462,0.174114647372201
"9","259","~1 ~ Fen_500 + S150.VPD__3.4m_Grid.1x1m.mean + Tremblingaspen_500 + 1",0.28023430085789,0.112913176954668,-0.92819506138915,0.21010364439841,NA,NA,NA,NA,0.363101117580703,0.148509742573246,NA,NA,NA,NA,NA,NA,0.431483920643322,0.138399365412679,-0.519020906560136,0.249632420011071,NA,NA,0,7.44544600653336,155.128291505171,5,98,320.256583010343,3.23829842570359,0.028741661325125,NA,0.669538104887587,0.168625398347579
"10","258","~1 ~ Fen_500 + S150.VPD__3.4m_Grid.1x1m.mean + Swamp_500 + 1",0.606414418052168,0.160339117453382,-0.875595958542955,0.207452340690781,NA,NA,NA,NA,0.33783143586011,0.138722339092706,NA,NA,NA,NA,-0.557985796884588,0.223817675265176,NA,NA,-0.572859042035025,0.262299770700685,NA,NA,0,8.06482792364834,155.137968325068,5,98,320.275936650137,3.2576520654975,0.0284648748114375,NA,0.698002979699025,0.168461197189753
