"","model","formula","lam(Int)","SElam(Int)","lam(S500.VPD__11.12m_Grid.1x1m.mean)","SElam(S500.VPD__11.12m_Grid.1x1m.mean)","lam(S500.VPD__8.9m_Grid.1x1m.mean)","SElam(S500.VPD__8.9m_Grid.1x1m.mean)","lam(S500.VPD__9.10m_Grid.1x1m.mean)","SElam(S500.VPD__9.10m_Grid.1x1m.mean)","lam(Structure_Biomass_TotalLiveAboveGround_v1_500)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_500)","lam(Whitespruce_500)","SElam(Whitespruce_500)","lam(wtage_500)","SElam(wtage_500)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","r2"
"1","234","~1 ~ S500.VPD__11.12m_Grid.1x1m.mean + S500.VPD__8.9m_Grid.1x1m.mean + S500.VPD__9.10m_Grid.1x1m.mean + 1",-0.624831580615559,0.475929843316834,4.53526504484058,1.43197190693632,8.57222273120081,2.28268130308715,-13.0837108864539,3.59246690385096,NA,NA,NA,NA,NA,NA,-1.83287781150669,0.52765744250432,NA,NA,0,2352.24022734141,124.65913089111,5,98,259.31826178222,0,0.146423395548713,NA,0.146423395548713,0.19216323268508
"2","457","~1 ~ S500.VPD__9.10m_Grid.1x1m.mean + Structure_Biomass_TotalLiveAboveGround_v1_500 + wtage_500 + 1",-0.48976127051729,0.444332232310288,NA,NA,NA,NA,-0.499380561783427,0.213467122302445,0.385859280852248,0.164969761877388,NA,NA,0.341505266343989,0.16026469434019,-1.8330906997571,0.504794946578006,NA,NA,0,53.1800851109729,125.055733847729,5,98,260.111467695457,0.793205913237443,0.0984845258435206,NA,0.244907921392233,0.185598119095224
"3","67","~1 ~ Whitespruce_500 + wtage_500 + 1",-0.583917451738833,0.399159919486849,NA,NA,NA,NA,NA,NA,NA,NA,-0.544236119053896,0.273040388151151,0.666940426623187,0.157727069138035,-1.69148706320719,0.453812633542447,NA,NA,0,27.9540770293641,126.195011182214,4,98,260.390022364428,1.07176058220836,0.0856802293807965,NA,0.33058815077303,0.16644097693487
"4","567","~1 ~ Structure_Biomass_TotalLiveAboveGround_v1_500 + Whitespruce_500 + wtage_500 + 1",-0.524983641628533,0.425940104914331,NA,NA,NA,NA,NA,NA,0.181792632165574,0.157374335331751,-0.483090606442399,0.258977347364328,0.589454833757859,0.170381770563439,-1.76915662628159,0.484441167797492,NA,NA,0,43.4232235533118,125.531393436184,5,98,261.062786872368,1.74452509014873,0.0612056710441846,NA,0.391793821817214,0.177653948335354
"5","345","~1 ~ S500.VPD__8.9m_Grid.1x1m.mean + S500.VPD__9.10m_Grid.1x1m.mean + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",-0.445254087004271,0.486508950678058,NA,NA,1.68971685617617,0.910040433940486,-2.27991664412624,0.949285027934476,0.517438121021633,0.146057175948588,NA,NA,NA,NA,-1.90157366523759,0.556213493531113,NA,NA,0,140.442025874823,125.542730668474,5,98,261.085461336948,1.76719955472811,0.0605156867805008,NA,0.452309508597715,0.177463658399655
"6","257","~1 ~ S500.VPD__11.12m_Grid.1x1m.mean + Structure_Biomass_TotalLiveAboveGround_v1_500 + wtage_500 + 1",-0.454620719778661,0.442666161680042,-0.465037412710391,0.219238247137405,NA,NA,NA,NA,0.366533360746052,0.164085031699082,NA,NA,0.325432092947825,0.160188554788161,-1.84543992885116,0.506030633489948,NA,NA,0,54.4743843565378,125.580208123087,5,98,261.160416246174,1.84215446395433,0.0582896858402249,NA,0.51059919443794,0.176834304109756
"7","467","~1 ~ S500.VPD__9.10m_Grid.1x1m.mean + Whitespruce_500 + wtage_500 + 1",-0.622553910787121,0.400678045473206,NA,NA,NA,NA,-0.180091749779908,0.179599063777479,NA,NA,-0.488203909482845,0.281778050740116,0.647644385455888,0.163307969264398,-1.67932140782655,0.450434465796961,NA,NA,0,29.3523128290624,125.694012157465,5,98,261.38802431493,2.06976253270989,0.0520196289970137,NA,0.562618823434954,0.174920254144479
"8","357","~1 ~ S500.VPD__8.9m_Grid.1x1m.mean + Structure_Biomass_TotalLiveAboveGround_v1_500 + wtage_500 + 1",-0.485486228535352,0.431999941542124,NA,NA,-0.439169220697971,0.214009830634614,NA,NA,0.364706406426717,0.165667146936218,NA,NA,0.373094801020077,0.155633322549491,-1.80908179798711,0.493354461520631,NA,NA,0,50.3407138754405,125.729008258008,5,98,261.458016516015,2.1397547337956,0.0502306313830381,NA,0.612849454817992,0.174330766646603
"9","367","~1 ~ S500.VPD__8.9m_Grid.1x1m.mean + Whitespruce_500 + wtage_500 + 1",-0.620098498449274,0.399207919945467,NA,NA,-0.148765715853579,0.173652845865497,NA,NA,NA,NA,-0.507092542755592,0.27951052821857,0.662897382491933,0.161902958053318,-1.67555920581527,0.449086743364737,NA,NA,0,28.1771851284528,125.824527013456,5,98,261.649054026913,2.3307922446931,0.0456546868993301,NA,0.658504141717322,0.172719668327492
"10","267","~1 ~ S500.VPD__11.12m_Grid.1x1m.mean + Whitespruce_500 + wtage_500 + 1",-0.603927186904446,0.400087008025544,-0.143245794979762,0.195946268447637,NA,NA,NA,NA,NA,NA,-0.495680294847912,0.282290572678809,0.640443412324217,0.163329406827095,-1.68723889624173,0.452097280371613,NA,NA,0,29.9189119415698,125.928165095108,5,98,261.856330190216,2.53806840799621,0.041160052662455,NA,0.699664194379777,0.170968066676798
"11","45","~1 ~ S500.VPD__9.10m_Grid.1x1m.mean + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",-0.482851372666216,0.443022029883433,NA,NA,NA,NA,-0.619474585712941,0.210922387197524,0.558417706321442,0.149412386311017,NA,NA,NA,NA,-1.78990603649416,0.512554575994318,NA,NA,0,33.5828616410902,127.08948369242,4,98,262.178967384839,2.86070560261953,0.0350280648526684,NA,0.734692259232446,0.151085007886293
"12","167","~Julian + 1 ~ Whitespruce_500 + wtage_500 + 1",-0.573102852912793,0.419719822642377,NA,NA,NA,NA,NA,NA,NA,NA,-0.543051073419017,0.273529870884406,0.662868130590793,0.16412770925449,-1.70566779184324,0.484995062994692,0.0195169493248823,0.230446269743874,0,33.753248034005,126.191609148917,5,98,262.383218297833,3.06495651561363,0.0316274095868085,NA,0.766319668819254,0.166498848304471
"13","25","~1 ~ S500.VPD__11.12m_Grid.1x1m.mean + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",-0.446420942660829,0.44674491262127,-0.602403400967678,0.216242166553021,NA,NA,NA,NA,0.539502236341089,0.146249735057824,NA,NA,NA,NA,-1.81419778365189,0.518492179322078,NA,NA,0,34.620135412538,127.453894304583,4,98,262.907788609165,3.58952682694553,0.0243307013017267,NA,0.790650370120981,0.144748134154917
"14","47","~1 ~ S500.VPD__9.10m_Grid.1x1m.mean + wtage_500 + 1",-0.530148761347802,0.390163052999753,NA,NA,NA,NA,-0.291168561563943,0.170775010003259,NA,NA,NA,NA,0.51231525554504,0.142495211643632,-1.69889212125552,0.452114568062608,NA,NA,0,30.128163913597,127.752999834297,4,98,263.505999668595,4.18773788637509,0.0180407565520956,NA,0.808691126673076,0.139511544111107
"15","347","~1 ~ S500.VPD__8.9m_Grid.1x1m.mean + S500.VPD__9.10m_Grid.1x1m.mean + wtage_500 + 1",-0.524836582143866,0.411489970243115,NA,NA,1.18940022474144,0.931952757441018,-1.4997662576075,0.980465456352142,NA,NA,NA,NA,0.45979136644554,0.150321629786157,-1.75439079157923,0.474251037381772,NA,NA,0,187.991074184667,126.980763101048,5,98,263.961526202096,4.64326441987646,0.0143660844842438,NA,0.82305721115732,0.152966481859013
"16","57","~1 ~ Structure_Biomass_TotalLiveAboveGround_v1_500 + wtage_500 + 1",-0.387493446753819,0.421598195194622,NA,NA,NA,NA,NA,NA,0.244423551076476,0.158234349319314,NA,NA,0.414747540418277,0.145401784534211,-1.81717083654683,0.493583708753633,NA,NA,0,50.5099525416706,127.993519275386,4,98,263.987038550772,4.66877676855188,0.0141839920764284,NA,0.837241203233748,0.13527740160708
"17","245","~1 ~ S500.VPD__11.12m_Grid.1x1m.mean + S500.VPD__9.10m_Grid.1x1m.mean + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",-0.475908211484351,0.446111046806565,-0.175528452168884,0.512262902408448,NA,NA,-0.459019774055934,0.509364946636333,0.558092253188652,0.148506498550518,NA,NA,NA,NA,-1.7982304018962,0.515807810528734,NA,NA,0,41.0132241533098,127.030878403937,5,98,264.061756807874,4.74349502565406,0.0136638667021405,NA,0.850905069935889,0.152099725604063
"18","27","~1 ~ S500.VPD__11.12m_Grid.1x1m.mean + wtage_500 + 1",-0.510024714232736,0.391077665194161,-0.276595451391595,0.183483899467928,NA,NA,NA,NA,NA,NA,NA,NA,0.499346567520827,0.140614513236936,-1.71145340997452,0.454718315005888,NA,NA,0,30.9327884590668,128.047500562467,4,98,264.095001124935,4.77673934271508,0.01343862096504,NA,0.864343690900929,0.134324247314141
