"","model","formula","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_500)","SElam(LandCover_NonVeg_v1_500)","lam(S150.sd_PercCanopyDensity)","SElam(S150.sd_PercCanopyDensity)","lam(Species_Popu_Bal_v1_500)","SElam(Species_Popu_Bal_v1_500)","lam(Species_Sali_Spp_v1_500)","SElam(Species_Sali_Spp_v1_500)","lam(Tremblingaspen_500)","SElam(Tremblingaspen_500)","lam(Water_500)","SElam(Water_500)","lam(wtage_500)","SElam(wtage_500)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","r2"
"1","458","~1 ~ Species_Popu_Bal_v1_500 + Species_Sali_Spp_v1_500 + wtage_500 + 1",-1.97974901680184,1.24897491810067,NA,NA,NA,NA,0.44973227503602,0.114363683287178,-3.80731913012615,2.89599774416314,NA,NA,NA,NA,0.497005819626075,0.133477448048988,-1.20683300640302,0.354549683712354,NA,NA,0,1146.64782854217,148.586605489585,5,98,307.17321097917,0,0.264962249379205,NA,0.264962249379205,0.318976139836042
"2","345","~1 ~ S150.sd_PercCanopyDensity + Species_Popu_Bal_v1_500 + Species_Sali_Spp_v1_500 + 1",-2.15665926265175,1.70070400947829,NA,NA,0.51696970513657,0.158355917080351,0.382555155499413,0.127328000129226,-4.27305061611674,4.00375706533514,NA,NA,NA,NA,NA,NA,-1.21372892880246,0.350831038731305,NA,NA,0,2126.43392801034,149.102279226337,5,98,308.204558452673,1.03134747350322,0.158208474776431,NA,0.423170724155636,0.311771230618752
"3","358","~1 ~ S150.sd_PercCanopyDensity + Species_Sali_Spp_v1_500 + wtage_500 + 1",-2.04195735760387,1.58492602533172,NA,NA,0.582945966679417,0.173384634671458,NA,NA,-4.2340899562349,3.70318490592575,NA,NA,NA,NA,0.360931192203638,0.122583909957547,-1.31430724408849,0.391976397554943,NA,NA,0,1738.5043477902,149.215791352645,5,98,308.43158270529,1.25837172612012,0.141231656711717,NA,0.564402380867353,0.310175049619341
"4","567","~1 ~ Species_Sali_Spp_v1_500 + Tremblingaspen_500 + Water_500 + 1",-1.78435265592927,1.23598766689478,NA,NA,NA,NA,NA,NA,-3.28671920366992,2.89155542060998,0.419174951134466,0.147969947764005,0.418245421319775,0.0880435708233933,NA,NA,-1.10467305520822,0.322932801971431,NA,NA,0,1990.08041941745,149.909887447484,5,98,309.819774894968,2.64656391579763,0.0705488517705664,NA,0.634951232637919,0.300333987117288
"5","256","~1 ~ LandCover_NonVeg_v1_500 + Species_Sali_Spp_v1_500 + Tremblingaspen_500 + 1",-1.81705986560382,1.28154023469331,0.408260675170278,0.0851501432201186,NA,NA,NA,NA,-3.39052019795357,3.00213565634908,0.413903904300512,0.145967815726999,NA,NA,NA,NA,-1.10792915498218,0.323184211165135,NA,NA,0,2244.28359591328,149.921821562079,5,98,309.843643124158,2.67043214498835,0.0697119176559864,NA,0.704663150293906,0.300163560356447
"6","258","~1 ~ LandCover_NonVeg_v1_500 + Species_Sali_Spp_v1_500 + wtage_500 + 1",-1.89822772338004,1.35214862853745,0.276177751230856,0.0757016466381383,NA,NA,NA,NA,-3.83402397179289,3.15976204557503,NA,NA,NA,NA,0.361967705298685,0.131208681547681,-1.1511713197665,0.341000320188425,NA,NA,0,2305.68015759117,150.280476881097,5,98,310.560953762195,3.38774278302498,0.0487017989656756,NA,0.753364949259581,0.295022317420482
"7","578","~1 ~ Species_Sali_Spp_v1_500 + Water_500 + wtage_500 + 1",-1.8694470208114,1.32368414745114,NA,NA,NA,NA,NA,NA,-3.75281302375748,3.09103877184701,NA,NA,0.278067167070246,0.0784956762544319,0.352295816174044,0.131548327824472,-1.14817544382914,0.339629373088907,NA,NA,0,2105.56451880022,150.453202787442,5,98,310.906405574884,3.73319459571366,0.0409761447828755,NA,0.794341094042457,0.292532872958423
"8","356","~1 ~ S150.sd_PercCanopyDensity + Species_Sali_Spp_v1_500 + Tremblingaspen_500 + 1",-2.05219318127947,1.60319367973816,NA,NA,0.578794349311477,0.154613785925819,NA,NA,-4.12019698880162,3.76368116079217,0.28431585669147,0.124767055342678,NA,NA,NA,NA,-1.22868792629662,0.354024237648274,NA,NA,0,1797.8570935089,150.525758016189,5,98,311.051516032377,3.87830505320755,0.0381084039552256,NA,0.832449497997682,0.291484537020162
"9","357","~1 ~ S150.sd_PercCanopyDensity + Species_Sali_Spp_v1_500 + Water_500 + 1",-2.27765083055641,1.74401111153491,NA,NA,0.441971296779515,0.190953134409782,NA,NA,-4.74999983917788,4.10073941578236,NA,NA,0.194548720998941,0.0891177611035744,NA,NA,-1.16866080384318,0.345131699644911,NA,NA,0,4015.48771335238,150.846309624146,5,98,311.692619248293,4.51940826912289,0.0276571207402075,NA,0.86010661873789,0.286834327338729
"10","235","~1 ~ LandCover_NonVeg_v1_500 + S150.sd_PercCanopyDensity + Species_Sali_Spp_v1_500 + 1",-2.32704637956299,1.77523056509342,0.192648345061159,0.0877851975440523,0.437804096568383,0.190177837409444,NA,NA,-4.87573406698683,4.17543868374105,NA,NA,NA,NA,NA,NA,-1.16963006039968,0.344911458193201,NA,NA,0,4258.65204716627,150.869036720197,5,98,311.738073440394,4.56486246122455,0.0270356436358398,NA,0.887142262373729,0.286503471335664
