"","model","formula","lam(Int)","SElam(Int)","lam(Jackpine_50)","SElam(Jackpine_50)","lam(S150.VPD__3.4m_Grid.1x1m.mean)","SElam(S150.VPD__3.4m_Grid.1x1m.mean)","lam(S150.VPD__4.5m_Grid.1x1m.mean)","SElam(S150.VPD__4.5m_Grid.1x1m.mean)","lam(Species_Pice_Gla_v1_50)","SElam(Species_Pice_Gla_v1_50)","lam(Structure_Biomass_TotalDead_v1_50)","SElam(Structure_Biomass_TotalDead_v1_50)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","r2"
"1","125","~Julian + 1 ~ Jackpine_50 + Species_Pice_Gla_v1_50 + 1",0.841711890579003,0.241413700828984,0.288957344818973,0.0850212744706567,NA,NA,NA,NA,0.179060458094548,0.0770987005426948,NA,NA,-1.3747445605203,0.308084537875826,-0.305764266849712,0.111989478758006,0,37.9932596261842,330.660322983302,5,98,671.320645966605,0,0.317804566363533,NA,0.317804566363533,0.207299424162535
"2","126","~Julian + 1 ~ Jackpine_50 + Structure_Biomass_TotalDead_v1_50 + 1",0.79483448747063,0.229977361200868,0.30157626829643,0.0848365145679369,NA,NA,NA,NA,NA,NA,-0.204826001227577,0.103770982836166,-1.31637153313017,0.29463462044604,-0.292037600578925,0.113376532962676,0,30.6401144280503,330.970384186924,5,98,671.940768373847,0.620122407242548,0.233078526187118,NA,0.550883092550651,0.202267485869548
"3","124","~Julian + 1 ~ Jackpine_50 + S150.VPD__4.5m_Grid.1x1m.mean + 1",0.829480764897448,0.234771265541871,0.299548369624502,0.0841957693064597,NA,NA,0.164591995837264,0.094252397446603,NA,NA,NA,NA,-1.34810469737056,0.301318515208603,-0.327242421335822,0.113664513381352,0,32.1846659567242,331.56496387391,5,98,673.12992774782,1.80928178121565,0.128611435653691,NA,0.679494528204342,0.192528609086167
"4","12","~Julian + 1 ~ Jackpine_50 + 1",0.776722248099661,0.218691006078854,0.306532796758159,0.0854955663247902,NA,NA,NA,NA,NA,NA,NA,NA,-1.2669382137179,0.282735631256065,-0.30276325622407,0.114567990624835,0,26.3852555945493,333.053436682391,4,98,674.106873364782,2.78622739817763,0.0789111805851511,NA,0.758405708789493,0.167623700727394
"5","123","~Julian + 1 ~ Jackpine_50 + S150.VPD__3.4m_Grid.1x1m.mean + 1",0.812735363828294,0.229663240085513,0.31562994839598,0.0852212777316809,0.0959702530192552,0.0967269237498552,NA,NA,NA,NA,NA,NA,-1.31756956211467,0.295870667327465,-0.320024901318167,0.114754934754376,0,29.7811873552208,332.569803549428,5,98,675.139607098855,3.81896113225059,0.0470850742805407,NA,0.805490783070034,0.175798896800137
"6","256","~1 ~ Jackpine_50 + Species_Pice_Gla_v1_50 + Structure_Biomass_TotalDead_v1_50 + 1",0.787001660268139,0.252018930906688,0.277126637600051,0.0853569858877463,NA,NA,NA,NA,0.144600933370844,0.0802918727283214,-0.189795127674067,0.109060997982641,-1.31263765892194,0.322036549703129,NA,NA,0,42.0657151643806,332.894098689855,5,98,675.78819737971,4.4675514131053,0.0340442420708137,NA,0.839535025140848,0.170326022372847
"7","246","~1 ~ Jackpine_50 + S150.VPD__4.5m_Grid.1x1m.mean + Structure_Biomass_TotalDead_v1_50 + 1",0.766363844384298,0.245328494402907,0.285785715075725,0.0844440801380085,NA,NA,0.14082465363848,0.0913697471181536,NA,NA,-0.236636954062687,0.109247285209328,-1.28529326538108,0.314904032618956,NA,NA,0,35.7782923049281,333.203351616855,5,98,676.406703233709,5.08605726710448,0.024988306841692,NA,0.86452333198254,0.165073155354152
"8","26","~1 ~ Jackpine_50 + Structure_Biomass_TotalDead_v1_50 + 1",0.734764820902655,0.230891936680358,0.293632487512545,0.0854238782769511,NA,NA,NA,NA,NA,NA,-0.216188437493335,0.105872552539872,-1.2299754274809,0.298388897858222,NA,NA,0,30.4951955754396,334.369747958191,4,98,676.739495916381,5.41884994977659,0.021157863810987,NA,0.885681195793526,0.144960115166986
"9","25","~1 ~ Jackpine_50 + Species_Pice_Gla_v1_50 + 1",0.777611906529577,0.243907492249612,0.276587072148423,0.0858668616434402,NA,NA,NA,NA,0.170924181517975,0.0786569176505372,NA,NA,-1.27811021933962,0.314001016907829,NA,NA,0,37.9559547488354,334.501117808446,4,98,677.002235616891,5.68158965028636,0.0185531910316162,NA,0.904234386825143,0.142664662699977
"10","234","~1 ~ Jackpine_50 + S150.VPD__3.4m_Grid.1x1m.mean + S150.VPD__4.5m_Grid.1x1m.mean + 1",0.724168395353714,0.232465361926316,0.234508982309075,0.0888590005113105,-0.492083418568545,0.255916351964615,0.569356699023427,0.248358058936724,NA,NA,NA,NA,-1.2158786479233,0.299886290100554,NA,NA,0,33.1392149600016,333.896638488961,5,98,677.793276977922,6.47263101131716,0.0124924082151318,NA,0.916726795040275,0.153176050273092
"11","245","~1 ~ Jackpine_50 + S150.VPD__4.5m_Grid.1x1m.mean + Species_Pice_Gla_v1_50 + 1",0.792195424248211,0.250963424475886,0.276003396651547,0.0851301406491626,NA,NA,0.0875116349604815,0.0916195075867616,0.158474517568893,0.0809693947676683,NA,NA,-1.30389188045396,0.32218888541057,NA,NA,0,41.5840246524911,334.048181516007,5,98,678.096363032015,6.77571706541005,0.0107357370757419,NA,0.927462532116016,0.150553011213713
"12","134","~Julian + 1 ~ S150.VPD__3.4m_Grid.1x1m.mean + S150.VPD__4.5m_Grid.1x1m.mean + 1",0.722261150409514,0.204304705843904,NA,NA,-0.595187345867963,0.236186998602194,0.704981191345082,0.229679353547687,NA,NA,NA,NA,-1.18791915958114,0.265174830088802,-0.294867917401693,0.11839431505404,0,26.3364475078833,334.085024660355,5,98,678.170049320709,6.84940335410442,0.0103473965356276,NA,0.937809928651644,0.149914071074325
