OBJECTID,SiteName,data_set,site,station,BUFF_DIST,Veg_Type,Origin_Year,Origin_Source,General_Source,PreBackfill_Source,Backfill_Required,Backfill_Method,PostBackfill_Source,Moisture_Reg,Moisture_Source,Pct_of_Larch,NSRNAME,NRNAME,Soil_Type_1,LUF_NAME,HUC_8,BASIN,CWCS_Class,CWCS_Extent,GWA_NAME,FEATURE_TY,YEAR,ORIG_FID_1,Veg_Moist_preBkfSrs,Combined,Combined2,Combined_ChgByCWCS,UplandGene,Fire_Year,UID,Shape_Length,Shape_Area
1,BG_15_100,BG,15,100,150.000000000000000,Black spruce,1890,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17060104,ATHABASCA,,,Green Area,,0,42519111,Black spruce::w::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,31625422,238.672821451521030,1906.380619199681900
2,BG_15_100,BG,15,100,150.000000000000000,Black spruce,1900,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17060104,ATHABASCA,,,Green Area,,0,42519228,Black spruce::w::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,31626794,184.222821161662180,405.607054352510490
3,BG_15_100,BG,15,100,150.000000000000000,Black spruce,1940,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,1,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,,,Green Area,,0,42524008,Black spruce::w::AVIE,TreedBog-BSpr,TreedFen-Larch,TreedFen-Larch,Decid,0,31681925,68.439394967108228,92.706243578713810
4,BG_15_100,BG,15,100,150.000000000000000,Black spruce,1950,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,,,Green Area,,0,42525192,Black spruce::w::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,31697890,284.648472758405720,2543.457526321582000
5,BG_15_100,BG,15,100,150.000000000000000,Black spruce,1950,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,,,Green Area,,0,42525192,Black spruce::w::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,31697899,266.947993013878660,1666.673248564114400
6,BG_15_100,BG,15,100,150.000000000000000,Black spruce,1950,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,,,Green Area,,0,42525192,Black spruce::w::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,31697905,15.590038964093779,7.018058418920124
7,BG_15_100,BG,15,100,150.000000000000000,Black spruce,1950,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,Fen,ALP,Green Area,,0,42525219,Black spruce::w::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,31698219,47.878114952129792,80.917054683114984
8,BG_15_100,BG,15,100,150.000000000000000,Black spruce,1950,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,Fen,ALP,Green Area,,0,42525220,Black spruce::w::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,31698231,51.005298536714989,92.293508531051870
9,BG_15_100,BG,15,100,150.000000000000000,Black spruce,1950,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,Fen,ALP,Green Area,,0,42525220,Black spruce::w::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,31698237,30.209508242446184,25.117728584585578
10,BG_15_100,BG,15,100,150.000000000000000,Black spruce,1950,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17060104,ATHABASCA,,,Green Area,,0,42525237,Black spruce::w::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,31698386,147.403997327776210,961.133962787723020
11,BG_15_100,BG,15,100,150.000000000000000,Black spruce,1950,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17060104,ATHABASCA,,,Green Area,,0,42525238,Black spruce::w::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,31698391,288.566478596348420,2623.004702268828200
12,BG_15_100,BG,15,100,150.000000000000000,Black spruce,1950,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17060104,ATHABASCA,,,Green Area,,0,42525238,Black spruce::w::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,31698401,332.348998210950010,4648.105265930035800
13,BG_15_100,BG,15,100,150.000000000000000,Black spruce,1950,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17060104,ATHABASCA,,,Green Area,,0,42525238,Black spruce::w::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,31698409,114.477884363242710,684.966763351170810
14,BG_15_100,BG,15,100,150.000000000000000,Black spruce,1950,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17060104,ATHABASCA,Fen,ALP,Green Area,,0,42525285,Black spruce::w::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,31698851,192.882238259520190,1807.134329895262500
15,BG_15_100,BG,15,100,150.000000000000000,Black spruce,1950,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17060104,ATHABASCA,Fen,ALP,Green Area,,0,42525285,Black spruce::w::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,31698859,49.749129445269816,136.288632800862790
16,BG_15_100,BG,15,100,150.000000000000000,Black spruce,1950,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17060104,ATHABASCA,Fen,ALP,Green Area,,0,42525286,Black spruce::w::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,31698866,136.088544883221430,764.295731783661270
17,BG_15_100,BG,15,100,150.000000000000000,Black spruce,1950,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17060104,ATHABASCA,Fen,ALP,Green Area,,0,42525287,Black spruce::w::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,31698871,93.048756114330828,202.828995765042810
18,BG_15_100,BG,15,100,150.000000000000000,Black spruce,1950,AVIE_Origin,AVIE,AVIE,None,None,None,w,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17060104,ATHABASCA,Fen,ALP,Green Area,,0,42525287,Black spruce::w::AVIE,TreedBog-BSpr,TreedBog-BSpr,TreedBog-BSpr,Decid,0,31698876,118.936242063992540,768.910826452816080
19,BG_15_100,BG,15,100,150.000000000000000,Jack pine,1930,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17060104,ATHABASCA,,,Green Area,,0,42532523,Jack pine::m::AVIE,Pine,Pine,Pine,Decid,0,31783970,326.576220805683360,3055.567647603382300
20,BG_15_100,BG,15,100,150.000000000000000,Jack pine,1930,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17060104,ATHABASCA,Fen,ALP,Green Area,,0,42532637,Jack pine::m::AVIE,Pine,Pine,Pine,Decid,0,31785844,108.100803116869930,560.072869829473580
21,BG_15_100,BG,15,100,150.000000000000000,Jack pine,1930,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17060104,ATHABASCA,Fen,ALP,Green Area,,0,42532638,Jack pine::m::AVIE,Pine,Pine,Pine,Decid,0,31785853,140.429944882556870,1035.704268216338700
22,BG_15_100,BG,15,100,150.000000000000000,Trembling aspen,1910,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17050301,ATHABASCA,,,Green Area,,0,42543982,Trembling aspen::m::AVIE,Decid,Decid,Decid,Decid,0,31911571,127.199612124383650,757.580392057765490
23,BG_15_100,BG,15,100,150.000000000000000,Trembling aspen,1910,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17060104,ATHABASCA,,,Green Area,,0,42543991,Trembling aspen::m::AVIE,Decid,Decid,Decid,Decid,0,31911732,150.871899397708890,1217.352380372464700
24,BG_15_100,BG,15,100,150.000000000000000,Trembling aspen,1910,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17060104,ATHABASCA,,,Green Area,,0,42543992,Trembling aspen::m::AVIE,Decid,Decid,Decid,Decid,0,31911742,231.523754197709960,1263.861665887731300
25,BG_15_100,BG,15,100,150.000000000000000,Trembling aspen,1910,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17060104,ATHABASCA,Fen,ALP,Green Area,,0,42544004,Trembling aspen::m::AVIE,Decid,Decid,Decid,Decid,0,31911932,95.868610846452015,592.332060334041440
26,BG_15_100,BG,15,100,150.000000000000000,Trembling aspen,1910,AVIE_Origin,AVIE,AVIE,None,None,None,m,AVIE,0,Central Mixedwood,Boreal,,Lower Athabasca,17060104,ATHABASCA,Fen,ALP,Green Area,,0,42544004,Trembling aspen::m::AVIE,Decid,Decid,Decid,Decid,0,31911942,43.592710701485800,55.560071486775790
