"","1","2","3","4","5"
"BG_15_1",192,189,190,191,NA
"BG_15_10",171,180,186,NA,NA
"BG_15_100",183,192,185,191,NA
"BG_15_11",181,192,185,191,NA
"BG_15_12",186,183,187,188,NA
"BG_15_13",185,183,187,189,NA
"BG_15_14",187,188,189,190,NA
"BG_15_15",147,157,141,160,NA
"BG_15_16",150,143,145,160,NA
"BG_15_17",178,182,185,187,NA
"BG_15_18",179,180,184,191,NA
"BG_15_19",159,177,191,151,NA
"BG_15_2",182,185,187,191,NA
"BG_15_20",161,174,178,150,NA
"BG_15_21",182,183,185,192,NA
"BG_15_22",190,191,192,187,NA
"BG_15_23",142,144,148,160,NA
"BG_15_24",149,154,157,158,NA
"BG_15_26",191,192,186,187,NA
"BG_15_27",148,150,158,152,NA
"BG_15_28",143,145,157,152,NA
"BG_15_29",182,189,192,191,NA
"BG_15_3",183,185,182,191,NA
"BG_15_30",170,171,183,191,NA
"BG_15_31",181,183,185,187,NA
"BG_15_32",184,NA,NA,NA,NA
"BG_15_33",140,149,152,160,NA
"BG_15_34",142,144,148,153,NA
"BG_15_35",183,186,187,192,NA
"BG_15_36",187,190,186,185,NA
"BG_15_37",145,156,159,153,NA
"BG_15_38",143,154,159,150,NA
"BG_15_39",168,188,183,185,NA
"BG_15_4",181,182,186,188,NA
"BG_15_40",172,170,185,191,NA
"BG_15_41",157,141,147,158,NA
"BG_15_42",141,154,156,158,NA
"BG_15_43",191,181,187,192,NA
"BG_15_44",191,181,185,188,NA
"BG_15_45",154,156,145,140,NA
"BG_15_46",142,150,158,156,NA
"BG_15_47",173,174,186,181,NA
"BG_15_48",185,187,190,189,NA
"BG_15_49",147,148,141,152,NA
"BG_15_5",148,152,153,159,NA
"BG_15_50",142,156,157,158,NA
"BG_15_51",148,152,153,145,NA
"BG_15_52",140,142,144,157,NA
"BG_15_53",180,181,187,192,NA
"BG_15_54",180,182,172,175,NA
"BG_15_55",147,153,159,158,NA
"BG_15_56",140,145,153,152,NA
"BG_15_57",169,170,173,172,NA
"BG_15_58",185,187,181,188,NA
"BG_15_59",140,143,144,145,NA
"BG_15_6",140,144,147,153,NA
"BG_15_60",149,150,159,142,NA
"BG_15_61",171,180,182,192,NA
"BG_15_62",170,175,176,182,NA
"BG_15_63",149,160,141,143,NA
"BG_15_64",143,144,153,148,NA
"BG_15_65",171,172,178,174,NA
"BG_15_66",170,180,191,183,NA
"BG_15_67",150,156,140,157,NA
"BG_15_68",149,145,148,156,NA
"BG_15_69",189,168,170,172,NA
"BG_15_7",185,189,192,180,NA
"BG_15_70",192,171,175,180,NA
"BG_15_71",188,173,175,182,NA
"BG_15_72",190,171,176,182,NA
"BG_15_73",157,140,144,153,NA
"BG_15_74",154,147,157,149,NA
"BG_15_75",168,169,169,168,NA
"BG_15_77",143,147,157,142,NA
"BG_15_78",144,150,157,140,NA
"BG_15_79",174,181,189,192,NA
"BG_15_8",189,155,168,182,NA
"BG_15_80",168,170,174,177,NA
"BG_15_81",177,189,190,192,NA
"BG_15_82",174,175,183,189,NA
"BG_15_83",185,175,186,188,NA
"BG_15_84",174,153,157,NA,NA
"BG_15_85",143,140,145,156,NA
"BG_15_86",149,148,153,160,NA
"BG_15_87",171,172,179,173,176
"BG_15_88",191,188,187,192,NA
"BG_15_89",185,186,187,191,NA
"BG_15_9",153,158,192,166,NA
"BG_15_90",187,190,185,191,NA
"BG_15_91",174,186,169,189,NA
"BG_15_92",188,190,171,177,NA
"BG_15_93",183,191,174,175,NA
"BG_15_94",174,190,170,173,NA
"BG_15_95",159,147,149,157,NA
"BG_15_96",144,150,147,149,NA
"BG_15_97",176,191,183,190,NA
"BG_15_98",182,183,186,NA,NA
"BG_15_99",188,189,182,187,NA
