"","1","2","3","4","5"
"BG_15_1",0,0,0,0,NA
"BG_15_10",0,0,0,NA,NA
"BG_15_100",2,1,1,0,NA
"BG_15_11",1,0,0,0,NA
"BG_15_12",0,1,0,0,NA
"BG_15_13",2,1,1,1,NA
"BG_15_14",1,2,1,0,NA
"BG_15_15",0,2,2,1,NA
"BG_15_16",1,2,1,1,NA
"BG_15_17",0,2,0,1,NA
"BG_15_18",0,1,0,0,NA
"BG_15_19",0,0,0,1,NA
"BG_15_2",1,0,1,0,NA
"BG_15_20",1,0,1,2,NA
"BG_15_21",1,0,0,0,NA
"BG_15_22",1,1,0,0,NA
"BG_15_23",2,0,0,0,NA
"BG_15_24",1,0,0,0,NA
"BG_15_26",1,1,0,0,NA
"BG_15_27",0,1,0,1,NA
"BG_15_28",3,0,0,0,NA
"BG_15_29",1,1,0,0,NA
"BG_15_3",0,0,0,0,NA
"BG_15_30",0,0,0,0,NA
"BG_15_31",1,0,2,2,NA
"BG_15_32",2,NA,NA,NA,NA
"BG_15_33",1,1,0,0,NA
"BG_15_34",1,1,1,1,NA
"BG_15_35",0,0,0,0,NA
"BG_15_36",1,1,1,0,NA
"BG_15_37",1,1,1,0,NA
"BG_15_38",0,0,0,0,NA
"BG_15_39",1,0,1,1,NA
"BG_15_4",0,0,0,0,NA
"BG_15_40",2,1,0,0,NA
"BG_15_41",1,1,0,0,NA
"BG_15_42",1,0,0,0,NA
"BG_15_43",0,1,0,0,NA
"BG_15_44",0,0,0,0,NA
"BG_15_45",0,0,1,2,NA
"BG_15_46",2,1,0,0,NA
"BG_15_47",0,1,2,1,NA
"BG_15_48",0,0,0,0,NA
"BG_15_49",0,0,1,0,NA
"BG_15_5",0,1,1,0,NA
"BG_15_50",0,0,0,0,NA
"BG_15_51",1,0,0,0,NA
"BG_15_52",0,0,0,0,NA
"BG_15_53",0,1,0,0,NA
"BG_15_54",1,0,1,0,NA
"BG_15_55",0,0,0,1,NA
"BG_15_56",1,0,0,0,NA
"BG_15_57",1,1,0,0,NA
"BG_15_58",0,0,1,0,NA
"BG_15_59",3,2,2,1,NA
"BG_15_6",0,0,0,0,NA
"BG_15_60",0,0,0,1,NA
"BG_15_61",0,0,0,1,NA
"BG_15_62",1,3,2,2,NA
"BG_15_63",2,1,1,1,NA
"BG_15_64",0,0,1,0,NA
"BG_15_65",1,0,0,1,NA
"BG_15_66",1,0,0,1,NA
"BG_15_67",0,1,0,0,NA
"BG_15_68",0,0,0,0,NA
"BG_15_69",0,1,1,0,NA
"BG_15_7",0,0,0,0,NA
"BG_15_70",0,0,0,0,NA
"BG_15_71",0,1,0,1,NA
"BG_15_72",1,1,0,0,NA
"BG_15_73",0,0,0,0,NA
"BG_15_74",1,0,1,1,NA
"BG_15_75",2,3,0,3,NA
"BG_15_77",1,1,0,0,NA
"BG_15_78",2,1,0,2,NA
"BG_15_79",1,1,1,0,NA
"BG_15_8",0,0,0,0,NA
"BG_15_80",0,0,1,0,NA
"BG_15_81",1,0,0,0,NA
"BG_15_82",0,0,0,0,NA
"BG_15_83",0,1,2,0,NA
"BG_15_84",1,0,0,NA,NA
"BG_15_85",2,1,0,1,NA
"BG_15_86",0,0,0,0,NA
"BG_15_87",0,1,0,0,1
"BG_15_88",0,0,0,0,NA
"BG_15_89",0,0,0,0,NA
"BG_15_9",0,0,0,1,NA
"BG_15_90",0,0,0,0,NA
"BG_15_91",0,0,0,0,NA
"BG_15_92",0,1,1,1,NA
"BG_15_93",1,0,1,0,NA
"BG_15_94",1,0,1,2,NA
"BG_15_95",0,0,1,1,NA
"BG_15_96",1,0,0,0,NA
"BG_15_97",0,0,1,1,NA
"BG_15_98",2,3,2,NA,NA
"BG_15_99",1,0,0,1,NA
