"","model","formula","lam(Int)","SElam(Int)","lam(S150.mean_MaxHeight)","SElam(S150.mean_MaxHeight)","lam(S150.sd_PercCanopyDensity)","SElam(S150.sd_PercCanopyDensity)","lam(S150.VPD__10.11m_Grid.1x1m.mean)","SElam(S150.VPD__10.11m_Grid.1x1m.mean)","lam(S150.VPD__100.150cm_Grid.1x1m.mean)","SElam(S150.VPD__100.150cm_Grid.1x1m.mean)","lam(S150.VPD__11.12m_Grid.1x1m.mean)","SElam(S150.VPD__11.12m_Grid.1x1m.mean)","lam(S150.VPD__150.200cm_Grid.1x1m.mean)","SElam(S150.VPD__150.200cm_Grid.1x1m.mean)","lam(S150.VPD__2.3m_Grid.1x1m.mean)","SElam(S150.VPD__2.3m_Grid.1x1m.mean)","lam(S150.VPD__3.4m_Grid.1x1m.mean)","SElam(S150.VPD__3.4m_Grid.1x1m.mean)","lam(S150.VPD__4.5m_Grid.1x1m.mean)","SElam(S150.VPD__4.5m_Grid.1x1m.mean)","lam(S150.VPD__5.6m_Grid.1x1m.mean)","SElam(S150.VPD__5.6m_Grid.1x1m.mean)","lam(S150.VPD__50.100cm_Grid.1x1m.mean)","SElam(S150.VPD__50.100cm_Grid.1x1m.mean)","lam(S150.VPD__6.7m_Grid.1x1m.mean)","SElam(S150.VPD__6.7m_Grid.1x1m.mean)","lam(S150.VPD__7.8m_Grid.1x1m.mean)","SElam(S150.VPD__7.8m_Grid.1x1m.mean)","lam(S150.VPD__8.9m_Grid.1x1m.mean)","SElam(S150.VPD__8.9m_Grid.1x1m.mean)","lam(S150.VPD__9.10m_Grid.1x1m.mean)","SElam(S150.VPD__9.10m_Grid.1x1m.mean)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","9","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + 1",-1.07220096584701,0.99744392857837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05180013549811,0.257925973124114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.574161476694,1.06466228073181,NA,NA,0,105.959919188404,60.9655093833609,3,98,127.931018766722,0,0.0314148564598108,NA,0.0314148564598108
"2","3/9","~1 ~ S150.sd_PercCanopyDensity + S150.VPD__3.4m_Grid.1x1m.mean + 1",-1.131781930615,1.02108242522715,NA,NA,0.342014312097868,0.402726241449281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.10472283560652,0.272424600915824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.5846696586114,1.07975827487064,NA,NA,0,109.665412434388,60.5966927333579,4,98,129.193385466716,1.26236669999409,0.016711507712379,NA,0.0481263641721898
"3","2/9","~1 ~ S150.mean_MaxHeight + S150.VPD__3.4m_Grid.1x1m.mean + 1",-1.07107158129884,1.04087896767582,-0.276720717833742,0.463881462823365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998359461112016,0.269450431729602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.62088437782271,1.10997646282302,NA,NA,0,122.448465622405,60.7845651784699,4,98,129.56913035694,1.63811159021799,0.0138491674868581,NA,0.0619755316590479
"4","9/12","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + S150.VPD__50.100cm_Grid.1x1m.mean + 1",-1.05713052720318,1.04183878189103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01498487075249,0.269789706738044,NA,NA,NA,NA,0.158339171117541,0.32126589673566,NA,NA,NA,NA,NA,NA,NA,NA,-2.61748048634124,1.11372672812822,NA,NA,0,126.895304389584,60.8460748995227,4,98,129.692149799045,1.76113103232368,0.0130229788446249,NA,0.0749985105036728
"5","10/11","~1 ~ S150.VPD__4.5m_Grid.1x1m.mean + S150.VPD__5.6m_Grid.1x1m.mean + 1",-1.01252374224145,1.03719863804483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.97024274669881,0.604193114318597,-1.18767721975933,0.645538105674734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.61754985010606,1.11067407148826,NA,NA,0,139.457436610518,60.8639420991396,4,98,129.727884198279,1.79686543155745,0.0127923610640696,NA,0.0877908715677424
"6","5/9","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__3.4m_Grid.1x1m.mean + 1",-1.08072794777024,1.01015910597282,NA,NA,NA,NA,NA,NA,0.115625923244889,0.326344599983507,NA,NA,NA,NA,NA,NA,0.998621425045136,0.300261373000339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.58358603573741,1.07698485454678,NA,NA,0,132.763263588541,60.9033547739996,4,98,129.806709547999,1.87569078127731,0.0122979862079686,NA,0.100088857775711
"7","1/9","~Julian + 1 ~ S150.VPD__3.4m_Grid.1x1m.mean + 1",-1.10874306206724,1.00692240001571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07845600421853,0.273009838820264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.53896875183807,1.08127375193614,-0.0998848193136828,0.314685777253737,0,112.555812315053,60.915222559836,4,98,129.830445119672,1.8994263529502,0.0121528989764177,NA,0.112241756752129
"8","7/9","~1 ~ S150.VPD__150.200cm_Grid.1x1m.mean + S150.VPD__3.4m_Grid.1x1m.mean + 1",-1.07198897766661,1.0078669886027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0834370424393664,0.399636855637673,NA,NA,1.00111813466534,0.355342427379335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.58659697222338,1.07627434382708,NA,NA,0,142.483866619004,60.9438766365698,4,98,129.88775327314,1.95673450641789,0.0118096106692815,NA,0.12405136742141
"9","6/9","~1 ~ S150.VPD__11.12m_Grid.1x1m.mean + S150.VPD__3.4m_Grid.1x1m.mean + 1",-1.08453357788927,0.99040158345526,NA,NA,NA,NA,NA,NA,NA,NA,0.0560682785780821,0.387990976799721,NA,NA,NA,NA,1.07368163291253,0.300146660888131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.5603726439755,1.05727054857188,NA,NA,0,114.628481545451,60.955082636968,4,98,129.910165273936,1.97914650721424,0.0116780108980913,NA,0.135729378319502
"10","9/11","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + S150.VPD__5.6m_Grid.1x1m.mean + 1",-1.06526566547799,1.0020159987504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08127112422975,0.329859665537054,NA,NA,-0.0505037823013707,0.352313362230072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.58094389313167,1.06924667227527,NA,NA,0,131.978248218042,60.955263438966,4,98,129.910526877932,1.97950811121015,0.0116758996812506,NA,0.147405278000752
