"","model","formula","lam(Int)","SElam(Int)","lam(S150.mean_MaxHeight)","SElam(S150.mean_MaxHeight)","lam(S150.sd_PercCanopyDensity)","SElam(S150.sd_PercCanopyDensity)","lam(S150.VPD__10.11m_Grid.1x1m.mean)","SElam(S150.VPD__10.11m_Grid.1x1m.mean)","lam(S150.VPD__100.150cm_Grid.1x1m.mean)","SElam(S150.VPD__100.150cm_Grid.1x1m.mean)","lam(S150.VPD__11.12m_Grid.1x1m.mean)","SElam(S150.VPD__11.12m_Grid.1x1m.mean)","lam(S150.VPD__150.200cm_Grid.1x1m.mean)","SElam(S150.VPD__150.200cm_Grid.1x1m.mean)","lam(S150.VPD__2.3m_Grid.1x1m.mean)","SElam(S150.VPD__2.3m_Grid.1x1m.mean)","lam(S150.VPD__3.4m_Grid.1x1m.mean)","SElam(S150.VPD__3.4m_Grid.1x1m.mean)","lam(S150.VPD__4.5m_Grid.1x1m.mean)","SElam(S150.VPD__4.5m_Grid.1x1m.mean)","lam(S150.VPD__5.6m_Grid.1x1m.mean)","SElam(S150.VPD__5.6m_Grid.1x1m.mean)","lam(S150.VPD__50.100cm_Grid.1x1m.mean)","SElam(S150.VPD__50.100cm_Grid.1x1m.mean)","lam(S150.VPD__6.7m_Grid.1x1m.mean)","SElam(S150.VPD__6.7m_Grid.1x1m.mean)","lam(S150.VPD__7.8m_Grid.1x1m.mean)","SElam(S150.VPD__7.8m_Grid.1x1m.mean)","lam(S150.VPD__8.9m_Grid.1x1m.mean)","SElam(S150.VPD__8.9m_Grid.1x1m.mean)","lam(S150.VPD__9.10m_Grid.1x1m.mean)","SElam(S150.VPD__9.10m_Grid.1x1m.mean)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/5/7","~Julian + 1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__150.200cm_Grid.1x1m.mean + 1",2.71588800681782,2.33762879119118,NA,NA,NA,NA,NA,NA,1.37094488707911,0.667376005371876,NA,NA,-1.49191401528823,0.713236410033491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.29193971906496,2.325877731013,0.591105487867521,0.32341037386319,0,364.631626804995,58.1460094354047,5,98,126.292018870809,0,0.0251081827327756,NA,0.0251081827327756
"2","1","~Julian + 1 ~ 1",3.05559270810895,22.4522478615855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.49907123631103,22.4940130801983,0.528745724615079,0.318129420216102,0,32290.3292084366,60.214900931306,3,98,126.429801862612,0.137782991802624,0.0234366796706255,NA,0.048544862403401
"3","5/7/11","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__150.200cm_Grid.1x1m.mean + S150.VPD__5.6m_Grid.1x1m.mean + 1",0.90715494048716,4.4258040299393,NA,NA,NA,NA,NA,NA,1.84340716062242,0.721776101696069,NA,NA,-2.06565607601364,0.865094200263686,NA,NA,NA,NA,NA,NA,0.568225956153889,0.31633021877436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.44711882013562,4.46670717985806,NA,NA,0,1186.86352673834,58.4456043074087,5,98,126.891208614817,0.599189744008001,0.0186081364067996,NA,0.0671529988102007
"4","5/7/13","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__150.200cm_Grid.1x1m.mean + S150.VPD__6.7m_Grid.1x1m.mean + 1",1.23272541790793,6.09997324336206,NA,NA,NA,NA,NA,NA,1.82309783339427,0.731951192062543,NA,NA,-1.89032998606154,0.822889431429204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.507790907004853,0.290791317024219,NA,NA,NA,NA,NA,NA,-4.76691711005482,6.14465741769372,NA,NA,0,2194.68455468545,58.5776441112735,5,98,127.155288222547,0.863269351737657,0.0163064237037049,NA,0.0834594225139056
"5","5/7/10","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__150.200cm_Grid.1x1m.mean + S150.VPD__4.5m_Grid.1x1m.mean + 1",0.475657545862063,2.81130252922401,NA,NA,NA,NA,NA,NA,1.84845802054347,0.727574630307752,NA,NA,-2.29232501970031,0.973693770042164,NA,NA,NA,NA,0.648359808601514,0.395627520402256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.99491434878926,2.84737067064288,NA,NA,0,507.132828128328,58.6510889535875,5,98,127.302177907175,1.01015903636571,0.015151723382656,NA,0.0986111458965615
"6","1/2","~Julian + 1 ~ S150.mean_MaxHeight + 1",3.53941315606458,2.69419005548425,0.246663668639236,0.268363993462903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.00668934763972,2.69871982159875,0.524184253840101,0.314998614642327,0,485.010872406726,59.8058065736313,4,98,127.611613147263,1.31959427645327,0.0129798305964885,NA,0.11159097649305
"7","1/13","~Julian + 1 ~ S150.VPD__6.7m_Grid.1x1m.mean + 1",3.25892510814296,28.019627185669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.213139751239524,0.265776214421822,NA,NA,NA,NA,NA,NA,-6.72496642510841,28.0594603970934,0.51304864722368,0.320674404238274,0,52733.9346433302,59.8988098110533,4,98,127.797619622107,1.50560075129734,0.0118270989850925,NA,0.123418075478142
"8","1/8","~Julian + 1 ~ S150.VPD__2.3m_Grid.1x1m.mean + 1",3.71971030711379,3.25232252386096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.192808557916313,0.269094713936597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.17845484813519,3.26066206781844,0.576357025423615,0.324539130392077,0,680.440180455668,59.9576323010047,4,98,127.915264602009,1.62324573120003,0.011151465594258,NA,0.1345695410724
"9","1/14","~Julian + 1 ~ S150.VPD__7.8m_Grid.1x1m.mean + 1",2.86873602424784,14.3092225787764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.191922155605954,0.266446305900177,NA,NA,NA,NA,-6.32912230668137,14.3434256260841,0.522500138433254,0.320122551169902,0,13485.9509818285,59.960527925398,4,98,127.921055850796,1.62903697998671,0.0111192218438862,NA,0.145688762916287
"10","5/9/10","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__3.4m_Grid.1x1m.mean + S150.VPD__4.5m_Grid.1x1m.mean + 1",2.47890980291422,2.14786240247805,NA,NA,NA,NA,NA,NA,0.93721626489918,0.472117351143765,NA,NA,NA,NA,NA,NA,-2.75382361226479,1.29128414116163,2.20758299433134,1.00519986956822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.02526902370897,2.11164402232636,NA,NA,0,282.845794714106,58.9692724080344,5,98,127.938544816069,1.64652594525944,0.0110224138861705,NA,0.156711176802457
