"","model","formula","lam(Int)","SElam(Int)","lam(S150.mean_MaxHeight)","SElam(S150.mean_MaxHeight)","lam(S150.sd_PercCanopyDensity)","SElam(S150.sd_PercCanopyDensity)","lam(S150.VPD__10.11m_Grid.1x1m.mean)","SElam(S150.VPD__10.11m_Grid.1x1m.mean)","lam(S150.VPD__2.3m_Grid.1x1m.mean)","SElam(S150.VPD__2.3m_Grid.1x1m.mean)","lam(S150.VPD__3.4m_Grid.1x1m.mean)","SElam(S150.VPD__3.4m_Grid.1x1m.mean)","lam(S150.VPD__4.5m_Grid.1x1m.mean)","SElam(S150.VPD__4.5m_Grid.1x1m.mean)","lam(S150.VPD__5.6m_Grid.1x1m.mean)","SElam(S150.VPD__5.6m_Grid.1x1m.mean)","lam(S150.VPD__6.7m_Grid.1x1m.mean)","SElam(S150.VPD__6.7m_Grid.1x1m.mean)","lam(S150.VPD__7.8m_Grid.1x1m.mean)","SElam(S150.VPD__7.8m_Grid.1x1m.mean)","lam(S150.VPD__8.9m_Grid.1x1m.mean)","SElam(S150.VPD__8.9m_Grid.1x1m.mean)","lam(S150.VPD__9.10m_Grid.1x1m.mean)","SElam(S150.VPD__9.10m_Grid.1x1m.mean)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","2/3/10","~1 ~ S150.mean_MaxHeight + S150.sd_PercCanopyDensity + S150.VPD__4.5m_Grid.1x1m.mean + 1",1.63327054169415,0.992066018154163,-0.624599670451934,0.153373432382731,0.296449557126973,0.125458716845389,NA,NA,NA,NA,NA,NA,0.215641976574038,0.094617562720552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.91296822068223,1.05804873511162,NA,NA,0,662.023490297801,270.135121999605,5,98,550.270243999209,0,0.169912888010737,NA,0.169912888010737
"2","2/3/9","~1 ~ S150.mean_MaxHeight + S150.sd_PercCanopyDensity + S150.VPD__3.4m_Grid.1x1m.mean + 1",1.56817038095346,0.903549115202823,-0.5345904379947,0.149443530842209,0.31768297461461,0.133090486303901,NA,NA,NA,NA,0.193457725093039,0.094616572358466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.82544355724828,0.968118981085997,NA,NA,0,548.22022363677,270.581987247541,5,98,551.163974495082,0.893730495872546,0.108681396520435,NA,0.278594284531172
"3","2/3/11","~1 ~ S150.mean_MaxHeight + S150.sd_PercCanopyDensity + S150.VPD__5.6m_Grid.1x1m.mean + 1",1.54605255915358,0.905487404292081,-0.697240566878002,0.167977539634876,0.259648529170219,0.117696100852944,NA,NA,NA,NA,NA,NA,NA,NA,0.202612463969295,0.103301579366779,NA,NA,NA,NA,NA,NA,NA,NA,-2.81386893633929,0.972055323753086,NA,NA,0,566.605588265384,270.780959156062,5,98,551.561918312124,1.29167431291489,0.0890723290638972,NA,0.367666613595069
"4","3/10/16","~1 ~ S150.sd_PercCanopyDensity + S150.VPD__4.5m_Grid.1x1m.mean + S150.VPD__9.10m_Grid.1x1m.mean + 1",1.64481329799384,0.954911004530734,NA,NA,0.511750294878075,0.119461797874575,NA,NA,NA,NA,NA,NA,0.283004019817248,0.0972250260476183,NA,NA,NA,NA,NA,NA,NA,NA,-0.421087687319979,0.109435036327123,-2.88139984419647,1.02010234780474,NA,NA,0,581.886307583628,270.983934379374,5,98,551.967868758748,1.69762475953871,0.0727096056088631,NA,0.440376219203932
"5","3/11/16","~1 ~ S150.sd_PercCanopyDensity + S150.VPD__5.6m_Grid.1x1m.mean + S150.VPD__9.10m_Grid.1x1m.mean + 1",1.64026881708703,0.953542783829626,NA,NA,0.497685335441911,0.116852724038269,NA,NA,NA,NA,NA,NA,NA,NA,0.330802307571826,0.113874427180637,NA,NA,NA,NA,NA,NA,-0.546605150886168,0.127440211084525,-2.87666961347968,1.01874131903571,NA,NA,0,606.964455280993,271.023836965745,5,98,552.047673931491,1.77742993228105,0.0698654267071913,NA,0.510241645911124
"6","3/11/15","~1 ~ S150.sd_PercCanopyDensity + S150.VPD__5.6m_Grid.1x1m.mean + S150.VPD__8.9m_Grid.1x1m.mean + 1",1.68646690942655,0.995830016032069,NA,NA,0.52728392779287,0.11799211968579,NA,NA,NA,NA,NA,NA,NA,NA,0.476058276956063,0.13352044190752,NA,NA,NA,NA,-0.616326991862493,0.140338978266973,NA,NA,-2.92311960292899,1.06105937797388,NA,NA,0,657.627487078425,271.113290667361,5,98,552.226581334722,1.95633733551222,0.0638870841192665,NA,0.57412873003039
"7","3/13/15","~1 ~ S150.sd_PercCanopyDensity + S150.VPD__6.7m_Grid.1x1m.mean + S150.VPD__8.9m_Grid.1x1m.mean + 1",1.62414152552791,0.928720354236131,NA,NA,0.492362826543709,0.113962368007257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.703581753986636,0.200919987578088,NA,NA,-0.90488377771335,0.210612760817803,NA,NA,-2.85343318657982,0.993070544764885,NA,NA,0,601.455038188241,271.222157718641,5,98,552.444315437282,2.17407143807247,0.0572971086859158,NA,0.631425838716306
"8","3/10/15","~1 ~ S150.sd_PercCanopyDensity + S150.VPD__4.5m_Grid.1x1m.mean + S150.VPD__8.9m_Grid.1x1m.mean + 1",1.64313752666492,0.942428557488635,NA,NA,0.536289958896214,0.119772477197211,NA,NA,NA,NA,NA,NA,0.358122380969208,0.10304455146237,NA,NA,NA,NA,NA,NA,-0.421176070990424,0.110493533206099,NA,NA,-2.87513067346274,1.00732692716978,NA,NA,0,554.764115883795,271.332742791098,5,98,552.665485582197,2.39524158298741,0.0512986835860349,NA,0.682724522302341
"9","3/13/16","~1 ~ S150.sd_PercCanopyDensity + S150.VPD__6.7m_Grid.1x1m.mean + S150.VPD__9.10m_Grid.1x1m.mean + 1",1.53466476601475,0.842236175692479,NA,NA,0.464901241424446,0.112878653869569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.382143386283186,0.142081264225763,NA,NA,NA,NA,-0.658031263859559,0.1608729229775,-2.75421711132813,0.906451528017096,NA,NA,0,494.054224812521,271.592011389702,5,98,553.184022779405,2.91377878019512,0.0395828717114725,NA,0.722307394013813
"10","2/3/13","~1 ~ S150.mean_MaxHeight + S150.sd_PercCanopyDensity + S150.VPD__6.7m_Grid.1x1m.mean + 1",1.42556943739024,0.781522602817599,-0.69814716822621,0.181051172303254,0.235188523001161,0.114405566587126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.163919425467944,0.112871054165404,NA,NA,NA,NA,NA,NA,-2.66334072754839,0.846797863214951,NA,NA,0,433.132134524063,271.629086882542,5,98,553.258173765085,2.98792976587515,0.0381421892660449,NA,0.760449583279858
