"","model","formula","lam(Int)","SElam(Int)","lam(S500.mean_MaxHeight)","SElam(S500.mean_MaxHeight)","lam(S500.sd_PercCanopyDensity)","SElam(S500.sd_PercCanopyDensity)","lam(S500.VPD__10.11m_Grid.1x1m.mean)","SElam(S500.VPD__10.11m_Grid.1x1m.mean)","lam(S500.VPD__100.150cm_Grid.1x1m.mean)","SElam(S500.VPD__100.150cm_Grid.1x1m.mean)","lam(S500.VPD__11.12m_Grid.1x1m.mean)","SElam(S500.VPD__11.12m_Grid.1x1m.mean)","lam(S500.VPD__150.200cm_Grid.1x1m.mean)","SElam(S500.VPD__150.200cm_Grid.1x1m.mean)","lam(S500.VPD__2.3m_Grid.1x1m.mean)","SElam(S500.VPD__2.3m_Grid.1x1m.mean)","lam(S500.VPD__3.4m_Grid.1x1m.mean)","SElam(S500.VPD__3.4m_Grid.1x1m.mean)","lam(S500.VPD__4.5m_Grid.1x1m.mean)","SElam(S500.VPD__4.5m_Grid.1x1m.mean)","lam(S500.VPD__5.6m_Grid.1x1m.mean)","SElam(S500.VPD__5.6m_Grid.1x1m.mean)","lam(S500.VPD__50.100cm_Grid.1x1m.mean)","SElam(S500.VPD__50.100cm_Grid.1x1m.mean)","lam(S500.VPD__6.7m_Grid.1x1m.mean)","SElam(S500.VPD__6.7m_Grid.1x1m.mean)","lam(S500.VPD__7.8m_Grid.1x1m.mean)","SElam(S500.VPD__7.8m_Grid.1x1m.mean)","lam(S500.VPD__8.9m_Grid.1x1m.mean)","SElam(S500.VPD__8.9m_Grid.1x1m.mean)","lam(S500.VPD__9.10m_Grid.1x1m.mean)","SElam(S500.VPD__9.10m_Grid.1x1m.mean)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","8/10/11","~1 ~ S500.VPD__2.3m_Grid.1x1m.mean + S500.VPD__4.5m_Grid.1x1m.mean + S500.VPD__5.6m_Grid.1x1m.mean + 1",0.890099978622545,0.359821873840979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.04994135096243,0.300894567317025,NA,NA,3.26861558181102,0.854275924611597,-2.8131937437048,0.698070634338815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.87976170435053,0.418550148079529,NA,NA,0,476.159666535886,282.225077346219,5,98,574.450154692437,0,0.0311142743342768,NA,0.0311142743342768
"2","2","~1 ~ S500.mean_MaxHeight + 1",0.840153029159556,0.334356792503831,-0.373407519907926,0.0985077120011088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.79563043357875,0.393703790470094,NA,NA,0,51.2642231365241,284.422020887328,3,98,574.844041774656,0.39388708221918,0.0255521932533827,NA,0.0566664675876595
"3","2/3","~1 ~ S500.mean_MaxHeight + S500.sd_PercCanopyDensity + 1",0.885037612014616,0.360529299229813,-0.248297110770524,0.134166876425138,0.190832295259556,0.1357177697209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.8609058789043,0.421777401505309,NA,NA,0,75.1705637597626,283.458851389488,4,98,574.917702778975,0.467548086537818,0.0246282129192633,NA,0.0812946805069228
"4","1/2","~Julian + 1 ~ S500.mean_MaxHeight + 1",0.826254585953071,0.323593704929405,-0.367658014463173,0.0984136588265525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.78057029206654,0.382911799617712,-0.138888677951765,0.121396051161189,0,47.9379435819575,283.752438115976,4,98,575.504876231952,1.0547215395153,0.0183624152469228,NA,0.0996570957538456
"5","9/10/11","~1 ~ S500.VPD__3.4m_Grid.1x1m.mean + S500.VPD__4.5m_Grid.1x1m.mean + S500.VPD__5.6m_Grid.1x1m.mean + 1",0.885931321649833,0.356790185900575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.47161736290078,0.743325118743398,5.58772210856968,1.56209415454063,-3.65132684237139,0.956500164134573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.87217528026285,0.415931742083613,NA,NA,0,1517.76175752595,282.794506278106,5,98,575.589012556212,1.13885786377489,0.0176059649776275,NA,0.117263060731473
"6","2/6","~1 ~ S500.mean_MaxHeight + S500.VPD__11.12m_Grid.1x1m.mean + 1",0.863154041084069,0.346870556195382,-0.52797274281773,0.207037936563932,NA,NA,NA,NA,NA,NA,0.176303355409028,0.205071306573081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.82801694102363,0.407130741903347,NA,NA,0,72.18763119301,284.060273749128,4,98,576.120547498257,1.6703928058198,0.0134970385239719,NA,0.130760099255445
"7","1/2/3","~Julian + 1 ~ S500.mean_MaxHeight + S500.sd_PercCanopyDensity + 1",0.857429142582713,0.346280014607257,-0.26288368026276,0.134977164812139,0.162550824595191,0.139999301969677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.82822376970849,0.40761795341835,-0.104810765328095,0.123573654259195,0,69.5344118953563,283.091156818367,5,98,576.182313636735,1.73215894429768,0.0130865792920715,NA,0.143846678547517
"8","3","~1 ~ S500.sd_PercCanopyDensity + 1",0.87166414189851,0.347186995412907,NA,NA,0.353501068762189,0.0995692263634199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.82284828370596,0.408974880833301,NA,NA,0,54.8484603384446,285.136481102231,3,98,576.272962204462,1.82280751202529,0.0125066804766887,NA,0.156353359024205
"9","2/7","~1 ~ S500.mean_MaxHeight + S500.VPD__150.200cm_Grid.1x1m.mean + 1",0.848938227075103,0.337572691269144,-0.360559628026473,0.0985955811427403,NA,NA,NA,NA,NA,NA,NA,NA,-0.0568710582454353,0.092637259623285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.80386639638514,0.39693030442841,NA,NA,0,54.8183281786797,284.233179110216,4,98,576.466358220433,2.01620352799534,0.0113539412653262,NA,0.167707300289531
"10","2/4","~1 ~ S500.mean_MaxHeight + S500.VPD__10.11m_Grid.1x1m.mean + 1",0.852159080945718,0.341703139881374,-0.466723967154661,0.182320851766129,NA,NA,0.107346508734506,0.17438566336107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.81340073032564,0.401783138822566,NA,NA,0,69.8059807618714,284.233978563443,4,98,576.467957126886,2.01780243444853,0.0113448679476769,NA,0.179052168237208
