"","model","formula","lam(Int)","SElam(Int)","lam(S150.mean_MaxHeight)","SElam(S150.mean_MaxHeight)","lam(S150.sd_PercCanopyDensity)","SElam(S150.sd_PercCanopyDensity)","lam(S150.VPD__10.11m_Grid.1x1m.mean)","SElam(S150.VPD__10.11m_Grid.1x1m.mean)","lam(S150.VPD__100.150cm_Grid.1x1m.mean)","SElam(S150.VPD__100.150cm_Grid.1x1m.mean)","lam(S150.VPD__11.12m_Grid.1x1m.mean)","SElam(S150.VPD__11.12m_Grid.1x1m.mean)","lam(S150.VPD__150.200cm_Grid.1x1m.mean)","SElam(S150.VPD__150.200cm_Grid.1x1m.mean)","lam(S150.VPD__2.3m_Grid.1x1m.mean)","SElam(S150.VPD__2.3m_Grid.1x1m.mean)","lam(S150.VPD__3.4m_Grid.1x1m.mean)","SElam(S150.VPD__3.4m_Grid.1x1m.mean)","lam(S150.VPD__4.5m_Grid.1x1m.mean)","SElam(S150.VPD__4.5m_Grid.1x1m.mean)","lam(S150.VPD__5.6m_Grid.1x1m.mean)","SElam(S150.VPD__5.6m_Grid.1x1m.mean)","lam(S150.VPD__50.100cm_Grid.1x1m.mean)","SElam(S150.VPD__50.100cm_Grid.1x1m.mean)","lam(S150.VPD__6.7m_Grid.1x1m.mean)","SElam(S150.VPD__6.7m_Grid.1x1m.mean)","lam(S150.VPD__7.8m_Grid.1x1m.mean)","SElam(S150.VPD__7.8m_Grid.1x1m.mean)","lam(S150.VPD__8.9m_Grid.1x1m.mean)","SElam(S150.VPD__8.9m_Grid.1x1m.mean)","lam(S150.VPD__9.10m_Grid.1x1m.mean)","SElam(S150.VPD__9.10m_Grid.1x1m.mean)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","5/9","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__3.4m_Grid.1x1m.mean + 1",0.563606136799861,0.568882563743023,NA,NA,NA,NA,NA,NA,0.369826987969065,0.143815028517639,NA,NA,NA,NA,NA,NA,0.404784097939537,0.141410209367974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.15575892321271,0.636648487572361,NA,NA,0,169.097366957885,207.010920705173,4,98,422.021841410345,0,0.0209682219228287,NA,0.0209682219228287
"2","9/12","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + S150.VPD__50.100cm_Grid.1x1m.mean + 1",0.578869604297705,0.585831729052542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.513040438842854,0.117408326638477,NA,NA,NA,NA,0.3401930296147,0.1301053209586,NA,NA,NA,NA,NA,NA,NA,NA,-2.17793458282126,0.654545295425938,NA,NA,0,158.015335210386,207.018522415976,4,98,422.037044831952,0.0152034216073389,0.0208094318664008,NA,0.0417776537892296
"3","5/10/14","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__4.5m_Grid.1x1m.mean + S150.VPD__7.8m_Grid.1x1m.mean + 1",0.629186783934111,0.625419296952031,NA,NA,NA,NA,NA,NA,0.357837933418962,0.15165571722406,NA,NA,NA,NA,NA,NA,NA,NA,0.516822354429011,0.162280971617439,NA,NA,NA,NA,NA,NA,-0.274161177010717,0.186635463977753,NA,NA,NA,NA,-2.23787024276089,0.694143773686921,NA,NA,0,185.274118182802,206.058009713625,5,98,422.11601942725,0.0941780169051185,0.0200037357056463,NA,0.0617813894948758
"4","5/10/15","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__4.5m_Grid.1x1m.mean + S150.VPD__8.9m_Grid.1x1m.mean + 1",0.640927673011779,0.636718642888239,NA,NA,NA,NA,NA,NA,0.347014106107082,0.156123077696358,NA,NA,NA,NA,NA,NA,NA,NA,0.464108094226366,0.14319083159294,NA,NA,NA,NA,NA,NA,NA,NA,-0.257298308564593,0.177273775201634,NA,NA,-2.25162621007494,0.706249692670923,NA,NA,0,197.737247121847,206.081558708935,5,98,422.16311741787,0.141276007525107,0.0195381711312264,NA,0.0813195606261022
"5","5/10","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__4.5m_Grid.1x1m.mean + 1",0.508579226758997,0.53397956521539,NA,NA,NA,NA,NA,NA,0.489179753256721,0.123568840269937,NA,NA,NA,NA,NA,NA,NA,NA,0.358695230601432,0.129083943206122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.09696814516224,0.599907613052612,NA,NA,0,130.611722273358,207.10429481891,4,98,422.208589637819,0.186748227474027,0.0190989610084503,NA,0.100418521634553
"6","2/5/10","~1 ~ S150.mean_MaxHeight + S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__4.5m_Grid.1x1m.mean + 1",0.587280835589259,0.611056101432999,-0.271672192148733,0.194404883414857,NA,NA,NA,NA,0.388642852644588,0.141618196008715,NA,NA,NA,NA,NA,NA,NA,NA,0.368670215115209,0.126643738467116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.21225922831163,0.680590990783969,NA,NA,0,186.640743759889,206.113582427828,5,98,422.227164855656,0.20532344531108,0.0189223985187142,NA,0.119340920153267
"7","5/10/11","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__4.5m_Grid.1x1m.mean + S150.VPD__5.6m_Grid.1x1m.mean + 1",0.606598559162845,0.611251779730659,NA,NA,NA,NA,NA,NA,0.372522989294041,0.149027677410741,NA,NA,NA,NA,NA,NA,NA,NA,0.840016757396159,0.361139964766035,-0.516429955779675,0.366201374476321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.21689828499289,0.679690595811561,NA,NA,0,198.709077362789,206.160626093395,5,98,422.32125218679,0.299410776444631,0.0180528336544638,NA,0.137393753807731
"8","5/10/13","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__4.5m_Grid.1x1m.mean + S150.VPD__6.7m_Grid.1x1m.mean + 1",0.604919584716953,0.606495973347083,NA,NA,NA,NA,NA,NA,0.370002635193388,0.149866116936843,NA,NA,NA,NA,NA,NA,NA,NA,0.601269389913612,0.212131321028486,NA,NA,NA,NA,-0.316601227477427,0.228460755005609,NA,NA,NA,NA,NA,NA,-2.2112978184631,0.674587112310349,NA,NA,0,177.809668286436,206.176936270794,5,98,422.353872541589,0.332031131243468,0.0177607769576922,NA,0.155154530765423
"9","5/10/16","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__4.5m_Grid.1x1m.mean + S150.VPD__9.10m_Grid.1x1m.mean + 1",0.65426222803377,0.651139494994428,NA,NA,NA,NA,NA,NA,0.354239838196206,0.158573623968947,NA,NA,NA,NA,NA,NA,NA,NA,0.4131289650366,0.131021770586302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.234828624376005,0.179181900012732,-2.26660184275291,0.722070466286104,NA,NA,0,216.440108488909,206.262454068666,5,98,422.524908137332,0.503066726987186,0.0163050469113752,NA,0.171459577676798
"10","10/12","~1 ~ S150.VPD__4.5m_Grid.1x1m.mean + S150.VPD__50.100cm_Grid.1x1m.mean + 1",0.497161005055657,0.535073631648978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.503685253787989,0.117877173714643,NA,NA,0.476207270930884,0.120581870552791,NA,NA,NA,NA,NA,NA,NA,NA,-2.0894470075199,0.601607287946266,NA,NA,0,114.591946301575,207.296365516276,4,98,422.592731032552,0.570889622206664,0.0157613893732211,NA,0.187220967050019
