"","model","formula","lam(Int)","SElam(Int)","lam(S500.mean.VPD__1.2m_Grid.1x1m)","SElam(S500.mean.VPD__1.2m_Grid.1x1m)","lam(S500.mean.VPD__10.11m_Grid.1x1m)","SElam(S500.mean.VPD__10.11m_Grid.1x1m)","lam(S500.mean.VPD__2.3m_Grid.1x1m)","SElam(S500.mean.VPD__2.3m_Grid.1x1m)","lam(S500.mean.VPD__3.4m_Grid.1x1m)","SElam(S500.mean.VPD__3.4m_Grid.1x1m)","lam(S500.mean.VPD__4.5m_Grid.1x1m)","SElam(S500.mean.VPD__4.5m_Grid.1x1m)","lam(S500.mean.VPD__5.6m_Grid.1x1m)","SElam(S500.mean.VPD__5.6m_Grid.1x1m)","lam(S500.mean.VPD__6.7m_Grid.1x1m)","SElam(S500.mean.VPD__6.7m_Grid.1x1m)","lam(S500.mean.VPD__7.8m_Grid.1x1m)","SElam(S500.mean.VPD__7.8m_Grid.1x1m)","lam(S500.mean.VPD__8.9m_Grid.1x1m)","SElam(S500.mean.VPD__8.9m_Grid.1x1m)","lam(S500.mean.VPD__9.10m_Grid.1x1m)","SElam(S500.mean.VPD__9.10m_Grid.1x1m)","lam(S500.mean_MaxHeight)","SElam(S500.mean_MaxHeight)","lam(S500.sd_PercCanopyDensity)","SElam(S500.sd_PercCanopyDensity)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","4/12","~1 ~ S500.mean.VPD__2.3m_Grid.1x1m + S500.mean_MaxHeight + 1",-2.73091012752735,1.20545741672266,NA,NA,NA,NA,-0.000501486520129939,0.000146029918303629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.184405970203583,0.12828575324277,NA,NA,-1.90373496503557,0.713627651922083,NA,NA,0,103315238.724162,56.4233908370919,4,98,120.846781674184,0,0.0129342513679134,NA,0.0129342513679134
"2","2/12","~1 ~ S500.mean.VPD__1.2m_Grid.1x1m + S500.mean_MaxHeight + 1",-2.73090571974169,1.20545662629548,-0.000501478769982862,0.000146029758884695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.184406488004772,0.128285322987148,NA,NA,-1.9037441264292,0.713633223249131,NA,NA,0,103314948.943576,56.4234084348187,4,98,120.846816869637,3.51954537194388e-05,0.0129340237564934,NA,0.0258682751244069
"3","5/12","~1 ~ S500.mean.VPD__3.4m_Grid.1x1m + S500.mean_MaxHeight + 1",-2.73090331835238,1.20545851870952,NA,NA,NA,NA,NA,NA,-0.000501473115707574,0.000146029847689005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18440707293804,0.128285266238109,NA,NA,-1.90375189906294,0.713637593245247,NA,NA,0,103315393.266098,56.4234148878774,4,98,120.846829775755,4.8101571039183e-05,0.0129339402927487,NA,0.0388022154171556
"4","6/12","~1 ~ S500.mean.VPD__4.5m_Grid.1x1m + S500.mean_MaxHeight + 1",-2.73089790282073,1.20545883490045,NA,NA,NA,NA,NA,NA,NA,NA,-0.00050146378338065,0.000146029535621608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.184407673843288,0.128284936973919,NA,NA,-1.90376256967598,0.713643823791785,NA,NA,0,103315701.195189,56.4234344187318,4,98,120.846868837464,8.71632799004374e-05,0.0129336876843105,NA,0.0517359031014661
"5","7/12","~1 ~ S500.mean.VPD__5.6m_Grid.1x1m + S500.mean_MaxHeight + 1",-2.73089390463441,1.20545892144082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000501457140263675,0.00014602911923356,NA,NA,NA,NA,NA,NA,NA,NA,0.184408099564562,0.128284702686361,NA,NA,-1.90377017338223,0.71364825332432,NA,NA,0,103316140.078495,56.4234483727086,4,98,120.846896745417,0.000115071233551589,0.0129335072091915,NA,0.0646694103106576
"6","8/12","~1 ~ S500.mean.VPD__6.7m_Grid.1x1m + S500.mean_MaxHeight + 1",-2.73089129648583,1.20545897646229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000501452583926682,0.000146028723850259,NA,NA,NA,NA,NA,NA,0.184408428827296,0.128284543032657,NA,NA,-1.90377555386921,0.713651381967241,NA,NA,0,103316583.672481,56.4234575567289,4,98,120.846915113458,0.000133439274051739,0.0129333884281448,NA,0.0776027987388024
"7","9/12","~1 ~ S500.mean.VPD__7.8m_Grid.1x1m + S500.mean_MaxHeight + 1",-2.73088980770193,1.20545920967303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000501449420958295,0.000146028420878946,NA,NA,NA,NA,0.184408749303238,0.128284439563691,NA,NA,-1.90377980446362,0.713653863724133,NA,NA,0,103316985.787035,56.4234630577748,4,98,120.84692611555,0.000144441365904413,0.0129333172811768,NA,0.0905361160199791
"8","10/12","~1 ~ S500.mean.VPD__8.9m_Grid.1x1m + S500.mean_MaxHeight + 1",-2.73088897437753,1.20545958211913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000501446871794199,0.000146028184560237,NA,NA,0.184409119384712,0.128284351831659,NA,NA,-1.90378392928419,0.713656299980652,NA,NA,0,103317355.299287,56.4234661639458,4,98,120.846932327892,0.000150653707919446,0.012933277108144,NA,0.103469393128123
"9","11/12","~1 ~ S500.mean.VPD__9.10m_Grid.1x1m + S500.mean_MaxHeight + 1",-2.73088839605733,1.20545994184348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000501444448796219,0.000146028005598403,0.184409543950833,0.128284242841788,NA,NA,-1.9037884162086,0.713658974811126,NA,NA,0,103317653.217291,56.4234676356215,4,98,120.846935271243,0.000153597059224353,0.012933258074569,NA,0.116402651202692
"10","3/12","~1 ~ S500.mean.VPD__10.11m_Grid.1x1m + S500.mean_MaxHeight + 1",-2.73088772273912,1.20546019980337,NA,NA,-0.00050144192257701,0.000146027843523717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.184409976208199,0.128284107658521,NA,NA,-1.90379314211504,0.713661820562893,NA,NA,0,103317892.913145,56.4234687715269,4,98,120.846937543054,0.000155868870194809,0.0129332433836185,NA,0.129335894586311
"11","5/9/12","~1 ~ S500.mean.VPD__3.4m_Grid.1x1m + S500.mean.VPD__7.8m_Grid.1x1m + S500.mean_MaxHeight + 1",-2.62628027331914,1.6453160346934,NA,NA,NA,NA,NA,NA,-1.1230652945434,19.6630490712208,NA,NA,NA,NA,NA,NA,1.12237746616041,19.662308468191,NA,NA,NA,NA,0.209794851450227,0.180615709192302,NA,NA,-2.30364589880974,0.998309753272427,NA,NA,0,217893788482.935,55.7170873529061,5,98,121.434174705812,0.587393031628537,0.00964251938706278,NA,0.138978413973373
"12","5/8/12","~1 ~ S500.mean.VPD__3.4m_Grid.1x1m + S500.mean.VPD__6.7m_Grid.1x1m + S500.mean_MaxHeight + 1",-2.64643293355799,2.16646891875847,NA,NA,NA,NA,NA,NA,-0.958938186514112,38.1392556927812,NA,NA,NA,NA,0.958240133405632,38.1380468463519,NA,NA,NA,NA,NA,NA,0.210260390014295,0.256328341159678,NA,NA,-2.29013717859338,0.99786204662074,NA,NA,0,843919942420.013,55.7174352140035,5,98,121.434870428007,0.588088753823342,0.00963916571302725,NA,0.148617579686401
"13","4/7/12","~1 ~ S500.mean.VPD__2.3m_Grid.1x1m + S500.mean.VPD__5.6m_Grid.1x1m + S500.mean_MaxHeight + 1",-2.60286131407418,2.56365292925098,NA,NA,NA,NA,-1.33797435202924,52.0690351303855,NA,NA,NA,NA,1.33730298777507,52.0669868908821,NA,NA,NA,NA,NA,NA,NA,NA,0.210281739235741,0.35446078578886,NA,NA,-2.32230749591074,1.02181933487248,NA,NA,0,1460770960789.06,55.7219868965919,5,98,121.443973793184,0.597192119000113,0.00959539099018295,NA,0.158212970676584
"14","5/7/12","~1 ~ S500.mean.VPD__3.4m_Grid.1x1m + S500.mean.VPD__5.6m_Grid.1x1m + S500.mean_MaxHeight + 1",-2.66728750381551,11.8707946245163,NA,NA,NA,NA,NA,NA,-0.732487264019407,352.252690109247,NA,NA,0.73177901067491,352.244420181694,NA,NA,NA,NA,NA,NA,NA,NA,0.210579718437194,1.55417478280012,NA,NA,-2.27482908019039,1.27436337277617,NA,NA,0,73652570400662.4,55.7223926877217,5,98,121.444785375443,0.598003701259614,0.00959149805554524,NA,0.167804468732129
"15","4/6/12","~1 ~ S500.mean.VPD__2.3m_Grid.1x1m + S500.mean.VPD__4.5m_Grid.1x1m + S500.mean_MaxHeight + 1",-2.6435575027201,1.82206392692061,NA,NA,NA,NA,-1.00524577414912,47.0828385663511,NA,NA,1.00455371477915,47.0814992492402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.210707422084442,0.244681456993177,NA,NA,-2.29260452314065,0.998610341817384,NA,NA,0,1263914695590.08,55.722592390255,5,98,121.44518478051,0.598403106326217,0.00958958280033242,NA,0.177394051532461
"16","5/10/12","~1 ~ S500.mean.VPD__3.4m_Grid.1x1m + S500.mean.VPD__8.9m_Grid.1x1m + S500.mean_MaxHeight + 1",-2.60616486981272,1.48730460084714,NA,NA,NA,NA,NA,NA,-1.25440983704638,13.4331135596487,NA,NA,NA,NA,NA,NA,NA,NA,1.25373352606101,13.4325427394925,NA,NA,0.209220051924759,0.156506494988706,NA,NA,-2.31574452754263,1.00064974351915,NA,NA,0,98282728357.3478,55.7227611075758,5,98,121.445522215152,0.598740540967867,0.00958796500809313,NA,0.186982016540554
"17","6/9/12","~1 ~ S500.mean.VPD__4.5m_Grid.1x1m + S500.mean.VPD__7.8m_Grid.1x1m + S500.mean_MaxHeight + 1",-2.66790048265507,1.57464973559446,NA,NA,NA,NA,NA,NA,NA,NA,-0.686712360593697,24.9203489749926,NA,NA,NA,NA,0.686003642463053,24.9197351170847,NA,NA,NA,NA,0.210252559626856,0.167525675434113,NA,NA,-2.27265452514653,0.985054105469206,NA,NA,0,370751406053.248,55.725704652317,5,98,121.451409304634,0.604627630450324,0.00955978390063763,NA,0.196541800441192
"18","6/10/12","~1 ~ S500.mean.VPD__4.5m_Grid.1x1m + S500.mean.VPD__8.9m_Grid.1x1m + S500.mean_MaxHeight + 1",-2.65552345176622,1.44615272072174,NA,NA,NA,NA,NA,NA,NA,NA,-0.811890752823249,16.5459321689835,NA,NA,NA,NA,NA,NA,0.811189463729774,16.5454457413766,NA,NA,0.209888984272801,0.149428239239187,NA,NA,-2.28017772637585,0.985974748974012,NA,NA,0,159833958580.088,55.7266002727971,5,98,121.453200545594,0.606418871410483,0.00955122579537033,NA,0.206093026236562
