"","model","formula","lam(Int)","SElam(Int)","lam(S500.mean_MaxHeight)","SElam(S500.mean_MaxHeight)","lam(S500.sd_PercCanopyDensity)","SElam(S500.sd_PercCanopyDensity)","lam(S500.VPD__10.11m_Grid.1x1m.mean)","SElam(S500.VPD__10.11m_Grid.1x1m.mean)","lam(S500.VPD__100.150cm_Grid.1x1m.mean)","SElam(S500.VPD__100.150cm_Grid.1x1m.mean)","lam(S500.VPD__11.12m_Grid.1x1m.mean)","SElam(S500.VPD__11.12m_Grid.1x1m.mean)","lam(S500.VPD__150.200cm_Grid.1x1m.mean)","SElam(S500.VPD__150.200cm_Grid.1x1m.mean)","lam(S500.VPD__2.3m_Grid.1x1m.mean)","SElam(S500.VPD__2.3m_Grid.1x1m.mean)","lam(S500.VPD__3.4m_Grid.1x1m.mean)","SElam(S500.VPD__3.4m_Grid.1x1m.mean)","lam(S500.VPD__4.5m_Grid.1x1m.mean)","SElam(S500.VPD__4.5m_Grid.1x1m.mean)","lam(S500.VPD__5.6m_Grid.1x1m.mean)","SElam(S500.VPD__5.6m_Grid.1x1m.mean)","lam(S500.VPD__50.100cm_Grid.1x1m.mean)","SElam(S500.VPD__50.100cm_Grid.1x1m.mean)","lam(S500.VPD__6.7m_Grid.1x1m.mean)","SElam(S500.VPD__6.7m_Grid.1x1m.mean)","lam(S500.VPD__7.8m_Grid.1x1m.mean)","SElam(S500.VPD__7.8m_Grid.1x1m.mean)","lam(S500.VPD__8.9m_Grid.1x1m.mean)","SElam(S500.VPD__8.9m_Grid.1x1m.mean)","lam(S500.VPD__9.10m_Grid.1x1m.mean)","SElam(S500.VPD__9.10m_Grid.1x1m.mean)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/3/8","~Julian + 1 ~ S500.sd_PercCanopyDensity + S500.VPD__2.3m_Grid.1x1m.mean + 1",1.58317492054133,0.886908561812024,NA,NA,0.527831028830312,0.126748493509537,NA,NA,NA,NA,NA,NA,NA,NA,0.197397839055543,0.120626785941843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.0698474396111,0.941252441332166,0.304682542802278,0.128659825793431,0,308.702970548187,225.596469082998,5,98,461.192938165996,0,0.12570828795053,NA,0.12570828795053
"2","1/3/7","~Julian + 1 ~ S500.sd_PercCanopyDensity + S500.VPD__150.200cm_Grid.1x1m.mean + 1",1.57762371705709,0.87780285668484,NA,NA,0.513309347353525,0.123991560353766,NA,NA,NA,NA,NA,NA,0.191040414541472,0.117840080392824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.06384564221656,0.931743538587307,0.303768142592395,0.128643717871517,0,302.502341286337,225.618799469113,5,98,461.237598938226,0.0446607722304293,0.122932283323015,NA,0.248640571273545
"3","1/3/9","~Julian + 1 ~ S500.sd_PercCanopyDensity + S500.VPD__3.4m_Grid.1x1m.mean + 1",1.56373489228861,0.862348668241692,NA,NA,0.527439470933735,0.129960598757138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.177463721485999,0.125173317160156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.04604493895884,0.917202964258424,0.325825512125169,0.126967562781492,0,292.678534070996,225.893352729099,5,98,461.786705458197,0.593767292201278,0.0934176595425382,NA,0.342058230816083
"4","1/3","~Julian + 1 ~ S500.sd_PercCanopyDensity + 1",1.47178075231482,0.752116968688119,NA,NA,0.446664562875977,0.116859913978863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.92983304260367,0.805688055383163,0.358384795592697,0.125526291956347,0,217.858671503861,226.899013286559,4,98,461.798026573119,0.605088407123105,0.0928903573330418,NA,0.434948588149125
"5","1/3/5","~Julian + 1 ~ S500.sd_PercCanopyDensity + S500.VPD__100.150cm_Grid.1x1m.mean + 1",1.54791455915909,0.841615860545335,NA,NA,0.494130120611795,0.123345515201638,NA,NA,0.153583380126897,0.11937102044027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.02742735456975,0.895843582982162,0.318765327150175,0.128103433578602,0,276.739015227608,226.076706196413,5,98,462.153412392826,0.960474226829717,0.0777677588309771,NA,0.512716346980102
"6","1/3/12","~Julian + 1 ~ S500.sd_PercCanopyDensity + S500.VPD__50.100cm_Grid.1x1m.mean + 1",1.49693738027153,0.787720328526892,NA,NA,0.464750736005912,0.119993584272305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.113777142736947,0.115177383770168,NA,NA,NA,NA,NA,NA,NA,NA,-2.96862353759729,0.841486128926319,0.333614016220199,0.127332814199832,0,241.800277226616,226.411229241846,5,98,462.822458483692,1.62952031769595,0.0556567792075465,NA,0.568373126187648
"7","1/2/3","~Julian + 1 ~ S500.mean_MaxHeight + S500.sd_PercCanopyDensity + 1",1.53295037791132,0.821884136380123,-0.147460418704581,0.149330860943512,0.351150990034326,0.153349886111026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.00398452300898,0.876684047348834,0.342019732301162,0.125837762172121,0,312.688987514822,226.41781444088,5,98,462.83562888176,1.64269071576445,0.0552914723681047,NA,0.623664598555753
"8","1/3/10","~Julian + 1 ~ S500.sd_PercCanopyDensity + S500.VPD__4.5m_Grid.1x1m.mean + 1",1.49674973438382,0.785584312445382,NA,NA,0.49773406188319,0.129797900993427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1126232761666,0.122832079747776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.96536474373415,0.839907124489799,0.351142667116133,0.125927293137501,0,244.00711528371,226.474055922134,5,98,462.948111844269,1.75517367827308,0.0522676278286483,NA,0.675932226384401
"9","1/3/6","~Julian + 1 ~ S500.sd_PercCanopyDensity + S500.VPD__11.12m_Grid.1x1m.mean + 1",1.49987179797123,0.797063999168485,NA,NA,0.391356693795521,0.132790528022357,NA,NA,NA,NA,-0.119367773094565,0.133037231217003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.96793325590658,0.851413832517147,0.329717586781519,0.128712425821477,0,278.687009105121,226.498268897956,5,98,462.996537795912,1.80359962991582,0.0510172715296253,NA,0.726949497914026
"10","1/3/4","~Julian + 1 ~ S500.sd_PercCanopyDensity + S500.VPD__10.11m_Grid.1x1m.mean + 1",1.48736507794976,0.781959775395706,NA,NA,0.400979290362679,0.132214275172478,-0.0959528956318087,0.127749108456484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.95146560496453,0.83601005111467,0.333150441251016,0.129235959259751,0,268.24322830381,226.618896137636,5,98,463.237792275272,2.04485410927657,0.045219888139708,NA,0.772169386053734
