"","model","formula","lam(Int)","SElam(Int)","lam(S500.mean_MaxHeight)","SElam(S500.mean_MaxHeight)","lam(S500.sd_PercCanopyDensity)","SElam(S500.sd_PercCanopyDensity)","lam(S500.VPD__10.11m_Grid.1x1m.mean)","SElam(S500.VPD__10.11m_Grid.1x1m.mean)","lam(S500.VPD__100.150cm_Grid.1x1m.mean)","SElam(S500.VPD__100.150cm_Grid.1x1m.mean)","lam(S500.VPD__11.12m_Grid.1x1m.mean)","SElam(S500.VPD__11.12m_Grid.1x1m.mean)","lam(S500.VPD__150.200cm_Grid.1x1m.mean)","SElam(S500.VPD__150.200cm_Grid.1x1m.mean)","lam(S500.VPD__2.3m_Grid.1x1m.mean)","SElam(S500.VPD__2.3m_Grid.1x1m.mean)","lam(S500.VPD__3.4m_Grid.1x1m.mean)","SElam(S500.VPD__3.4m_Grid.1x1m.mean)","lam(S500.VPD__4.5m_Grid.1x1m.mean)","SElam(S500.VPD__4.5m_Grid.1x1m.mean)","lam(S500.VPD__5.6m_Grid.1x1m.mean)","SElam(S500.VPD__5.6m_Grid.1x1m.mean)","lam(S500.VPD__50.100cm_Grid.1x1m.mean)","SElam(S500.VPD__50.100cm_Grid.1x1m.mean)","lam(S500.VPD__6.7m_Grid.1x1m.mean)","SElam(S500.VPD__6.7m_Grid.1x1m.mean)","lam(S500.VPD__7.8m_Grid.1x1m.mean)","SElam(S500.VPD__7.8m_Grid.1x1m.mean)","lam(S500.VPD__8.9m_Grid.1x1m.mean)","SElam(S500.VPD__8.9m_Grid.1x1m.mean)","lam(S500.VPD__9.10m_Grid.1x1m.mean)","SElam(S500.VPD__9.10m_Grid.1x1m.mean)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/3/8","~Julian + 1 ~ S500.sd_PercCanopyDensity + S500.VPD__2.3m_Grid.1x1m.mean + 1",1.04150238510246,0.326082487880918,NA,NA,0.299362712247636,0.0967309885428996,NA,NA,NA,NA,NA,NA,NA,NA,0.509120829447457,0.0959936251632166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.72421743565738,0.391549299644835,0.216819924632405,0.114246974682753,0,75.2428519555754,333.092169772017,5,98,676.184339544034,0,0.0702508130556279,NA,0.0702508130556279
"2","1/2/8","~Julian + 1 ~ S500.mean_MaxHeight + S500.VPD__2.3m_Grid.1x1m.mean + 1",1.02330474247907,0.318266360086042,-0.293906199836411,0.0990478811485127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.399337403815319,0.0899444142000911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.70079203709889,0.383191788067827,0.195288127434182,0.114243668480514,0,74.7692184756125,333.431664916637,5,98,676.863329833274,0.678990289240119,0.0500276942591023,NA,0.12027850731473
"3","3/9/13","~1 ~ S500.sd_PercCanopyDensity + S500.VPD__3.4m_Grid.1x1m.mean + S500.VPD__6.7m_Grid.1x1m.mean + 1",0.985873303727135,0.299025795777442,NA,NA,0.191946063174921,0.102310666542253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.659930026013227,0.101886048030866,NA,NA,NA,NA,NA,NA,-0.386355090292417,0.11291958923439,NA,NA,NA,NA,NA,NA,-1.64432455820791,0.362472287117123,NA,NA,0,58.4052738273361,333.725022507553,5,98,677.450045015106,1.26570547107201,0.0373084240261796,NA,0.15758693134091
"4","3/9/11","~1 ~ S500.sd_PercCanopyDensity + S500.VPD__3.4m_Grid.1x1m.mean + S500.VPD__5.6m_Grid.1x1m.mean + 1",0.988731179740807,0.299311352869985,NA,NA,0.207454160654845,0.100745460708596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77710656805386,0.11858320431546,NA,NA,-0.446405404155562,0.129428323457453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.64319879216361,0.362733434148415,NA,NA,0,62.3549902277667,333.793512068431,5,98,677.587024136861,1.40268459282788,0.0348387260462311,NA,0.192425657387141
"5","3/8","~1 ~ S500.sd_PercCanopyDensity + S500.VPD__2.3m_Grid.1x1m.mean + 1",0.964163163366988,0.292898495392964,NA,NA,0.278058634551021,0.0961569186726016,NA,NA,NA,NA,NA,NA,NA,NA,0.567229116605549,0.0911722947416307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.6135248057282,0.357043039295636,NA,NA,0,57.9318625597975,334.872469266409,4,98,677.744938532818,1.56059898878391,0.0321937517117018,NA,0.224619409098843
"6","2/8","~1 ~ S500.mean_MaxHeight + S500.VPD__2.3m_Grid.1x1m.mean + 1",0.963816658180607,0.291759749804377,-0.288616978399671,0.100310391274699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.454933207993899,0.0847714159406532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.61350237657577,0.35562175343878,NA,NA,0,60.627670435295,334.884013684215,4,98,677.76802736843,1.58368782439618,0.0318242306479098,NA,0.256443639746752
"7","3/9/10","~1 ~ S500.sd_PercCanopyDensity + S500.VPD__3.4m_Grid.1x1m.mean + S500.VPD__4.5m_Grid.1x1m.mean + 1",0.989715472162257,0.299223126265984,NA,NA,0.230295793354888,0.0988063232186568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09838369591365,0.188814333510354,-0.696999375672468,0.201104756295773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.6422762150996,0.36254559589097,NA,NA,0,69.7148117269832,333.910701904928,5,98,677.821403809857,1.63706426582291,0.0309861319822637,NA,0.287429771729016
"8","2/9/11","~1 ~ S500.mean_MaxHeight + S500.VPD__3.4m_Grid.1x1m.mean + S500.VPD__5.6m_Grid.1x1m.mean + 1",0.986167383306327,0.297987892361411,-0.210730250579951,0.111348995274755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.667436061963524,0.125491748690103,NA,NA,-0.38071061537765,0.143443430788999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.64172279109906,0.361260794626429,NA,NA,0,63.1781765271427,334.052060521243,5,98,678.104121042485,1.91978149845158,0.0269014753994436,NA,0.31433124712846
"9","2/9/10","~1 ~ S500.mean_MaxHeight + S500.VPD__3.4m_Grid.1x1m.mean + S500.VPD__4.5m_Grid.1x1m.mean + 1",0.988653496727685,0.298829926876428,-0.237482246495807,0.107259473700837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.924817269722038,0.205645116975881,-0.583372007796742,0.217843888964305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.6433574490182,0.362117169698361,NA,NA,0,72.3447154217984,334.078324901988,5,98,678.156649803976,1.97231025994199,0.0262041226625697,NA,0.340535369791029
"10","2/9/13","~1 ~ S500.mean_MaxHeight + S500.VPD__3.4m_Grid.1x1m.mean + S500.VPD__6.7m_Grid.1x1m.mean + 1",0.97997880515756,0.295950329648274,-0.188715152557998,0.115854631127231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.574267025463915,0.10342668636578,NA,NA,NA,NA,NA,NA,-0.333202204462831,0.128373235490077,NA,NA,NA,NA,NA,NA,-1.63623981263509,0.359355623386817,NA,NA,0,58.7365547041064,334.1056161368,5,98,678.2112322736,2.0268927295665,0.0254986501918199,NA,0.366034019982849
