"","model","formula","lam(Int)","SElam(Int)","lam(S500.mean_MaxHeight)","SElam(S500.mean_MaxHeight)","lam(S500.sd_PercCanopyDensity)","SElam(S500.sd_PercCanopyDensity)","lam(S500.VPD__10.11m_Grid.1x1m.mean)","SElam(S500.VPD__10.11m_Grid.1x1m.mean)","lam(S500.VPD__100.150cm_Grid.1x1m.mean)","SElam(S500.VPD__100.150cm_Grid.1x1m.mean)","lam(S500.VPD__11.12m_Grid.1x1m.mean)","SElam(S500.VPD__11.12m_Grid.1x1m.mean)","lam(S500.VPD__150.200cm_Grid.1x1m.mean)","SElam(S500.VPD__150.200cm_Grid.1x1m.mean)","lam(S500.VPD__2.3m_Grid.1x1m.mean)","SElam(S500.VPD__2.3m_Grid.1x1m.mean)","lam(S500.VPD__3.4m_Grid.1x1m.mean)","SElam(S500.VPD__3.4m_Grid.1x1m.mean)","lam(S500.VPD__4.5m_Grid.1x1m.mean)","SElam(S500.VPD__4.5m_Grid.1x1m.mean)","lam(S500.VPD__5.6m_Grid.1x1m.mean)","SElam(S500.VPD__5.6m_Grid.1x1m.mean)","lam(S500.VPD__50.100cm_Grid.1x1m.mean)","SElam(S500.VPD__50.100cm_Grid.1x1m.mean)","lam(S500.VPD__6.7m_Grid.1x1m.mean)","SElam(S500.VPD__6.7m_Grid.1x1m.mean)","lam(S500.VPD__7.8m_Grid.1x1m.mean)","SElam(S500.VPD__7.8m_Grid.1x1m.mean)","lam(S500.VPD__8.9m_Grid.1x1m.mean)","SElam(S500.VPD__8.9m_Grid.1x1m.mean)","lam(S500.VPD__9.10m_Grid.1x1m.mean)","SElam(S500.VPD__9.10m_Grid.1x1m.mean)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","5/6/12","~1 ~ S500.VPD__100.150cm_Grid.1x1m.mean + S500.VPD__11.12m_Grid.1x1m.mean + S500.VPD__50.100cm_Grid.1x1m.mean + 1",-1.74310446076917,0.279925546653011,NA,NA,NA,NA,NA,NA,-2.11387710686051,0.461178321319398,-0.629058095449742,0.198612562852804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.70128396794554,0.426709428231069,NA,NA,NA,NA,NA,NA,NA,NA,0.281967032211401,0.234916832180718,NA,NA,0,37.3904426781794,117.936780839487,5,98,245.873561678975,0,0.0325032405215433,NA,0.0325032405215433
"2","3/11","~1 ~ S500.sd_PercCanopyDensity + S500.VPD__5.6m_Grid.1x1m.mean + 1",-1.7440503328661,0.286549572456823,NA,NA,0.761040469126561,0.228289857392148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.531115205640524,0.180607856041747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.268824362918692,0.237768700642308,NA,NA,0,10.152817190701,118.939427639473,4,98,245.878855278946,0.00529359997119627,0.032417324696159,NA,0.0649205652177023
"3","1/3/11","~Julian + 1 ~ S500.sd_PercCanopyDensity + S500.VPD__5.6m_Grid.1x1m.mean + 1",-1.71983169114186,0.289091438364734,NA,NA,0.759024413119392,0.22842338428525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.525407538290296,0.179143351863196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.129099884685555,0.270178663916289,-0.313093345142319,0.236587981495732,0,10.9031940331436,118.039326343454,5,98,246.078652686908,0.205091007933333,0.0293353797843935,NA,0.0942559450020958
"4","3/10","~1 ~ S500.sd_PercCanopyDensity + S500.VPD__4.5m_Grid.1x1m.mean + 1",-1.72549286078156,0.282867735401304,NA,NA,0.743028954609369,0.225696551927232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.514080419875496,0.177975454630336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.270684200365854,0.237311433669289,NA,NA,0,10.0130180674691,119.195929787103,4,98,246.391859574205,0.518297895230575,0.0250830130248278,NA,0.119338958026924
"5","1/3/10","~Julian + 1 ~ S500.sd_PercCanopyDensity + S500.VPD__4.5m_Grid.1x1m.mean + 1",-1.70505439412534,0.285149423503437,NA,NA,0.74230705314493,0.225959206237556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.50571497623445,0.177281193839541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.144542157708115,0.264796296920064,-0.299573830890256,0.234014948526175,0,10.6109609821478,118.357360199788,5,98,246.714720399576,0.841158720601044,0.021343781495901,NA,0.140682739522825
"6","3/13/14","~1 ~ S500.sd_PercCanopyDensity + S500.VPD__6.7m_Grid.1x1m.mean + S500.VPD__7.8m_Grid.1x1m.mean + 1",-1.77824843077302,0.291743161440496,NA,NA,0.799341070297711,0.226311380562885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.09706094411935,1.1177994174318,1.59872209810137,1.09670436239318,NA,NA,NA,NA,0.26033282411435,0.239717607393141,NA,NA,0,320.820849212403,118.39601870169,5,98,246.792037403381,0.918475724406107,0.0205344082536643,NA,0.161217147776489
"7","3/13","~1 ~ S500.sd_PercCanopyDensity + S500.VPD__6.7m_Grid.1x1m.mean + 1",-1.73611507319826,0.286008454421297,NA,NA,0.784006514909069,0.227456861021154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.503844409496218,0.186406471019718,NA,NA,NA,NA,NA,NA,0.274851841963012,0.236774421937844,NA,NA,0,9.69655709711072,119.447925716356,4,98,246.895851432711,1.02228975373654,0.0194957192504417,NA,0.180712867026931
"8","3/13/15","~1 ~ S500.sd_PercCanopyDensity + S500.VPD__6.7m_Grid.1x1m.mean + S500.VPD__8.9m_Grid.1x1m.mean + 1",-1.78425070213145,0.293349138213522,NA,NA,0.827605777045221,0.228235245347762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.30313826179309,0.605125212897345,NA,NA,0.817201355629152,0.57936540073714,NA,NA,0.260083646909283,0.239887698185861,NA,NA,0,90.168837257545,118.472844301311,5,98,246.945688602622,1.07212692364698,0.0190159163457373,NA,0.199728783372668
"9","4/5/12","~1 ~ S500.VPD__10.11m_Grid.1x1m.mean + S500.VPD__100.150cm_Grid.1x1m.mean + S500.VPD__50.100cm_Grid.1x1m.mean + 1",-1.72122362466928,0.275368866238134,NA,NA,NA,NA,-0.569931980439907,0.1848231122515,-2.1008194488285,0.46273403999557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68731653373334,0.425746835954845,NA,NA,NA,NA,NA,NA,NA,NA,0.281952312229524,0.234730007382255,NA,NA,0,37.5917055913031,118.474159783995,5,98,246.94831956799,1.07475788901499,0.0189909176833228,NA,0.218719701055991
"10","1/3/13","~Julian + 1 ~ S500.sd_PercCanopyDensity + S500.VPD__6.7m_Grid.1x1m.mean + 1",-1.70893294057393,0.288655169322945,NA,NA,0.779322405933472,0.227515647081948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.502119752005545,0.18450430125211,NA,NA,NA,NA,NA,NA,0.123990647087373,0.272982655976146,-0.324494626816053,0.238070399550374,0,10.5772538485294,118.489446383352,5,98,246.978892766704,1.10533108772893,0.0187028187698367,NA,0.237422519825827
