"","model","formula","lam(Int)","SElam(Int)","lam(S150.mean_MaxHeight)","SElam(S150.mean_MaxHeight)","lam(S150.sd_PercCanopyDensity)","SElam(S150.sd_PercCanopyDensity)","lam(S150.VPD__10.11m_Grid.1x1m.mean)","SElam(S150.VPD__10.11m_Grid.1x1m.mean)","lam(S150.VPD__100.150cm_Grid.1x1m.mean)","SElam(S150.VPD__100.150cm_Grid.1x1m.mean)","lam(S150.VPD__11.12m_Grid.1x1m.mean)","SElam(S150.VPD__11.12m_Grid.1x1m.mean)","lam(S150.VPD__150.200cm_Grid.1x1m.mean)","SElam(S150.VPD__150.200cm_Grid.1x1m.mean)","lam(S150.VPD__2.3m_Grid.1x1m.mean)","SElam(S150.VPD__2.3m_Grid.1x1m.mean)","lam(S150.VPD__3.4m_Grid.1x1m.mean)","SElam(S150.VPD__3.4m_Grid.1x1m.mean)","lam(S150.VPD__4.5m_Grid.1x1m.mean)","SElam(S150.VPD__4.5m_Grid.1x1m.mean)","lam(S150.VPD__5.6m_Grid.1x1m.mean)","SElam(S150.VPD__5.6m_Grid.1x1m.mean)","lam(S150.VPD__50.100cm_Grid.1x1m.mean)","SElam(S150.VPD__50.100cm_Grid.1x1m.mean)","lam(S150.VPD__6.7m_Grid.1x1m.mean)","SElam(S150.VPD__6.7m_Grid.1x1m.mean)","lam(S150.VPD__7.8m_Grid.1x1m.mean)","SElam(S150.VPD__7.8m_Grid.1x1m.mean)","lam(S150.VPD__8.9m_Grid.1x1m.mean)","SElam(S150.VPD__8.9m_Grid.1x1m.mean)","lam(S150.VPD__9.10m_Grid.1x1m.mean)","SElam(S150.VPD__9.10m_Grid.1x1m.mean)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/6/8","~Julian + 1 ~ S150.VPD__11.12m_Grid.1x1m.mean + S150.VPD__2.3m_Grid.1x1m.mean + 1",1.21615207586447,0.713714829588338,NA,NA,NA,NA,NA,NA,NA,NA,-1.04245496545376,0.134651406769873,NA,NA,-0.309899962209566,0.0913669953808457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.97589567803985,0.759135948998805,-0.521869688424977,0.116265925847332,0,281.814222970205,214.867848704301,5,98,439.735697408602,0,0.0952941433759488,NA,0.0952941433759488
"2","1/2","~Julian + 1 ~ S150.mean_MaxHeight + 1",1.28919467005478,0.904267104013678,-1.12764032231334,0.14806491261563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.14409622067412,0.959533247427326,-0.504618441593684,0.114095080989073,0,472.31553649419,216.181138725884,4,98,440.362277451767,0.626580043165347,0.0696636271265202,NA,0.164957770502469
"3","1/4/8","~Julian + 1 ~ S150.VPD__10.11m_Grid.1x1m.mean + S150.VPD__2.3m_Grid.1x1m.mean + 1",1.18649480671874,0.691866024172397,NA,NA,NA,NA,-0.972252954701154,0.121985597944952,NA,NA,NA,NA,NA,NA,-0.267455983200054,0.0913324587832358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.92079081403286,0.736449130079947,-0.50816978586542,0.116283430708811,0,274.630100698872,215.196534359108,5,98,440.393068718217,0.657371309614859,0.0685993252966227,NA,0.233557095799092
"4","1/2/8","~Julian + 1 ~ S150.mean_MaxHeight + S150.VPD__2.3m_Grid.1x1m.mean + 1",1.36557230497523,0.968739192206454,-1.0769999730683,0.145379513028759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.126813588027667,0.0949431273416618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.18766469535173,1.02597811781499,-0.489314854063645,0.11417388603681,0,569.907734193056,215.279484862003,5,98,440.558969724006,0.823272315403756,0.0631385928355248,NA,0.296695688634616
"5","1/2/4","~Julian + 1 ~ S150.mean_MaxHeight + S150.VPD__10.11m_Grid.1x1m.mean + 1",1.27107802266901,0.84247719410596,-0.798684209501062,0.291834934027337,NA,NA,-0.312266156528943,0.247912519024804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.09979583658284,0.894540351131712,-0.513850793893634,0.114652894415705,0,547.37680242993,215.360622962066,5,98,440.721245924133,0.985548515530922,0.0582179715388582,NA,0.354913660173475
"6","1/2/16","~Julian + 1 ~ S150.mean_MaxHeight + S150.VPD__9.10m_Grid.1x1m.mean + 1",1.23839205534389,0.812059130366248,-0.832650645581649,0.277291524243277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.260577646815929,0.218012219534551,-3.05129181415992,0.865955916061598,-0.504396373498706,0.11475176286581,0,521.830550548036,215.450386103655,5,98,440.90077220731,1.16507479870774,0.0532198238027776,NA,0.408133483976252
"7","1/2/7","~Julian + 1 ~ S150.mean_MaxHeight + S150.VPD__150.200cm_Grid.1x1m.mean + 1",1.35056870821514,0.94934914195775,-1.09293194590198,0.144143101339808,NA,NA,NA,NA,NA,NA,NA,NA,-0.113043012614172,0.0951375745468793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.17701624597843,1.00569244340021,-0.494442237105427,0.114067175372462,0,532.860648232773,215.474240718838,5,98,440.948481437676,1.2127840290745,0.051965307872079,NA,0.460098791848331
"8","1/2/9","~Julian + 1 ~ S150.mean_MaxHeight + S150.VPD__3.4m_Grid.1x1m.mean + 1",1.31784082250694,0.912494783807914,-1.05132300838297,0.154218780944331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.118068351323645,0.100438849237985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.13013885163204,0.970082524157949,-0.488315307355048,0.114807178984578,0,529.496183664993,215.480159150217,5,98,440.960318300433,1.22462089183148,0.0516586630865277,NA,0.511757454934859
"9","1/2/15","~Julian + 1 ~ S150.mean_MaxHeight + S150.VPD__8.9m_Grid.1x1m.mean + 1",1.21953240712941,0.799637687193439,-0.902812044531059,0.258560249465414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.185442122275503,0.185045447937867,NA,NA,-3.0249915456665,0.85667748897153,-0.496873525042007,0.115202212985005,0,517.00472307728,215.674298783956,5,98,441.348597567913,1.61290015931081,0.0425431253047191,NA,0.554300580239578
"10","1/2/10","~Julian + 1 ~ S150.mean_MaxHeight + S150.VPD__4.5m_Grid.1x1m.mean + 1",1.28286705403503,0.869293502205688,-1.01847944022118,0.175285472549838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.113361634051082,0.113405752284803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.08662897748232,0.927375838470095,-0.487098238365431,0.115508386739064,0,528.706976540362,215.6793162031,5,98,441.3586324062,1.62293499759858,0.042330203219731,NA,0.596630783459309
