"","model","formula","lam(Int)","SElam(Int)","lam(S150.mean_MaxHeight)","SElam(S150.mean_MaxHeight)","lam(S150.VPD__10.11m_Grid.1x1m.mean)","SElam(S150.VPD__10.11m_Grid.1x1m.mean)","lam(S150.VPD__100.150cm_Grid.1x1m.mean)","SElam(S150.VPD__100.150cm_Grid.1x1m.mean)","lam(S150.VPD__11.12m_Grid.1x1m.mean)","SElam(S150.VPD__11.12m_Grid.1x1m.mean)","lam(S150.VPD__150.200cm_Grid.1x1m.mean)","SElam(S150.VPD__150.200cm_Grid.1x1m.mean)","lam(S150.VPD__2.3m_Grid.1x1m.mean)","SElam(S150.VPD__2.3m_Grid.1x1m.mean)","lam(S150.VPD__3.4m_Grid.1x1m.mean)","SElam(S150.VPD__3.4m_Grid.1x1m.mean)","lam(S150.VPD__4.5m_Grid.1x1m.mean)","SElam(S150.VPD__4.5m_Grid.1x1m.mean)","lam(S150.VPD__5.6m_Grid.1x1m.mean)","SElam(S150.VPD__5.6m_Grid.1x1m.mean)","lam(S150.VPD__6.7m_Grid.1x1m.mean)","SElam(S150.VPD__6.7m_Grid.1x1m.mean)","lam(S150.VPD__7.8m_Grid.1x1m.mean)","SElam(S150.VPD__7.8m_Grid.1x1m.mean)","lam(S150.VPD__8.9m_Grid.1x1m.mean)","SElam(S150.VPD__8.9m_Grid.1x1m.mean)","lam(S150.VPD__9.10m_Grid.1x1m.mean)","SElam(S150.VPD__9.10m_Grid.1x1m.mean)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","2/7/8","~1 ~ S150.mean_MaxHeight + S150.VPD__150.200cm_Grid.1x1m.mean + S150.VPD__2.3m_Grid.1x1m.mean + 1",-2.40737655628887,0.468730641148624,-0.930392393021372,0.369827393403796,NA,NA,NA,NA,NA,NA,2.37474186905962,0.970451187726976,-2.90535074775965,1.14547402040367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.792341816962286,0.446838408953103,NA,NA,0,132.727819472175,65.9186075668328,5,98,141.837215133666,0,0.166017139144197,NA,0.166017139144197
"2","4/7/8","~1 ~ S150.VPD__10.11m_Grid.1x1m.mean + S150.VPD__150.200cm_Grid.1x1m.mean + S150.VPD__2.3m_Grid.1x1m.mean + 1",-2.30989184830545,0.458817109808225,NA,NA,-0.827723103393845,0.325854911134234,NA,NA,NA,NA,2.35778665797187,0.987489186836238,-3.01436735912357,1.13698570390962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.836864298595677,0.469394549265434,NA,NA,0,127.467190221306,66.4697609055316,5,98,142.939521811063,1.10230667739751,0.0956731497469096,NA,0.261690288891107
"3","7/8/16","~1 ~ S150.VPD__150.200cm_Grid.1x1m.mean + S150.VPD__2.3m_Grid.1x1m.mean + S150.VPD__9.10m_Grid.1x1m.mean + 1",-2.31240931338432,0.460094216043723,NA,NA,NA,NA,NA,NA,NA,NA,2.23044586500352,0.995991152563924,-2.81725162973592,1.15194985455393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.830471668464634,0.322472001241987,-0.841863984434212,0.472387252181346,NA,NA,0,135.557163461119,66.5040728123962,5,98,143.008145624792,1.1709304911268,0.0924461012333773,NA,0.354136390124484
"4","6/7/8","~1 ~ S150.VPD__11.12m_Grid.1x1m.mean + S150.VPD__150.200cm_Grid.1x1m.mean + S150.VPD__2.3m_Grid.1x1m.mean + 1",-2.31456200288359,0.45755070949918,NA,NA,NA,NA,NA,NA,-0.808844400087523,0.327720388446032,2.58618069339511,0.973252336683848,-3.30728538702544,1.12237824751234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.828509187087221,0.46478894173895,NA,NA,0,118.892241107506,66.559038757808,5,98,143.118077515616,1.28086238195024,0.0875018415920467,NA,0.441638231716531
"5","7/8/15","~1 ~ S150.VPD__150.200cm_Grid.1x1m.mean + S150.VPD__2.3m_Grid.1x1m.mean + S150.VPD__8.9m_Grid.1x1m.mean + 1",-2.30984457240885,0.457354486167784,NA,NA,NA,NA,NA,NA,NA,NA,2.14133382263088,1.01288175495459,-2.65272937001055,1.18214349769811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.806671562934301,0.319795712293485,NA,NA,-0.83497453887359,0.469699554493813,NA,NA,0,145.328568857445,66.8725360487381,5,98,143.745072097476,1.90785696381056,0.0639539024090284,NA,0.505592134125559
"6","2/5/9","~1 ~ S150.mean_MaxHeight + S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__3.4m_Grid.1x1m.mean + 1",-2.30856041984266,0.458437648677067,-0.926775762219717,0.376412785524088,NA,NA,0.623039784462944,0.346573050717157,NA,NA,NA,NA,NA,NA,-1.04199075214706,0.436047742122635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.796343137298297,0.447546110128195,NA,NA,0,19.414387296456,67.0597035065279,5,98,144.119407013056,2.2821918793901,0.0530372815209529,NA,0.558629415646512
"7","1/2/10","~Julian + 1 ~ S150.mean_MaxHeight + S150.VPD__4.5m_Grid.1x1m.mean + 1",-2.19260399928956,0.411462816429161,-0.881531119748483,0.399718374539915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.568919731808843,0.292994092330931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.766025684867878,0.397363622297069,-0.539446273598118,0.335488732276865,0,17.2618781649262,67.09541497156,5,98,144.19082994312,2.3536148094544,0.0511766629386289,NA,0.609806078585141
"8","2/5/8","~1 ~ S150.mean_MaxHeight + S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__2.3m_Grid.1x1m.mean + 1",-2.32037368074787,0.460843371081105,-1.10574974353232,0.38187324076608,NA,NA,0.881305409270948,0.439765874065818,NA,NA,NA,NA,-1.17435071435611,0.49495596236184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.782576716167558,0.441218340203514,NA,NA,0,22.3345633428768,67.1914392723496,5,98,144.382878544699,2.54566341103342,0.0464910269598339,NA,0.656297105544975
"9","2/7/9","~1 ~ S150.mean_MaxHeight + S150.VPD__150.200cm_Grid.1x1m.mean + S150.VPD__3.4m_Grid.1x1m.mean + 1",-2.30475805244173,0.454367748349353,-0.866470721212252,0.370829510466439,NA,NA,NA,NA,NA,NA,0.798781259837837,0.455436963633467,NA,NA,-1.31718650946358,0.590928435899149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.783472604337737,0.441931133052005,NA,NA,0,38.1932047798722,67.2000520751725,5,98,144.400104150345,2.56288901667932,0.0460923283325549,NA,0.70238943387753
"10","7/8/14","~1 ~ S150.VPD__150.200cm_Grid.1x1m.mean + S150.VPD__2.3m_Grid.1x1m.mean + S150.VPD__7.8m_Grid.1x1m.mean + 1",-2.32621917866849,0.456377385089548,NA,NA,NA,NA,NA,NA,NA,NA,2.13051408641664,1.03001978210487,-2.5545923751326,1.22068573752527,NA,NA,NA,NA,NA,NA,NA,NA,-0.817511354250114,0.338836005271315,NA,NA,NA,NA,-0.817506349310798,0.461009600286888,NA,NA,0,153.149566666954,67.2998722546339,5,98,144.599744509268,2.76252937560201,0.0417135636408052,NA,0.744102997518335
