"","model","formula","lam(Int)","SElam(Int)","lam(S500.mean_MaxHeight)","SElam(S500.mean_MaxHeight)","lam(S500.sd_PercCanopyDensity)","SElam(S500.sd_PercCanopyDensity)","lam(S500.VPD__10.11m_Grid.1x1m.mean)","SElam(S500.VPD__10.11m_Grid.1x1m.mean)","lam(S500.VPD__100.150cm_Grid.1x1m.mean)","SElam(S500.VPD__100.150cm_Grid.1x1m.mean)","lam(S500.VPD__11.12m_Grid.1x1m.mean)","SElam(S500.VPD__11.12m_Grid.1x1m.mean)","lam(S500.VPD__150.200cm_Grid.1x1m.mean)","SElam(S500.VPD__150.200cm_Grid.1x1m.mean)","lam(S500.VPD__2.3m_Grid.1x1m.mean)","SElam(S500.VPD__2.3m_Grid.1x1m.mean)","lam(S500.VPD__3.4m_Grid.1x1m.mean)","SElam(S500.VPD__3.4m_Grid.1x1m.mean)","lam(S500.VPD__4.5m_Grid.1x1m.mean)","SElam(S500.VPD__4.5m_Grid.1x1m.mean)","lam(S500.VPD__5.6m_Grid.1x1m.mean)","SElam(S500.VPD__5.6m_Grid.1x1m.mean)","lam(S500.VPD__50.100cm_Grid.1x1m.mean)","SElam(S500.VPD__50.100cm_Grid.1x1m.mean)","lam(S500.VPD__6.7m_Grid.1x1m.mean)","SElam(S500.VPD__6.7m_Grid.1x1m.mean)","lam(S500.VPD__7.8m_Grid.1x1m.mean)","SElam(S500.VPD__7.8m_Grid.1x1m.mean)","lam(S500.VPD__8.9m_Grid.1x1m.mean)","SElam(S500.VPD__8.9m_Grid.1x1m.mean)","lam(S500.VPD__9.10m_Grid.1x1m.mean)","SElam(S500.VPD__9.10m_Grid.1x1m.mean)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/2","~Julian + 1 ~ S500.mean_MaxHeight + 1",-0.720191822931822,0.239271307343044,0.742248867701407,0.150699615196411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.910328639372608,0.292790715341895,-0.601820416119436,0.200451530211645,0,11.0486967548668,159.456187997723,4,98,326.912375995446,0,0.124240979155658,NA,0.124240979155658
"2","1/2/12","~Julian + 1 ~ S500.mean_MaxHeight + S500.VPD__50.100cm_Grid.1x1m.mean + 1",-0.738845727055131,0.241251725115939,0.648218538482423,0.168549069888806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.217424770244724,0.194361287257355,NA,NA,NA,NA,NA,NA,NA,NA,-0.902909398641312,0.295837475671076,-0.567383174277806,0.202514141754016,0,13.7394489509666,158.833938584046,5,98,327.667877168091,0.75550117264504,0.0851549445095109,NA,0.209395923665169
"3","1/2/5","~Julian + 1 ~ S500.mean_MaxHeight + S500.VPD__100.150cm_Grid.1x1m.mean + 1",-0.731515704846353,0.2399964463271,0.69193732096137,0.157879635493927,NA,NA,NA,NA,-0.169213417481223,0.181516807703238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.907333523177792,0.295526591193995,-0.57528459510282,0.202166857635806,0,12.6789387749678,159.022348904824,5,98,328.044697809647,1.13232181420136,0.0705316928567847,NA,0.279927616521954
"4","1/2/7","~Julian + 1 ~ S500.mean_MaxHeight + S500.VPD__150.200cm_Grid.1x1m.mean + 1",-0.731906536217024,0.239684641670164,0.700336181971013,0.155223369903417,NA,NA,NA,NA,NA,NA,NA,NA,-0.167829875942367,0.181125583140796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.907475346624317,0.295019966915982,-0.576285061692631,0.20214750284985,0,12.3510441528942,159.027147954266,5,98,328.054295908533,1.14191991308689,0.0701940186810928,NA,0.350121635203047
"5","1/2/15","~Julian + 1 ~ S500.mean_MaxHeight + S500.VPD__8.9m_Grid.1x1m.mean + 1",-0.748724112852945,0.246322618961343,0.678829546591238,0.169908489321111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.192337428178421,0.213870854806559,NA,NA,-0.914335692183142,0.296407051393706,-0.586621421115154,0.201188557722309,0,13.0520616520231,159.061475161188,5,98,328.122950322375,1.21057432692896,0.0678253417006763,NA,0.417946976903723
"6","1/2/16","~Julian + 1 ~ S500.mean_MaxHeight + S500.VPD__9.10m_Grid.1x1m.mean + 1",-0.751008040730769,0.246163359285752,0.653842664160439,0.186212624241635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.189992002727736,0.222060168222584,-0.905919365346352,0.29602173109423,-0.578082500340441,0.202573555022318,0,14.130309322748,159.094274915795,5,98,328.188549831589,1.27617383614319,0.065636775558745,NA,0.483583752462468
"7","1/2/14","~Julian + 1 ~ S500.mean_MaxHeight + S500.VPD__7.8m_Grid.1x1m.mean + 1",-0.741547623752492,0.245286888640738,0.707940328582619,0.159694646991614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17737150654993,0.204248283940618,NA,NA,NA,NA,-0.92204297940159,0.296440159375274,-0.599329845794411,0.20048789349114,0,12.1821820104302,159.095827939753,5,98,328.191655879506,1.27927988406037,0.0655349191869025,NA,0.54911867164937
"8","1/2/8","~Julian + 1 ~ S500.mean_MaxHeight + S500.VPD__2.3m_Grid.1x1m.mean + 1",-0.728710703044627,0.239213826876553,0.711876247092515,0.152634466005013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.153984357112885,0.182787643373655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.908046013063345,0.294774793652963,-0.577492864626991,0.202282486199047,0,11.9618284989143,159.103707980031,5,98,328.207415960061,1.295039964615,0.0650205307466973,NA,0.614139202396068
"9","1/2/4","~Julian + 1 ~ S500.mean_MaxHeight + S500.VPD__10.11m_Grid.1x1m.mean + 1",-0.751082559743174,0.24529128259575,0.632222661396704,0.205817904024815,NA,NA,0.186874160234248,0.226208495760955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.900030564984277,0.295636281445418,-0.573693373276302,0.203630568703913,0,15.3708011533411,159.117677389527,5,98,328.235354779055,1.32297878360851,0.0641185470846088,NA,0.678257749480677
"10","1/2/6","~Julian + 1 ~ S500.mean_MaxHeight + S500.VPD__11.12m_Grid.1x1m.mean + 1",-0.746195146153629,0.243756075259466,0.613445948374701,0.227247885768881,NA,NA,NA,NA,NA,NA,0.185036222989759,0.232950101316309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.900776303083564,0.295227516293369,-0.576955486452324,0.202991993173589,0,16.4384568487329,159.141539828784,5,98,328.283079657568,1.37070366212151,0.0626066328717847,NA,0.740864382352461
