"","model","formula","lam(Int)","SElam(Int)","lam(S150.mean_MaxHeight)","SElam(S150.mean_MaxHeight)","lam(S150.sd_PercCanopyDensity)","SElam(S150.sd_PercCanopyDensity)","lam(S150.VPD__10.11m_Grid.1x1m.mean)","SElam(S150.VPD__10.11m_Grid.1x1m.mean)","lam(S150.VPD__100.150cm_Grid.1x1m.mean)","SElam(S150.VPD__100.150cm_Grid.1x1m.mean)","lam(S150.VPD__11.12m_Grid.1x1m.mean)","SElam(S150.VPD__11.12m_Grid.1x1m.mean)","lam(S150.VPD__150.200cm_Grid.1x1m.mean)","SElam(S150.VPD__150.200cm_Grid.1x1m.mean)","lam(S150.VPD__2.3m_Grid.1x1m.mean)","SElam(S150.VPD__2.3m_Grid.1x1m.mean)","lam(S150.VPD__3.4m_Grid.1x1m.mean)","SElam(S150.VPD__3.4m_Grid.1x1m.mean)","lam(S150.VPD__4.5m_Grid.1x1m.mean)","SElam(S150.VPD__4.5m_Grid.1x1m.mean)","lam(S150.VPD__5.6m_Grid.1x1m.mean)","SElam(S150.VPD__5.6m_Grid.1x1m.mean)","lam(S150.VPD__50.100cm_Grid.1x1m.mean)","SElam(S150.VPD__50.100cm_Grid.1x1m.mean)","lam(S150.VPD__6.7m_Grid.1x1m.mean)","SElam(S150.VPD__6.7m_Grid.1x1m.mean)","lam(S150.VPD__7.8m_Grid.1x1m.mean)","SElam(S150.VPD__7.8m_Grid.1x1m.mean)","lam(S150.VPD__8.9m_Grid.1x1m.mean)","SElam(S150.VPD__8.9m_Grid.1x1m.mean)","lam(S150.VPD__9.10m_Grid.1x1m.mean)","SElam(S150.VPD__9.10m_Grid.1x1m.mean)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","4","~1 ~ S150.VPD__10.11m_Grid.1x1m.mean + 1",-0.530516472083396,0.984719272358952,NA,NA,NA,NA,-1.19950781173773,0.316162190397808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.90421047062129,1.00063443508881,NA,NA,0,107.942395600017,76.6166619635335,3,98,159.233323927067,0,0.0116462176201262,NA,0.0116462176201262
"2","16","~1 ~ S150.VPD__9.10m_Grid.1x1m.mean + 1",-0.42095359617802,1.01792864952319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11019624809984,0.280258072917796,-2.96111195656214,1.04491101720395,NA,NA,0,122.026545654781,76.7195836166733,3,98,159.439167233347,0.205843306279633,0.0105071902272683,NA,0.0221534078473944
"3","13/15","~1 ~ S150.VPD__6.7m_Grid.1x1m.mean + S150.VPD__8.9m_Grid.1x1m.mean + 1",-0.37418431134558,1.18761795653941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.985493228375392,0.483881222850601,NA,NA,-1.95796294753554,0.577708605765183,NA,NA,-3.09095455232045,1.21844146723911,NA,NA,0,217.382267418125,75.9648380933328,4,98,159.929676186666,0.696352259598626,0.00822193291878761,NA,0.030375340766182
"4","2/13/14","~1 ~ S150.mean_MaxHeight + S150.VPD__6.7m_Grid.1x1m.mean + S150.VPD__7.8m_Grid.1x1m.mean + 1",-0.625719179073864,1.11304164820073,-0.824965150468693,0.610929150916822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.86969990485085,0.885774427004762,-2.26040668376738,1.07234629511443,NA,NA,NA,NA,-2.96097768690138,1.08856348829127,NA,NA,0,230.321037783675,74.9912131064523,5,98,159.982426212905,0.749102285837523,0.0080079141111667,NA,0.0383832548773487
"5","11/16","~1 ~ S150.VPD__5.6m_Grid.1x1m.mean + S150.VPD__9.10m_Grid.1x1m.mean + 1",-0.460258801320797,1.117499985144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.305775759580711,0.255244332820013,NA,NA,NA,NA,NA,NA,NA,NA,-1.38983186642758,0.383060280443052,-3.02712312320317,1.13964820772969,NA,NA,0,170.903032076675,76.0258124972926,4,98,160.051624994585,0.818301067518235,0.00773558356364863,NA,0.0461188384409974
"6","13/16","~1 ~ S150.VPD__6.7m_Grid.1x1m.mean + S150.VPD__9.10m_Grid.1x1m.mean + 1",-0.516583098778535,1.07365956883898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.409262064267984,0.345210634328666,NA,NA,NA,NA,-1.54136691781046,0.484192587436522,-2.98217843487552,1.08783797503179,NA,NA,0,172.046990129354,76.0414486702208,4,98,160.082897340442,0.849573413374657,0.0076155693678845,NA,0.0537344078088819
"7","2","~1 ~ S150.mean_MaxHeight + 1",-0.668741489976638,0.862620505798341,-1.25489238087735,0.336343548151056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.75907348731225,0.872099333431217,NA,NA,0,76.3284256504389,77.1722650530334,3,98,160.344530106067,1.11120617899968,0.00668173958121424,NA,0.0604161473900961
"8","10/16","~1 ~ S150.VPD__4.5m_Grid.1x1m.mean + S150.VPD__9.10m_Grid.1x1m.mean + 1",-0.442662912109623,1.10605346876336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.218764676978931,0.208796361410179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.24633341405527,0.321914426679927,-3.0179617268626,1.13107261649819,NA,NA,0,147.994033694476,76.1786554666264,4,98,160.357310933253,1.12398700618576,0.00663917664400206,NA,0.0670553240340982
"9","13/14","~1 ~ S150.VPD__6.7m_Grid.1x1m.mean + S150.VPD__7.8m_Grid.1x1m.mean + 1",-0.142044707651502,1.41377638649512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2984050849129,0.807246182446499,-3.17578542197977,0.888492481332651,NA,NA,NA,NA,-3.27753555788131,1.46168774347967,NA,NA,0,301.437633606105,76.2092183721905,4,98,160.418436744381,1.18511281731395,0.00643933356353571,NA,0.0734946575976339
"10","11/15","~1 ~ S150.VPD__5.6m_Grid.1x1m.mean + S150.VPD__8.9m_Grid.1x1m.mean + 1",-0.269494328127802,1.26085490535158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56739211789261,0.296457857999656,NA,NA,NA,NA,NA,NA,-1.47526222844612,0.385255586388321,NA,NA,-3.15763242609528,1.30080964876524,NA,NA,0,226.070271470962,76.2437331511094,4,98,160.487466302219,1.25414237515182,0.00622087313262462,NA,0.0797155307302585
"11","14/15","~1 ~ S150.VPD__7.8m_Grid.1x1m.mean + S150.VPD__8.9m_Grid.1x1m.mean + 1",-0.473007852999628,1.07266427327675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93058043211501,1.03234196522668,-2.95521851711935,1.13581349272874,NA,NA,-2.98385643660294,1.09230648590025,NA,NA,0,215.000015092078,76.2442715392794,4,98,160.488543078559,1.25521915149167,0.00621752478955841,NA,0.0859330555198169
"12","2/16","~1 ~ S150.mean_MaxHeight + S150.VPD__9.10m_Grid.1x1m.mean + 1",-0.532781321008798,0.949795480675798,-0.524910580451294,0.581594472392223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.687220892573935,0.514931784866372,-2.87437250328473,0.966052646161291,NA,NA,0,143.379596765707,76.2560277550233,4,98,160.512055510047,1.27873158297953,0.00614485820568486,NA,0.0920779137255018
"13","2/13/15","~1 ~ S150.mean_MaxHeight + S150.VPD__6.7m_Grid.1x1m.mean + S150.VPD__8.9m_Grid.1x1m.mean + 1",-0.658684321929771,1.05079868123608,-0.66997522813147,0.627995096121926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.867916195516027,0.508699710729366,NA,NA,-1.4094003852961,0.739374030946283,NA,NA,-2.9119096549541,1.03110933103289,NA,NA,0,208.215624112144,75.2669798644812,5,98,160.533959728962,1.30063580189537,0.0060779262381623,NA,0.0981558399636641
