"","model","formula","lam(Int)","SElam(Int)","lam(S500.mean.VPD__1.2m_Grid.1x1m)","SElam(S500.mean.VPD__1.2m_Grid.1x1m)","lam(S500.mean.VPD__10.11m_Grid.1x1m)","SElam(S500.mean.VPD__10.11m_Grid.1x1m)","lam(S500.mean.VPD__2.3m_Grid.1x1m)","SElam(S500.mean.VPD__2.3m_Grid.1x1m)","lam(S500.mean.VPD__3.4m_Grid.1x1m)","SElam(S500.mean.VPD__3.4m_Grid.1x1m)","lam(S500.mean.VPD__4.5m_Grid.1x1m)","SElam(S500.mean.VPD__4.5m_Grid.1x1m)","lam(S500.mean.VPD__5.6m_Grid.1x1m)","SElam(S500.mean.VPD__5.6m_Grid.1x1m)","lam(S500.mean.VPD__6.7m_Grid.1x1m)","SElam(S500.mean.VPD__6.7m_Grid.1x1m)","lam(S500.mean.VPD__7.8m_Grid.1x1m)","SElam(S500.mean.VPD__7.8m_Grid.1x1m)","lam(S500.mean.VPD__8.9m_Grid.1x1m)","SElam(S500.mean.VPD__8.9m_Grid.1x1m)","lam(S500.mean.VPD__9.10m_Grid.1x1m)","SElam(S500.mean.VPD__9.10m_Grid.1x1m)","lam(S500.mean_MaxHeight)","SElam(S500.mean_MaxHeight)","lam(S500.sd_PercCanopyDensity)","SElam(S500.sd_PercCanopyDensity)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1","~Julian + 1 ~ 1",-1.48500460102459,0.485456064508622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.42732429834408,3.69739384651903,0.028233946460389,0.0210058393371267,0,2906325.89475819,58.1550192999365,3,98,122.310038599873,0,0.0596774865349155,NA,0.0596774865349155
"2","12","~1 ~ S500.mean_MaxHeight + 1",-2.05695781000475,1.08364741723763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0693759815932569,0.127056887059932,NA,NA,-1.49927713424703,0.618310324318958,NA,NA,0,901.991782469659,58.9118187136062,3,98,123.823637427212,1.51359882733952,0.0279986256666608,NA,0.0876761122015764
"3","1/12","~Julian + 1 ~ S500.mean_MaxHeight + 1",-1.97911726051406,1.08773275283567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.066724957732533,0.127850989042559,NA,NA,-6.38907717887198,3.69165817029949,0.0279882441785229,0.0209880984615835,0,2907095.08378865,58.01966078066,4,98,124.03932156132,1.72928296144705,0.025136308598326,NA,0.112812420799902
"4","13","~1 ~ S500.sd_PercCanopyDensity + 1",-2.17644302873821,2.47965951568389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0225817449590157,0.0864776472906848,-1.49174815203594,0.614886573232751,NA,NA,0,54807.3379005539,59.0251828105495,3,98,124.050365621099,1.74032702122594,0.0249978876848832,NA,0.137810308484786
"5","4","~1 ~ S500.mean.VPD__2.3m_Grid.1x1m + 1",-1.55098324376313,0.489829864082704,NA,NA,NA,NA,-2.26692450510004e-05,0.00017771332204585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.4586943219828,0.612118340791032,NA,NA,0,18806896.2095825,59.0375053931332,3,98,124.075010786266,1.76497218639334,0.0246917392928321,NA,0.162502047777618
"6","2","~1 ~ S500.mean.VPD__1.2m_Grid.1x1m + 1",-1.55107187980468,0.489787234674823,-2.24525162330199e-05,0.000177765633711255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.45861396442952,0.61204848929803,NA,NA,0,18790752.8102214,59.0377369234358,3,98,124.075473846872,1.76543524699871,0.0246860230687249,NA,0.187188070846343
"7","5","~1 ~ S500.mean.VPD__3.4m_Grid.1x1m + 1",-1.55115119608664,0.489751368723627,NA,NA,NA,NA,NA,NA,-2.22775817184154e-05,0.000177807320090294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.4585466583841,0.611988596101005,NA,NA,0,18777630.2659199,59.0379218883965,3,98,124.075843776793,1.76580517692001,0.0246814574416929,NA,0.211869528288036
"8","6","~1 ~ S500.mean.VPD__4.5m_Grid.1x1m + 1",-1.55124996063321,0.489704478416332,NA,NA,NA,NA,NA,NA,NA,NA,-2.203854379648e-05,0.000177864265845539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.4584588293039,0.611911257961294,NA,NA,0,18760001.8044899,59.0381769970518,3,98,124.076353994104,1.76631539423067,0.0246751617913449,NA,0.23654469007938
"9","7","~1 ~ S500.mean.VPD__5.6m_Grid.1x1m + 1",-1.55131606684864,0.489672806380669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.18747910647327e-05,0.000177903084229073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.45839971473594,0.611859054088889,NA,NA,0,18748027.4069238,59.0383521011355,3,98,124.076704202271,1.76666560239809,0.024670841448015,NA,0.261215531527395
"10","8","~1 ~ S500.mean.VPD__6.7m_Grid.1x1m + 1",-1.55136046700571,0.489651369914426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.17627016424053e-05,0.000177929568616241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.45835980674414,0.611823749879049,NA,NA,0,18739882.1730751,59.0384721325856,3,98,124.076944265171,1.76690566529832,0.0246678803488565,NA,0.285883411876252
"11","9","~1 ~ S500.mean.VPD__7.8m_Grid.1x1m + 1",-1.55139371280247,0.489635187221554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.16774275166528e-05,0.000177949712686717,NA,NA,NA,NA,NA,NA,NA,NA,-1.45832969733836,0.611797146987551,NA,NA,0,18733705.7005118,59.0385635956757,3,98,124.077127191351,1.76708859147834,0.0246656242514722,NA,0.310549036127724
"12","10","~1 ~ S500.mean.VPD__8.9m_Grid.1x1m + 1",-1.55142638429293,0.489619353399055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.15946845199512e-05,0.000177969373394266,NA,NA,NA,NA,NA,NA,-1.45830012687095,0.611771126648058,NA,NA,0,18727677.6108472,59.0386523887257,3,98,124.077304777451,1.76726617757848,0.0246634342126946,NA,0.335212470340419
"13","11","~1 ~ S500.mean.VPD__9.10m_Grid.1x1m + 1",-1.55146539752897,0.489600785389556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.14998552322816e-05,0.00017799214577537,NA,NA,NA,NA,-1.45826522894353,0.611740546476252,NA,NA,0,18720673.4781628,59.0387540519969,3,98,124.077508103994,1.76746950412085,0.024660926974743,NA,0.359873397315162
"14","3","~1 ~ S500.mean.VPD__10.11m_Grid.1x1m + 1",-1.55150887477636,0.489580245754359,NA,NA,-2.13960958791796e-05,0.000178017180741062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.45822646988511,0.611706705432287,NA,NA,0,18712963.9564637,59.0388653053979,3,98,124.077730610796,1.76769201092276,0.0246581835153588,NA,0.384531580830521
"15","1/13","~Julian + 1 ~ S500.sd_PercCanopyDensity + 1",-2.60636246605597,2.51077160672616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0406646771714363,0.0885795566785842,-6.66642646058507,3.73435142695608,0.0295201195193997,0.0211499604550005,0,3087048.50289058,58.0491261997222,4,98,124.098252399444,1.78821379957149,0.0244064621517887,NA,0.408938042982309
"16","1/12/13","~Julian + 1 ~ S500.mean_MaxHeight + S500.sd_PercCanopyDensity + 1",-6.91099359642135,4.35875033694961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.212027291409154,0.176575685965524,0.140006506005362,0.118386493665775,-7.14248347661861,3.73515098744745,0.0319244763470698,0.0210748326996151,0,4488964.71416467,57.3588251483918,5,98,124.717650296784,2.40761169691059,0.0179062352620251,NA,0.426844278244334
"17","1/4","~Julian + 1 ~ S500.mean.VPD__2.3m_Grid.1x1m + 1",-1.55727877232276,0.462592398066615,NA,NA,NA,NA,9.83747513679679e-05,0.000202860310248424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.2191966622732,3.64930582807397,0.0163800172321726,0.0206105282655356,0,346062821.686733,58.4625616526144,4,98,124.925123305229,2.61508470535584,0.0161418049368389,NA,0.442986083181173
"18","1/2","~Julian + 1 ~ S500.mean.VPD__1.2m_Grid.1x1m + 1",-1.55726054907671,0.462596341859563,9.84314479141923e-05,0.000202874013622122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.21929411283525,3.64930603565957,0.0163804481283361,0.0206105350339151,0,346014616.45707,58.4626210219431,4,98,124.925242043886,2.61520344401332,0.0161408466371623,NA,0.459126929818336
"19","1/5","~Julian + 1 ~ S500.mean.VPD__3.4m_Grid.1x1m + 1",-1.55724489210874,0.4626000200859,NA,NA,NA,NA,NA,NA,9.84754544860136e-05,0.000202883509216845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.21939206834472,3.64930546218704,0.0163808932126624,0.0206105375681077,0,345980787.971882,58.4626670165173,4,98,124.925334033035,2.61529543316153,0.0161401042628682,NA,0.475267034081204
"20","1/6","~Julian + 1 ~ S500.mean.VPD__4.5m_Grid.1x1m + 1",-1.55722397246431,0.462604623452401,NA,NA,NA,NA,NA,NA,NA,NA,9.85375712117888e-05,0.000202897555416216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.21951584737097,3.64930569724282,0.0163814544005895,0.0206105459346622,0,345931185.516228,58.4627309822341,4,98,124.925461964468,2.61542336459527,0.0161390718825475,NA,0.491406105963751
"21","1/7","~Julian + 1 ~ S500.mean.VPD__5.6m_Grid.1x1m + 1",-1.55720986539132,0.462607684727893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.85794379165395e-05,0.000202906862334093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.21960015343443,3.64930533098374,0.0163818387051603,0.0206105486145732,0,345898220.915639,58.4627738322758,4,98,124.925547664552,2.61550906467868,0.0161383803374608,NA,0.507544486301212
"22","1/8","~Julian + 1 ~ S500.mean.VPD__6.7m_Grid.1x1m + 1",-1.55720015023191,0.462609764053785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.86081440126021e-05,0.00020291318647852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.21965932440838,3.6493051588001,0.0163821103293946,0.0206105509992039,0,345875839.682659,58.4628029168764,4,98,124.925605833753,2.61556723387982,0.0161379109659406,NA,0.523682397267153
"23","1/9","~Julian + 1 ~ S500.mean.VPD__7.8m_Grid.1x1m + 1",-1.5571925559546,0.462611383219242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.86305649994059e-05,0.000202918169442955,NA,NA,NA,NA,NA,NA,NA,NA,-4.21970607383173,3.6493058383967,0.0163823258558218,0.0206105572949199,0,345858373.09949,58.4628254073686,4,98,124.925650814737,2.61561221486419,0.0161375480204616,NA,0.539819945287614
"24","1/10","~Julian + 1 ~ S500.mean.VPD__8.9m_Grid.1x1m + 1",-1.55718532624287,0.462612917146323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8652103478978e-05,0.000202923055808216,NA,NA,NA,NA,NA,NA,-4.21974911703435,3.64930492974132,0.0163825224605178,0.0206105548004432,0,345840966.544227,58.4628472659419,4,98,124.925694531884,2.61565593201082,0.0161371952805402,NA,0.555957140568154
"25","1/11","~Julian + 1 ~ S500.mean.VPD__9.10m_Grid.1x1m + 1",-1.55717753217507,0.462614631195176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8675654227435e-05,0.000202928544537532,NA,NA,NA,NA,-4.21979229440812,3.64930494461705,0.0163827149768447,0.0206105573380434,0,345821642.049032,58.4628719360252,4,98,124.92574387205,2.61570527217738,0.0161367971794993,NA,0.572093937747654
"26","1/3","~Julian + 1 ~ S500.mean.VPD__10.11m_Grid.1x1m + 1",-1.55716922835056,0.462616483488532,NA,NA,9.8701011551307e-05,0.000202934535857681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.2198361163145,3.64930536507947,0.0163829070275503,0.0206105622484782,0,345800634.462171,58.4628989679042,4,98,124.925797935808,2.61575933593548,0.0161363609774454,NA,0.588230298725099
"27","12/13","~1 ~ S500.mean_MaxHeight + S500.sd_PercCanopyDensity + 1",-5.81089587418533,4.32170280876447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.180076533184222,0.176629984791626,0.105181799830363,0.115862355552059,-1.51025538698189,0.625106500109597,NA,NA,0,178133.439510117,58.5087523011262,4,98,125.017504602252,2.70746600237948,0.0154131622835989,NA,0.603643461008698
"28","3/6","~1 ~ S500.mean.VPD__10.11m_Grid.1x1m + S500.mean.VPD__4.5m_Grid.1x1m + 1",-1.53834739087682,0.625643591865549,NA,NA,0.583690019637077,14.6317339295015,NA,NA,NA,NA,-0.583908026251816,14.6320161376892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.52929323328206,0.649296608180607,NA,NA,0,47690734473.2851,58.8884259865196,4,98,125.776851973039,3.46681337316622,0.0105439069492261,NA,0.614187367957924
"29","5/10","~1 ~ S500.mean.VPD__3.4m_Grid.1x1m + S500.mean.VPD__8.9m_Grid.1x1m + 1",-1.53739083632722,0.636921740545657,NA,NA,NA,NA,NA,NA,-0.612623502608937,15.0215470520328,NA,NA,NA,NA,NA,NA,NA,NA,0.612403743129475,15.0211990737125,NA,NA,NA,NA,NA,NA,-1.52960880583613,0.650305234579345,NA,NA,0,50390187991.1142,58.8888130191813,4,98,125.777626038363,3.46758743848964,0.0105398269024613,NA,0.624727194860385
"30","6/11","~1 ~ S500.mean.VPD__4.5m_Grid.1x1m + S500.mean.VPD__9.10m_Grid.1x1m + 1",-1.54157539554036,0.618166453282601,NA,NA,NA,NA,NA,NA,NA,NA,-0.507205679737412,16.88053734397,NA,NA,NA,NA,NA,NA,NA,NA,0.506986343700701,16.8802409245959,NA,NA,NA,NA,-1.52780889070517,0.649248776359424,NA,NA,0,63729730628.9276,58.8944507452879,4,98,125.788901490576,3.47886289070281,0.0104805734295424,NA,0.635207768289928
"31","5/9","~1 ~ S500.mean.VPD__3.4m_Grid.1x1m + S500.mean.VPD__7.8m_Grid.1x1m + 1",-1.54054622384476,0.63613897497091,NA,NA,NA,NA,NA,NA,-0.526024844692576,17.2645908784462,NA,NA,NA,NA,NA,NA,0.52581251524293,17.2642330318251,NA,NA,NA,NA,NA,NA,NA,NA,-1.52796903104272,0.649092924303482,NA,NA,0,65325149332.5969,58.8959114102524,4,98,125.791822820505,3.48178422063175,0.0104652759980572,NA,0.645673044287985
"32","4/8","~1 ~ S500.mean.VPD__2.3m_Grid.1x1m + S500.mean.VPD__6.7m_Grid.1x1m + 1",-1.53284010222121,0.705930165120153,NA,NA,NA,NA,-0.646501281526253,15.3688479846649,NA,NA,NA,NA,NA,NA,0.646304166777694,15.3684198518397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.52958408421587,0.648238763684555,NA,NA,0,49607330722.6359,58.8963900303623,4,98,125.792780060725,3.48274146085173,0.0104602683049949,NA,0.65613331259298
"33","5/11","~1 ~ S500.mean.VPD__3.4m_Grid.1x1m + S500.mean.VPD__9.10m_Grid.1x1m + 1",-1.5336561461198,0.653412067162281,NA,NA,NA,NA,NA,NA,-0.691008894486236,14.5445619217798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.690854276916351,14.5441959966827,NA,NA,NA,NA,-1.5312768720015,0.63994371375847,NA,NA,0,39529588339.0379,58.8981211335458,4,98,125.796242267092,3.48620366721865,0.0104421761654306,NA,0.666575488758411
"34","4/7","~1 ~ S500.mean.VPD__2.3m_Grid.1x1m + S500.mean.VPD__5.6m_Grid.1x1m + 1",-1.53752226263468,0.712158989616888,NA,NA,NA,NA,-0.53828772928072,17.8682809504122,NA,NA,NA,NA,0.538084518972151,17.8678593198932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.52767229549975,0.649508178184696,NA,NA,0,68332725202.5269,58.90175673233,4,98,125.80351346466,3.49347486478706,0.0104042815290456,NA,0.676979770287456
"35","2/10","~1 ~ S500.mean.VPD__1.2m_Grid.1x1m + S500.mean.VPD__8.9m_Grid.1x1m + 1",-1.53523839558682,0.648564972346664,-0.606961500397111,13.2861120576583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.606744189485545,13.2856974597002,NA,NA,NA,NA,NA,NA,-1.52819213080373,0.649594766414856,NA,NA,0,39084458408.9717,58.9018241797592,4,98,125.803648359518,3.49360975964534,0.0104035798106693,NA,0.687383350098125
"36","2/9","~1 ~ S500.mean.VPD__1.2m_Grid.1x1m + S500.mean.VPD__7.8m_Grid.1x1m + 1",-1.53868704419961,0.630691983166852,-0.520925300454546,13.7384435781589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.520714201076528,13.7380484930455,NA,NA,NA,NA,NA,NA,NA,NA,-1.52675649974567,0.647978504820182,NA,NA,0,41161670525.977,58.9071073383064,4,98,125.814214676613,3.50417607673978,0.0103487609848524,NA,0.697732111082978
"37","2/11","~1 ~ S500.mean.VPD__1.2m_Grid.1x1m + S500.mean.VPD__9.10m_Grid.1x1m + 1",-1.53124115340959,0.683280388794627,-0.684982462386963,13.9660178938639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.684831381190077,13.9655540260041,NA,NA,NA,NA,-1.52968509709376,0.639464269349701,NA,NA,0,36021736750.0759,58.9148812311351,4,98,125.82976246227,3.51972386239733,0.0102686227227613,NA,0.708000733805739
"38","4/9","~1 ~ S500.mean.VPD__2.3m_Grid.1x1m + S500.mean.VPD__7.8m_Grid.1x1m + 1",-1.52840658576378,0.705307204619641,NA,NA,NA,NA,-0.739040469000901,14.5052622340064,NA,NA,NA,NA,NA,NA,NA,NA,0.73894574186985,14.5048123282028,NA,NA,NA,NA,NA,NA,NA,NA,-1.53146707891539,0.632111000553563,NA,NA,0,33386297802.0788,58.9430314064661,4,98,125.886062812932,3.57602421305914,0.00998358987718688,NA,0.717984323682926
"39","3/5","~1 ~ S500.mean.VPD__10.11m_Grid.1x1m + S500.mean.VPD__3.4m_Grid.1x1m + 1",-1.52917281774857,0.672246117000751,NA,NA,0.768450145142656,14.1856338368144,NA,NA,-0.768514329763742,14.186016810189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.53314035435637,0.627914855489431,NA,NA,0,29408359472.1307,58.9585573865507,4,98,125.917114773101,3.60707617322835,0.00982978195860301,NA,0.727814105641529
