"","model","formula","lam(Int)","SElam(Int)","lam(S500.mean_MaxHeight)","SElam(S500.mean_MaxHeight)","lam(S500.sd_PercCanopyDensity)","SElam(S500.sd_PercCanopyDensity)","lam(S500.VPD__10.11m_Grid.1x1m.mean)","SElam(S500.VPD__10.11m_Grid.1x1m.mean)","lam(S500.VPD__100.150cm_Grid.1x1m.mean)","SElam(S500.VPD__100.150cm_Grid.1x1m.mean)","lam(S500.VPD__11.12m_Grid.1x1m.mean)","SElam(S500.VPD__11.12m_Grid.1x1m.mean)","lam(S500.VPD__150.200cm_Grid.1x1m.mean)","SElam(S500.VPD__150.200cm_Grid.1x1m.mean)","lam(S500.VPD__2.3m_Grid.1x1m.mean)","SElam(S500.VPD__2.3m_Grid.1x1m.mean)","lam(S500.VPD__3.4m_Grid.1x1m.mean)","SElam(S500.VPD__3.4m_Grid.1x1m.mean)","lam(S500.VPD__4.5m_Grid.1x1m.mean)","SElam(S500.VPD__4.5m_Grid.1x1m.mean)","lam(S500.VPD__5.6m_Grid.1x1m.mean)","SElam(S500.VPD__5.6m_Grid.1x1m.mean)","lam(S500.VPD__50.100cm_Grid.1x1m.mean)","SElam(S500.VPD__50.100cm_Grid.1x1m.mean)","lam(S500.VPD__6.7m_Grid.1x1m.mean)","SElam(S500.VPD__6.7m_Grid.1x1m.mean)","lam(S500.VPD__7.8m_Grid.1x1m.mean)","SElam(S500.VPD__7.8m_Grid.1x1m.mean)","lam(S500.VPD__8.9m_Grid.1x1m.mean)","SElam(S500.VPD__8.9m_Grid.1x1m.mean)","lam(S500.VPD__9.10m_Grid.1x1m.mean)","SElam(S500.VPD__9.10m_Grid.1x1m.mean)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/2","~Julian + 1 ~ S500.mean_MaxHeight + 1",-0.362908172271734,0.321557473252904,0.495029333311393,0.163439152819153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.72362672398489,0.386532355139602,0.540871153762516,0.230517192733644,0,17.0291426247491,139.166202633169,4,98,286.332405266337,0,0.0546611071987523,NA,0.0546611071987523
"2","1/6","~Julian + 1 ~ S500.VPD__11.12m_Grid.1x1m.mean + 1",-0.243627040478649,0.331930131106064,NA,NA,NA,NA,NA,NA,NA,NA,0.503561840851878,0.166952049733526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.86706624512781,0.401894984135072,0.641296517293617,0.224610369349387,0,17.9246049801924,139.28677290581,4,98,286.57354581162,0.241140545282576,0.04845241410187,NA,0.103113521300622
"3","1/2/3","~Julian + 1 ~ S500.mean_MaxHeight + S500.sd_PercCanopyDensity + 1",-0.295035085303011,0.339581616171602,0.681429149362841,0.229724455527231,0.286854991289977,0.253154258496224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.81889266363189,0.407423225154272,0.59539555154588,0.229760350492666,0,24.0229680950194,138.541541980872,5,98,287.083083961743,0.750678695406066,0.0375552464952947,NA,0.140668767795917
"4","1/4","~Julian + 1 ~ S500.VPD__10.11m_Grid.1x1m.mean + 1",-0.235998356074566,0.331563816633786,NA,NA,NA,NA,0.50304187452443,0.180658787369473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.87052897034603,0.403208034620771,0.648436604042615,0.225517783375388,0,17.1913741910302,139.696461708368,4,98,287.392923416736,1.06051815039871,0.0321654649914864,NA,0.172834232787403
"5","1/2/6","~Julian + 1 ~ S500.mean_MaxHeight + S500.VPD__11.12m_Grid.1x1m.mean + 1",-0.311799979526384,0.335364680704567,0.29769103318919,0.277420908923018,NA,NA,NA,NA,NA,NA,0.263107788257289,0.284398957887325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.80445789213847,0.402900420687335,0.590945923115957,0.232298384609195,0,26.3203761381226,138.741924772057,5,98,287.483849544114,1.1514442777771,0.0307358675737986,NA,0.203570100361202
"6","1/2/4","~Julian + 1 ~ S500.mean_MaxHeight + S500.VPD__10.11m_Grid.1x1m.mean + 1",-0.316246402237875,0.334656980291153,0.340245157454674,0.240791923002186,NA,NA,0.242909751299822,0.264754259178548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.80410163406423,0.40304191592608,0.59128273883106,0.232354216174444,0,24.0418895634341,138.752796708505,5,98,287.50559341701,1.17318815067279,0.0304035190842937,NA,0.233973619445496
"7","1/2/16","~Julian + 1 ~ S500.mean_MaxHeight + S500.VPD__9.10m_Grid.1x1m.mean + 1",-0.335448279604623,0.3302301705775,0.390715362096077,0.206982266793485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.204010313408574,0.234326278787296,-1.78158606266495,0.39700388586827,0.576439985034615,0.230403284759286,0,21.4644944156664,138.796495172133,5,98,287.592990344267,1.26058507792948,0.0291035423624135,NA,0.263077161807909
"8","1/2/15","~Julian + 1 ~ S500.mean_MaxHeight + S500.VPD__8.9m_Grid.1x1m.mean + 1",-0.354023759259983,0.326389313915636,0.435579173378122,0.184807578284633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.156818316688401,0.202836491055916,NA,NA,-1.75543200485657,0.391283318362609,0.55994050058228,0.229582255725351,0,19.6906511626304,138.877848353867,5,98,287.755696707734,1.42329144139683,0.0268296257580445,NA,0.289906787565954
"9","1/2/12","~Julian + 1 ~ S500.mean_MaxHeight + S500.VPD__50.100cm_Grid.1x1m.mean + 1",-0.315101270306341,0.332277738797989,0.433105782292835,0.17766931273241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.147882373368534,0.195550971985884,NA,NA,NA,NA,NA,NA,NA,NA,-1.78426258737241,0.398969435545342,0.577122205941227,0.231267004386127,0,20.902461638725,138.886592544828,5,98,287.773185089655,1.44077982331817,0.026596045112212,NA,0.316502832678166
"10","1/2/14","~Julian + 1 ~ S500.mean_MaxHeight + S500.VPD__7.8m_Grid.1x1m.mean + 1",-0.366856278897138,0.324128443333267,0.467448291614289,0.173478562854149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.112776535142937,0.18156720381824,NA,NA,NA,NA,-1.73434148544683,0.38797464094382,0.546520082387215,0.229989154393131,0,18.5645718554989,138.98062138021,5,98,287.961242760419,1.62883749408218,0.0242092233171571,NA,0.340712055995323
