"","model","formula","lam(Int)","SElam(Int)","lam(S500.mean_MaxHeight)","SElam(S500.mean_MaxHeight)","lam(S500.sd_PercCanopyDensity)","SElam(S500.sd_PercCanopyDensity)","lam(S500.VPD__10.11m_Grid.1x1m.mean)","SElam(S500.VPD__10.11m_Grid.1x1m.mean)","lam(S500.VPD__100.150cm_Grid.1x1m.mean)","SElam(S500.VPD__100.150cm_Grid.1x1m.mean)","lam(S500.VPD__11.12m_Grid.1x1m.mean)","SElam(S500.VPD__11.12m_Grid.1x1m.mean)","lam(S500.VPD__150.200cm_Grid.1x1m.mean)","SElam(S500.VPD__150.200cm_Grid.1x1m.mean)","lam(S500.VPD__2.3m_Grid.1x1m.mean)","SElam(S500.VPD__2.3m_Grid.1x1m.mean)","lam(S500.VPD__3.4m_Grid.1x1m.mean)","SElam(S500.VPD__3.4m_Grid.1x1m.mean)","lam(S500.VPD__4.5m_Grid.1x1m.mean)","SElam(S500.VPD__4.5m_Grid.1x1m.mean)","lam(S500.VPD__5.6m_Grid.1x1m.mean)","SElam(S500.VPD__5.6m_Grid.1x1m.mean)","lam(S500.VPD__50.100cm_Grid.1x1m.mean)","SElam(S500.VPD__50.100cm_Grid.1x1m.mean)","lam(S500.VPD__6.7m_Grid.1x1m.mean)","SElam(S500.VPD__6.7m_Grid.1x1m.mean)","lam(S500.VPD__7.8m_Grid.1x1m.mean)","SElam(S500.VPD__7.8m_Grid.1x1m.mean)","lam(S500.VPD__8.9m_Grid.1x1m.mean)","SElam(S500.VPD__8.9m_Grid.1x1m.mean)","lam(S500.VPD__9.10m_Grid.1x1m.mean)","SElam(S500.VPD__9.10m_Grid.1x1m.mean)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","7/9/12","~1 ~ S500.VPD__150.200cm_Grid.1x1m.mean + S500.VPD__3.4m_Grid.1x1m.mean + S500.VPD__50.100cm_Grid.1x1m.mean + 1",1.43797852429275,0.916260653012624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.46610112445042,0.673002672540682,NA,NA,1.10026429779777,0.529674848080904,NA,NA,NA,NA,1.6126924064393,0.405056141527966,NA,NA,NA,NA,NA,NA,NA,NA,-4.83019211792879,0.858752175857559,NA,NA,0,75.2062897334684,66.8438163052808,5,98,143.687632610562,0,0.061906149261844,NA,0.061906149261844
"2","7/8/12","~1 ~ S500.VPD__150.200cm_Grid.1x1m.mean + S500.VPD__2.3m_Grid.1x1m.mean + S500.VPD__50.100cm_Grid.1x1m.mean + 1",1.46638664661128,0.913977577359326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.09568092781676,1.46028283396663,2.53368445681308,1.27254707128147,NA,NA,NA,NA,NA,NA,1.72472415363693,0.4375278743708,NA,NA,NA,NA,NA,NA,NA,NA,-4.8348065901956,0.861199241702611,NA,NA,0,182.856928407753,67.0143484474783,5,98,144.028696894957,0.341064284395031,0.0522002547127053,NA,0.114106403974549
"3","2/5/12","~1 ~ S500.mean_MaxHeight + S500.VPD__100.150cm_Grid.1x1m.mean + S500.VPD__50.100cm_Grid.1x1m.mean + 1",1.02989680677928,4.9166656258342,-0.399550853854588,0.279947723915404,NA,NA,NA,NA,-1.62143764135324,0.561088051817892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.62377941732037,0.549569750294788,NA,NA,NA,NA,NA,NA,NA,NA,-4.4469061047502,5.01632979308202,NA,NA,0,2150.92066318757,67.576758721564,5,98,145.153517443128,1.46588483256639,0.0297454774023028,NA,0.143851881376852
"4","5/12","~1 ~ S500.VPD__100.150cm_Grid.1x1m.mean + S500.VPD__50.100cm_Grid.1x1m.mean + 1",1.20271279679896,5.09941007104374,NA,NA,NA,NA,NA,NA,-1.85027068056853,0.52583275962836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85084978582876,0.519405205214373,NA,NA,NA,NA,NA,NA,NA,NA,-4.52533314308989,5.19703737713476,NA,NA,0,1884.53359381434,68.5908348112788,4,98,145.181669622558,1.494037011996,0.0293297104451277,NA,0.17318159182198
"5","2/4","~1 ~ S500.mean_MaxHeight + S500.VPD__10.11m_Grid.1x1m.mean + 1",-0.666332603174209,0.978289382617973,-1.33123832538328,0.526722190079346,NA,NA,0.834798511074592,0.45128242154962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.6322884191804,1.07021655926102,NA,NA,0,90.1513760122984,68.628516890045,4,98,145.25703378009,1.56940116952836,0.0282450700783762,NA,0.201426661900356
"6","7/10/12","~1 ~ S500.VPD__150.200cm_Grid.1x1m.mean + S500.VPD__4.5m_Grid.1x1m.mean + S500.VPD__50.100cm_Grid.1x1m.mean + 1",1.52942800538231,1.06555883641014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.82331895659991,0.482218230517895,NA,NA,NA,NA,0.59972316530288,0.360103260458641,NA,NA,1.47145069658724,0.388666763689411,NA,NA,NA,NA,NA,NA,NA,NA,-4.89614679079391,1.01912600414702,NA,NA,0,87.9208553716824,67.6493179958807,5,98,145.298635991761,1.61100338119979,0.0276636098597689,NA,0.229090271760125
"7","5/9/12","~1 ~ S500.VPD__100.150cm_Grid.1x1m.mean + S500.VPD__3.4m_Grid.1x1m.mean + S500.VPD__50.100cm_Grid.1x1m.mean + 1",1.56115367547367,1.4441628754089,NA,NA,NA,NA,NA,NA,-2.59880703252161,0.768327385309232,NA,NA,NA,NA,NA,NA,0.576696996819738,0.440542425833738,NA,NA,NA,NA,2.25893504751227,0.58924436499047,NA,NA,NA,NA,NA,NA,NA,NA,-4.92404324445498,1.4200202829663,NA,NA,0,156.029215579989,67.7113972235982,5,98,145.422794447196,1.73516183663492,0.0259984936111544,NA,0.255088765371279
"8","5/10/12","~1 ~ S500.VPD__100.150cm_Grid.1x1m.mean + S500.VPD__4.5m_Grid.1x1m.mean + S500.VPD__50.100cm_Grid.1x1m.mean + 1",1.53530458033282,1.50933120391735,NA,NA,NA,NA,NA,NA,-2.28397990357757,0.598596887383423,NA,NA,NA,NA,NA,NA,NA,NA,0.432071459026432,0.33616487012978,NA,NA,2.16377635112069,0.550509480460624,NA,NA,NA,NA,NA,NA,NA,NA,-4.89187934624269,1.48902370183996,NA,NA,0,165.71697681937,67.746024247054,5,98,145.492048494108,1.80441588354651,0.0251136513017615,NA,0.280202416673041
"9","2/16","~1 ~ S500.mean_MaxHeight + S500.VPD__9.10m_Grid.1x1m.mean + 1",-0.718010472558148,0.917712743623297,-1.15336158014537,0.463046103490913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65344996690479,0.373163750570045,-2.56007223930786,1.00358905576308,NA,NA,0,75.5221423521173,68.8359488665323,4,98,145.671897733065,1.98426512250296,0.0229538793108936,NA,0.303156295983934
"10","8/9/12","~1 ~ S500.VPD__2.3m_Grid.1x1m.mean + S500.VPD__3.4m_Grid.1x1m.mean + S500.VPD__50.100cm_Grid.1x1m.mean + 1",1.64855184141014,1.28336858229789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.13056615255067,0.965744467053988,2.09085426061998,0.840488226263575,NA,NA,NA,NA,1.23255698357806,0.344997153791721,NA,NA,NA,NA,NA,NA,NA,NA,-5.03831241780744,1.2437191454236,NA,NA,0,138.079054225863,67.8700977611331,5,98,145.740195522266,2.05256291170457,0.022183262448882,NA,0.325339558432816
