"","model","formula","lam(Int)","SElam(Int)","lam(S500.mean_MaxHeight)","SElam(S500.mean_MaxHeight)","lam(S500.sd_PercCanopyDensity)","SElam(S500.sd_PercCanopyDensity)","lam(S500.VPD__10.11m_Grid.1x1m.mean)","SElam(S500.VPD__10.11m_Grid.1x1m.mean)","lam(S500.VPD__100.150cm_Grid.1x1m.mean)","SElam(S500.VPD__100.150cm_Grid.1x1m.mean)","lam(S500.VPD__11.12m_Grid.1x1m.mean)","SElam(S500.VPD__11.12m_Grid.1x1m.mean)","lam(S500.VPD__150.200cm_Grid.1x1m.mean)","SElam(S500.VPD__150.200cm_Grid.1x1m.mean)","lam(S500.VPD__2.3m_Grid.1x1m.mean)","SElam(S500.VPD__2.3m_Grid.1x1m.mean)","lam(S500.VPD__3.4m_Grid.1x1m.mean)","SElam(S500.VPD__3.4m_Grid.1x1m.mean)","lam(S500.VPD__4.5m_Grid.1x1m.mean)","SElam(S500.VPD__4.5m_Grid.1x1m.mean)","lam(S500.VPD__5.6m_Grid.1x1m.mean)","SElam(S500.VPD__5.6m_Grid.1x1m.mean)","lam(S500.VPD__50.100cm_Grid.1x1m.mean)","SElam(S500.VPD__50.100cm_Grid.1x1m.mean)","lam(S500.VPD__6.7m_Grid.1x1m.mean)","SElam(S500.VPD__6.7m_Grid.1x1m.mean)","lam(S500.VPD__7.8m_Grid.1x1m.mean)","SElam(S500.VPD__7.8m_Grid.1x1m.mean)","lam(S500.VPD__8.9m_Grid.1x1m.mean)","SElam(S500.VPD__8.9m_Grid.1x1m.mean)","lam(S500.VPD__9.10m_Grid.1x1m.mean)","SElam(S500.VPD__9.10m_Grid.1x1m.mean)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","5/7/8","~1 ~ S500.VPD__100.150cm_Grid.1x1m.mean + S500.VPD__150.200cm_Grid.1x1m.mean + S500.VPD__2.3m_Grid.1x1m.mean + 1",1.41534057382246,0.47139697536258,NA,NA,NA,NA,NA,NA,1.47745674816085,0.495665011345175,NA,NA,-3.06262586897532,0.929935601439196,1.67612979749014,0.512313559435201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.17845345214419,0.528810900450847,NA,NA,0,456.292461193028,325.480167933858,5,98,660.960335867715,0,0.012228554781656,NA,0.012228554781656
"2","13","~1 ~ S500.VPD__6.7m_Grid.1x1m.mean + 1",1.43380770807123,0.474311642882066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.232326875799069,0.0853402748028697,NA,NA,NA,NA,NA,NA,-2.17943819873568,0.533537421757468,NA,NA,0,126.041536010948,327.534209792094,3,98,661.068419584188,0.108083716473175,0.0115852404683711,NA,0.023813795250027
"3","14","~1 ~ S500.VPD__7.8m_Grid.1x1m.mean + 1",1.43512857392412,0.474288348188992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.230909217972541,0.085670792197831,NA,NA,NA,NA,-2.17987122588342,0.533543678834586,NA,NA,0,125.67662532271,327.5719867161,3,98,661.143973432201,0.183637564485593,0.0111557492245314,NA,0.0349695444745585
"4","15","~1 ~ S500.VPD__8.9m_Grid.1x1m.mean + 1",1.43911277728167,0.476371946551939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.231160533782398,0.0885806946428776,NA,NA,-2.18309149778224,0.535878673660657,NA,NA,0,125.837361463805,327.691185400024,3,98,661.382370800047,0.422034932332053,0.00990219358275447,NA,0.0448717380573129
"5","5/7/9","~1 ~ S500.VPD__100.150cm_Grid.1x1m.mean + S500.VPD__150.200cm_Grid.1x1m.mean + S500.VPD__3.4m_Grid.1x1m.mean + 1",1.42601564284935,0.47477122709281,NA,NA,NA,NA,NA,NA,0.952814048744777,0.385464585357405,NA,NA,-1.40100272874079,0.495297827947163,NA,NA,0.573270957404793,0.180189370445329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.18854132786835,0.532324811634676,NA,NA,0,164.138419298818,325.692605325112,5,98,661.385210650223,0.424874782508027,0.00988814318727542,NA,0.0547598812445884
"6","5/7/10","~1 ~ S500.VPD__100.150cm_Grid.1x1m.mean + S500.VPD__150.200cm_Grid.1x1m.mean + S500.VPD__4.5m_Grid.1x1m.mean + 1",1.44835095048953,0.485966003655172,NA,NA,NA,NA,NA,NA,0.757230291462744,0.349349059327663,NA,NA,-0.945865270637108,0.396435104552112,NA,NA,NA,NA,0.373183365935516,0.117592667814565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.21354526198515,0.543807646382347,NA,NA,0,150.786201590629,325.718761087345,5,98,661.437522174689,0.477186306973977,0.00963286432511919,NA,0.0643927455697075
"7","11","~1 ~ S500.VPD__5.6m_Grid.1x1m.mean + 1",1.41989235021338,0.467677181401272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.227523478847387,0.0883796148520432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.1628117426264,0.527064232260379,NA,NA,0,121.210540710127,327.835769627137,3,98,661.671539254274,0.711203386559305,0.00856918029204262,NA,0.0729619258617502
"8","5/7/11","~1 ~ S500.VPD__100.150cm_Grid.1x1m.mean + S500.VPD__150.200cm_Grid.1x1m.mean + S500.VPD__5.6m_Grid.1x1m.mean + 1",1.46889583625879,0.495662003155212,NA,NA,NA,NA,NA,NA,0.650351758478715,0.331476709228399,NA,NA,-0.721868797988378,0.35726365802341,NA,NA,NA,NA,NA,NA,0.310969676776664,0.0982786279867078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.23449768661927,0.553902682063439,NA,NA,0,142.608995877306,325.83815098901,5,98,661.67630197802,0.715966110304862,0.00854879825095397,NA,0.0815107241127041
"9","5/7/13","~1 ~ S500.VPD__100.150cm_Grid.1x1m.mean + S500.VPD__150.200cm_Grid.1x1m.mean + S500.VPD__6.7m_Grid.1x1m.mean + 1",1.48604003032187,0.504629226257381,NA,NA,NA,NA,NA,NA,0.591405864135006,0.32195517064212,NA,NA,-0.596418391670295,0.339168863488275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.289504236071512,0.0923556408481492,NA,NA,NA,NA,NA,NA,-2.25156683620071,0.563301512804629,NA,NA,0,144.734672255862,325.966556439477,5,98,661.933112878954,0.972777011239032,0.00751863997455969,NA,0.0890293640872638
"10","16","~1 ~ S500.VPD__9.10m_Grid.1x1m.mean + 1",1.42962631586346,0.470823411944827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.217570100979939,0.0894515457393214,-2.16845097013151,0.530633753930479,NA,NA,0,121.577908030346,328.105514137889,3,98,662.211028275778,1.25069240806295,0.00654320802398459,NA,0.0955725721112484
