"","model","formula","lam(Int)","SElam(Int)","lam(S500.mean_MaxHeight)","SElam(S500.mean_MaxHeight)","lam(S500.VPD__10.11m_Grid.1x1m.mean)","SElam(S500.VPD__10.11m_Grid.1x1m.mean)","lam(S500.VPD__100.150cm_Grid.1x1m.mean)","SElam(S500.VPD__100.150cm_Grid.1x1m.mean)","lam(S500.VPD__11.12m_Grid.1x1m.mean)","SElam(S500.VPD__11.12m_Grid.1x1m.mean)","lam(S500.VPD__150.200cm_Grid.1x1m.mean)","SElam(S500.VPD__150.200cm_Grid.1x1m.mean)","lam(S500.VPD__2.3m_Grid.1x1m.mean)","SElam(S500.VPD__2.3m_Grid.1x1m.mean)","lam(S500.VPD__3.4m_Grid.1x1m.mean)","SElam(S500.VPD__3.4m_Grid.1x1m.mean)","lam(S500.VPD__4.5m_Grid.1x1m.mean)","SElam(S500.VPD__4.5m_Grid.1x1m.mean)","lam(S500.VPD__5.6m_Grid.1x1m.mean)","SElam(S500.VPD__5.6m_Grid.1x1m.mean)","lam(S500.VPD__50.100cm_Grid.1x1m.mean)","SElam(S500.VPD__50.100cm_Grid.1x1m.mean)","lam(S500.VPD__6.7m_Grid.1x1m.mean)","SElam(S500.VPD__6.7m_Grid.1x1m.mean)","lam(S500.VPD__7.8m_Grid.1x1m.mean)","SElam(S500.VPD__7.8m_Grid.1x1m.mean)","lam(S500.VPD__8.9m_Grid.1x1m.mean)","SElam(S500.VPD__8.9m_Grid.1x1m.mean)","lam(S500.VPD__9.10m_Grid.1x1m.mean)","SElam(S500.VPD__9.10m_Grid.1x1m.mean)","p(Int)","SEp(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","5/7/8","~1 ~ S500.VPD__100.150cm_Grid.1x1m.mean + S500.VPD__150.200cm_Grid.1x1m.mean + S500.VPD__2.3m_Grid.1x1m.mean + 1",-0.875179932767161,0.198990341472392,NA,NA,NA,NA,2.24792619783761,0.987969218617365,NA,NA,-5.03662875435886,1.81322329344904,2.96783074832884,0.964143553361479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.460374924536146,0.237776653535202,0,463.454018280274,159.400444345222,5,98,328.800888690443,0,0.122149404090685,NA,0.122149404090685
"2","11","~1 ~ S500.VPD__5.6m_Grid.1x1m.mean + 1",-0.812126708340074,0.186048212648774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.283926278519459,0.162841850030175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.41938655262804,0.226907425338706,0,3.3479006845392,162.668914258474,3,98,331.337828516947,2.53693982650395,0.0343559426266093,NA,0.156505346717294
"3","6/9","~1 ~ S500.VPD__11.12m_Grid.1x1m.mean + S500.VPD__3.4m_Grid.1x1m.mean + 1",-0.838162299217061,0.193017017125275,NA,NA,NA,NA,NA,NA,0.322668950457117,0.185264679433883,NA,NA,NA,NA,0.296679614156792,0.186184692243903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.43295104305067,0.229902702718369,0,3.41403848785338,161.678908146704,4,98,331.357816293407,2.55692760296404,0.0340143031727314,NA,0.190519649890026
"4","16","~1 ~ S500.VPD__9.10m_Grid.1x1m.mean + 1",-0.801465717776034,0.185903327550104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.289050854615687,0.171529739387954,-0.433516164684917,0.229511573172639,0,3.28508837478293,162.714524303003,3,98,331.429048606005,2.62815991556204,0.0328241643261038,NA,0.22334381421613
"5","15","~1 ~ S500.VPD__8.9m_Grid.1x1m.mean + 1",-0.804229723630344,0.185837020447594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28376244823333,0.167225742996056,NA,NA,-0.428487594465894,0.228550686863401,0,3.30381430311192,162.714756769021,3,98,331.429513538042,2.62862484759842,0.0328165347101701,NA,0.2561603489263
"6","10","~1 ~ S500.VPD__4.5m_Grid.1x1m.mean + 1",-0.813887440735601,0.186158843377913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.286160186883335,0.16882141987933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.416954724433136,0.2264905362944,0,3.26350402789159,162.721347144692,3,98,331.442694289384,2.64180559894123,0.032600972516325,NA,0.288761321442625
"7","6/10","~1 ~ S500.VPD__11.12m_Grid.1x1m.mean + S500.VPD__4.5m_Grid.1x1m.mean + 1",-0.834356896377018,0.191945486965904,NA,NA,NA,NA,NA,NA,0.253916008528913,0.178372210694272,NA,NA,NA,NA,NA,NA,0.279766712317114,0.17648485333498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.432988690381734,0.229877442942362,0,3.56948991059795,161.727445780346,4,98,331.454891560693,2.65400287024954,0.0324027561021829,NA,0.321164077544808
"8","13","~1 ~ S500.VPD__6.7m_Grid.1x1m.mean + 1",-0.807051736423419,0.185381692294054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.268240374719541,0.157117287161881,NA,NA,NA,NA,NA,NA,-0.421086983199983,0.227170111801248,0,3.39703365504267,162.762248227683,3,98,331.524496455365,2.72360776492184,0.0312944584869535,NA,0.352458536031761
"9","14","~1 ~ S500.VPD__7.8m_Grid.1x1m.mean + 1",-0.804785694994315,0.185361356926193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26912627073059,0.158950204933736,NA,NA,NA,NA,-0.423914105654944,0.227680149891175,0,3.37124523943438,162.771966002059,3,98,331.543932004118,2.74304331367506,0.0309918188735269,NA,0.383450354905288
"10","4/9","~1 ~ S500.VPD__10.11m_Grid.1x1m.mean + S500.VPD__3.4m_Grid.1x1m.mean + 1",-0.835231138556947,0.192107914994435,NA,NA,0.305951096065998,0.18275317479316,NA,NA,NA,NA,NA,NA,NA,NA,0.254113031005875,0.179842370841107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.430413047821129,0.229330462803003,0,3.43385524361022,161.79424485973,4,98,331.588489719461,2.78760102901759,0.0303089911062777,NA,0.413759346011566
"11","4","~1 ~ S500.VPD__10.11m_Grid.1x1m.mean + 1",-0.796373101601709,0.185360416129533,NA,NA,0.278273463483038,0.168609645696345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.437041889726411,0.23017670077865,0,3.30294903087216,162.801810473278,3,98,331.603620946556,2.80273225611302,0.0300805502298748,NA,0.443839896241441
"12","4/10","~1 ~ S500.VPD__10.11m_Grid.1x1m.mean + S500.VPD__4.5m_Grid.1x1m.mean + 1",-0.829957360528787,0.190823083714834,NA,NA,0.236511621661411,0.182706217067169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.240211863487268,0.17777587154581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.430211923454152,0.229298466727921,0,3.71283778550162,161.897682443334,4,98,331.795364886667,2.99447619622401,0.0273305963781386,NA,0.471170492619579
"13","7/8","~1 ~ S500.VPD__150.200cm_Grid.1x1m.mean + S500.VPD__2.3m_Grid.1x1m.mean + 1",-0.834809464737484,0.188332336214061,NA,NA,NA,NA,NA,NA,NA,NA,-1.30294605666226,0.659326235858994,1.36787427734214,0.646852423145134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.412082919229084,0.225190196289988,0,60.0348588378026,161.969893397226,4,98,331.939786794451,3.13889810400781,0.0254265999247907,NA,0.49659709254437
"14","6","~1 ~ S500.VPD__11.12m_Grid.1x1m.mean + 1",-0.790564075727201,0.184494439729081,NA,NA,NA,NA,NA,NA,0.255155280875847,0.164072377290063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.437819094536347,0.230344949585405,0,3.30014505136425,162.985224365239,3,98,331.970448730479,3.16956004003544,0.0250397584387281,NA,0.521636850983098
"15","9/16","~1 ~ S500.VPD__3.4m_Grid.1x1m.mean + S500.VPD__9.10m_Grid.1x1m.mean + 1",-0.829453245804053,0.190488485962459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.209594865515678,0.17703055134572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.277860070681395,0.179879846244735,-0.426521143138176,0.228542485128678,0,3.50168926416301,162.015268211976,4,98,332.030536423952,3.22964773350895,0.024298656297853,NA,0.545935507280951
"16","6/11","~1 ~ S500.VPD__11.12m_Grid.1x1m.mean + S500.VPD__5.6m_Grid.1x1m.mean + 1",-0.82140490305103,0.189350535569945,NA,NA,NA,NA,NA,NA,0.198633186008787,0.18026579604124,NA,NA,NA,NA,NA,NA,NA,NA,0.236600676923284,0.173516612998099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.432500466148111,0.229712145748639,0,3.82368235238865,162.082638891389,4,98,332.165277782777,3.36438909233397,0.0227155650156003,NA,0.568651072296551
"17","7/9","~1 ~ S500.VPD__150.200cm_Grid.1x1m.mean + S500.VPD__3.4m_Grid.1x1m.mean + 1",-0.825235357759856,0.187627475573973,NA,NA,NA,NA,NA,NA,NA,NA,-0.412504757255871,0.277539717085797,NA,NA,0.54834815644373,0.265864888664743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.418335218370862,0.22661408124398,0,8.90572837296752,162.11698204867,4,98,332.233964097339,3.4330754068958,0.0219486847124017,NA,0.590599757008953
"18","4/8","~1 ~ S500.VPD__10.11m_Grid.1x1m.mean + S500.VPD__2.3m_Grid.1x1m.mean + 1",-0.824428156836845,0.190560279236899,NA,NA,0.351534661300504,0.192109413467183,NA,NA,NA,NA,NA,NA,0.219699018791106,0.190977667436213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.431992859529549,0.229561489359605,0,3.42335764262092,162.120395098937,4,98,332.240790197875,3.43990150743167,0.0218739004419965,NA,0.612473657450949
"19","10/16","~1 ~ S500.VPD__4.5m_Grid.1x1m.mean + S500.VPD__9.10m_Grid.1x1m.mean + 1",-0.824495069467047,0.189327228435201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.204497898873852,0.187570939399747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.210972645265729,0.192273209060875,-0.426478606595077,0.228516626780493,0,3.95972926992941,162.125872723261,4,98,332.251745446523,3.45085675607965,0.0217544109908041,NA,0.634228068441754
"20","5/7/9","~1 ~ S500.VPD__100.150cm_Grid.1x1m.mean + S500.VPD__150.200cm_Grid.1x1m.mean + S500.VPD__3.4m_Grid.1x1m.mean + 1",-0.836774968523392,0.192872319698807,NA,NA,NA,NA,1.11196479090341,0.781543756678659,NA,NA,-1.72464479458155,0.991106015391229,NA,NA,0.828812340769593,0.342064215609806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.450088083241492,0.235323923512262,0,143.33971125121,161.148413753196,5,98,332.296827506393,3.4959388159495,0.021269529555354,NA,0.655497597997107
"21","4/11","~1 ~ S500.VPD__10.11m_Grid.1x1m.mean + S500.VPD__5.6m_Grid.1x1m.mean + 1",-0.819116511885686,0.188727183447876,NA,NA,0.191738442334653,0.194734783011065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.206086641267517,0.185090878176602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.430301958120957,0.229256928136535,0,4.08297514991687,162.198247041811,4,98,332.396494083621,3.59560539317812,0.0202355755780003,NA,0.675733173575108
