"","model","formula","lam(Int)","SElam(Int)","lam(S150.mean.VPD__1.2m_Grid.1x1m)","SElam(S150.mean.VPD__1.2m_Grid.1x1m)","lam(S150.mean.VPD__3.4m_Grid.1x1m)","SElam(S150.mean.VPD__3.4m_Grid.1x1m)","lam(S150.mean.VPD__5.6m_Grid.1x1m)","SElam(S150.mean.VPD__5.6m_Grid.1x1m)","lam(S150.mean.VPD__7.8m_Grid.1x1m)","SElam(S150.mean.VPD__7.8m_Grid.1x1m)","lam(S150.mean.VPD__9.10m_Grid.1x1m)","SElam(S150.mean.VPD__9.10m_Grid.1x1m)","lam(S150.mean_MaxHeight)","SElam(S150.mean_MaxHeight)","lam(S150.sd_PercCanopyDensity)","SElam(S150.sd_PercCanopyDensity)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","7","~1 ~ S150.mean_MaxHeight + 1",0.706036241663487,1.59159790573559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.274415070322585,0.129372175713816,NA,NA,-2.4089837440941,1.38404475138421,NA,NA,0,1466.43866455126,51.1523777040518,3,98,108.304755408104,0,0.0697525003345397,NA,0.0697525003345397
"2","67","~1 ~ S150.mean.VPD__9.10m_Grid.1x1m + S150.mean_MaxHeight + 1",0.709277320380467,1.69899545394052,NA,NA,NA,NA,NA,NA,NA,NA,0.000408482791398998,3.36834145506346e-05,-0.268512783288056,0.138745938802555,NA,NA,-2.27210215963908,1.34031813193799,NA,NA,0,6486808358.50968,50.2260563741604,4,98,108.452112748321,0.147357340217241,0.0647979908217624,NA,0.134550491156302
"3","37","~1 ~ S150.mean.VPD__3.4m_Grid.1x1m + S150.mean_MaxHeight + 1",0.742959097775626,1.43087236253722,NA,NA,0.000436488615865572,2.9326793254411e-05,NA,NA,NA,NA,NA,NA,-0.286804032299932,0.133784635022618,NA,NA,-2.2390951704577,1.16361974380798,NA,NA,0,4606267120.65842,50.2281218091836,4,98,108.456243618367,0.151488210263565,0.0646642929018016,NA,0.199214784058104
"4","17","~Julian + 1 ~ S150.mean_MaxHeight + 1",0.81992407165697,1.79239653786443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.270180033296625,0.134841182603299,NA,NA,1.57823470155684,3.58911914737866,-0.0248732760264974,0.0193305310488564,0,3321371.56608087,50.3663612677575,4,98,108.732722535515,0.427967127411364,0.0563154941068136,NA,0.255530278164917
"5","27","~1 ~ S150.mean.VPD__1.2m_Grid.1x1m + S150.mean_MaxHeight + 1",0.750925375590746,1.35746258157831,0.000678768851353336,3.02269484807629e-05,NA,NA,NA,NA,NA,NA,NA,NA,-0.285280462505244,0.12956830989861,NA,NA,-2.22670066300015,1.14938763812537,NA,NA,0,3266095716.67635,50.3682250773348,4,98,108.73645015467,0.431694746565938,0.0562106305027986,NA,0.311740908667716
"6","57","~1 ~ S150.mean.VPD__7.8m_Grid.1x1m + S150.mean_MaxHeight + 1",0.725485595944539,1.33017991201013,NA,NA,NA,NA,NA,NA,0.000970135839992766,3.46679610326406e-05,NA,NA,-0.281722119907438,0.129713591257381,NA,NA,-2.21346164984254,1.11787575677567,NA,NA,0,2343582376.42576,50.6063977220598,4,98,109.21279544412,0.908040036016047,0.044297721802171,NA,0.356038630469887
"7","47","~1 ~ S150.mean.VPD__5.6m_Grid.1x1m + S150.mean_MaxHeight + 1",0.778047314612595,1.39361242726765,NA,NA,NA,NA,0.00097395468147958,3.4657965128281e-05,NA,NA,NA,NA,-0.283919870702275,0.131400740455871,NA,NA,-2.27858322559332,1.17000201860363,NA,NA,0,2587855246.2431,50.6104252823067,4,98,109.220850564613,0.916095156509698,0.0441196688589801,NA,0.400158299328867
"8","147","~Julian + 1 ~ S150.mean.VPD__5.6m_Grid.1x1m + S150.mean_MaxHeight + 1",0.681690296424801,1.35756498378354,NA,NA,NA,NA,0.000510409006644388,2.77086617793673e-05,NA,NA,NA,NA,-0.269018047952974,0.132198730482091,NA,NA,2.85068646843236,3.74625228546174,-0.0307518025965171,0.0207925154691684,0,19708340544.766,49.6105510481301,5,98,109.22110209626,0.916346688156636,0.0441141204614016,NA,0.444272419790269
"9","157","~Julian + 1 ~ S150.mean.VPD__7.8m_Grid.1x1m + S150.mean_MaxHeight + 1",0.681670033488733,1.35743980614953,NA,NA,NA,NA,NA,NA,0.000510816506110001,2.77139612334729e-05,NA,NA,-0.269013848526046,0.132194300839801,NA,NA,2.85074542324712,3.74615254823418,-0.0307519472841183,0.0207922901182981,0,19693993867.8525,49.6107015781732,5,98,109.221403156346,0.916647748242809,0.0441074804607201,NA,0.488379900250989
"10","137","~Julian + 1 ~ S150.mean.VPD__3.4m_Grid.1x1m + S150.mean_MaxHeight + 1",0.681543544475046,1.35724604855643,NA,NA,0.000511077949327307,2.77177377753728e-05,NA,NA,NA,NA,NA,NA,-0.269008515125904,0.132191361949335,NA,NA,2.85102198858092,3.74608551420897,-0.0307529608205512,0.0207924846638988,0,19683991933.9472,49.6108776844288,5,98,109.221755368858,0.916999960753969,0.0440997135414147,NA,0.532479613792403
"11","167","~Julian + 1 ~ S150.mean.VPD__9.10m_Grid.1x1m + S150.mean_MaxHeight + 1",0.68152437990892,1.35694389263349,NA,NA,NA,NA,NA,NA,NA,NA,0.000512189242433961,2.77321054969447e-05,-0.268998123635102,0.132179636363865,NA,NA,2.85109274150216,3.74581572862334,-0.0307529785864008,0.0207917729039329,0,19645384814.891,49.611259079556,5,98,109.222518159112,0.917762751008482,0.0440828973325705,NA,0.576562511124974
"12","127","~Julian + 1 ~ S150.mean.VPD__1.2m_Grid.1x1m + S150.mean_MaxHeight + 1",0.681321817298273,1.35657664525421,0.000512841397796544,2.77412457054256e-05,NA,NA,NA,NA,NA,NA,NA,NA,-0.26898844907165,0.132172954107268,NA,NA,2.85150458363267,3.7456460763749,-0.0307543545562033,0.020791912028253,0,19621317485.9208,49.6116298471218,5,98,109.223259694244,0.918504286140035,0.0440665558536665,NA,0.620629066978641
"13","178","~Julian + 1 ~ S150.mean_MaxHeight + S150.sd_PercCanopyDensity + 1",2.18440311274003,1.79711238924716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.261786635852609,0.113473815708701,-0.0602870410549251,0.0574487915527825,2.83255039092599,3.74000279445774,-0.0309837981583801,0.0211988061594717,0,3232723.88626834,49.8840751742042,5,98,109.768150348408,1.46339494030482,0.0335573460256938,NA,0.654186413004334
