"","model","formula","lam(Int)","SElam(Int)","lam(S500.mean.VPD__1.2m_Grid.1x1m)","SElam(S500.mean.VPD__1.2m_Grid.1x1m)","lam(S500.mean.VPD__10.11m_Grid.1x1m)","SElam(S500.mean.VPD__10.11m_Grid.1x1m)","lam(S500.mean.VPD__2.3m_Grid.1x1m)","SElam(S500.mean.VPD__2.3m_Grid.1x1m)","lam(S500.mean.VPD__3.4m_Grid.1x1m)","SElam(S500.mean.VPD__3.4m_Grid.1x1m)","lam(S500.mean.VPD__4.5m_Grid.1x1m)","SElam(S500.mean.VPD__4.5m_Grid.1x1m)","lam(S500.mean.VPD__5.6m_Grid.1x1m)","SElam(S500.mean.VPD__5.6m_Grid.1x1m)","lam(S500.mean.VPD__6.7m_Grid.1x1m)","SElam(S500.mean.VPD__6.7m_Grid.1x1m)","lam(S500.mean.VPD__7.8m_Grid.1x1m)","SElam(S500.mean.VPD__7.8m_Grid.1x1m)","lam(S500.mean.VPD__8.9m_Grid.1x1m)","SElam(S500.mean.VPD__8.9m_Grid.1x1m)","lam(S500.mean.VPD__9.10m_Grid.1x1m)","SElam(S500.mean.VPD__9.10m_Grid.1x1m)","lam(S500.mean_MaxHeight)","SElam(S500.mean_MaxHeight)","lam(S500.sd_PercCanopyDensity)","SElam(S500.sd_PercCanopyDensity)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","3/4/12","~1 ~ S500.mean.VPD__10.11m_Grid.1x1m + S500.mean.VPD__2.3m_Grid.1x1m + S500.mean_MaxHeight + 1",2.74844711428298,1.32121771282235,NA,NA,34.8707203660481,17.1640429021236,-34.8692956317305,17.1645609100863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.357017367096044,0.110560170129745,NA,NA,-2.34950471165269,1.13031602293705,NA,NA,0,2397226985.53308,48.3867199476531,5,98,106.773439895306,0,0.0339644192355908,NA,0.0339644192355908
"2","6/12","~1 ~ S500.mean.VPD__4.5m_Grid.1x1m + S500.mean_MaxHeight + 1",1.55172299245478,1.27441849222386,NA,NA,NA,NA,NA,NA,NA,NA,0.00131974003357124,0.000587625399774192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.394594577031455,0.136381560349971,NA,NA,-2.18546450378948,1.03113602217046,NA,NA,0,7218600.11154868,49.8348484262663,4,98,107.669696852533,0.896256957226271,0.0216972387298186,NA,0.0556616579654094
"3","7/12","~1 ~ S500.mean.VPD__5.6m_Grid.1x1m + S500.mean_MaxHeight + 1",1.55301715546049,1.27394278175596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00132177567078562,0.000588991771424632,NA,NA,NA,NA,NA,NA,NA,NA,-0.394843510443196,0.136370719564881,NA,NA,-2.18512833034839,1.0309005068833,NA,NA,0,7180474.80457153,49.8352374073152,4,98,107.67047481463,0.897034919324241,0.0216888005563886,NA,0.0773504585217979
"4","5/12","~1 ~ S500.mean.VPD__3.4m_Grid.1x1m + S500.mean_MaxHeight + 1",1.55053558607897,1.27525038254361,NA,NA,NA,NA,NA,NA,0.00132182802330424,0.000589408766805804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.39431580680602,0.136425294773727,NA,NA,-2.1860280370834,1.03148731023746,NA,NA,0,7182808.9064607,49.8352822107212,4,98,107.670564421442,0.897124526136196,0.0216878288460202,NA,0.0990382873678182
"5","8/12","~1 ~ S500.mean.VPD__6.7m_Grid.1x1m + S500.mean_MaxHeight + 1",1.5541077252137,1.27370094629557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001324801137712,0.000591162234681904,NA,NA,NA,NA,NA,NA,-0.395033651311842,0.13637438464018,NA,NA,-2.18497557098342,1.03076042553606,NA,NA,0,7125392.00846926,49.8358287463626,4,98,107.671657492725,0.898217597418935,0.0216759789130723,NA,0.12071426628089
"6","2/12","~1 ~ S500.mean.VPD__1.2m_Grid.1x1m + S500.mean_MaxHeight + 1",1.55015612411315,1.27568532284447,0.00132492258742574,0.000591843694166049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.394207432351366,0.136458636512628,NA,NA,-2.18627721943065,1.03162294721172,NA,NA,0,7127564.68684529,49.8359163881609,4,98,107.671832776322,0.898392881015639,0.0216740792745444,NA,0.142388345555435
"7","9/12","~1 ~ S500.mean.VPD__7.8m_Grid.1x1m + S500.mean_MaxHeight + 1",1.55503299817552,1.27357039926628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00132789862942225,0.00059342645741159,NA,NA,NA,NA,-0.395186207416817,0.136383452308733,NA,NA,-2.18491747281018,1.03066867151252,NA,NA,0,7069739.21108065,49.8364433419445,4,98,107.672886683889,0.899446788582793,0.0216626610451689,NA,0.164051006600604
"8","10/12","~1 ~ S500.mean.VPD__8.9m_Grid.1x1m + S500.mean_MaxHeight + 1",1.55595712927416,1.27349276076475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00133132593377896,0.000595961325592533,NA,NA,-0.395332633472539,0.13639673330285,NA,NA,-2.18491554124719,1.03059577416617,NA,NA,0,7008837.86210699,49.8371336021623,4,98,107.674267204325,0.90082730901841,0.0216477133315371,NA,0.185698719932141
"9","4/12","~1 ~ S500.mean.VPD__2.3m_Grid.1x1m + S500.mean_MaxHeight + 1",1.54994778945753,1.27636715541081,NA,NA,NA,NA,0.00133259636059168,0.000597828841117167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.394104465029596,0.13653252266026,NA,NA,-2.18667748448177,1.03170663845365,NA,NA,0,6990563.74838725,49.8374816867757,4,98,107.674963373551,0.90152347824521,0.0216401794069088,NA,0.20733889933905
"10","11/12","~1 ~ S500.mean.VPD__9.10m_Grid.1x1m + S500.mean_MaxHeight + 1",1.5570402986049,1.27345746058725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00133564567990072,0.000599189914526404,-0.395498306514608,0.136416728839817,NA,NA,-2.1849782136843,1.03053006036181,NA,NA,0,6932987.37163058,49.8380174725576,4,98,107.676034945115,0.902595049808951,0.021628588011995,NA,0.228967487351045
