"","model","formula","lam(Int)","SElam(Int)","lam(S150.mean_MaxHeight)","SElam(S150.mean_MaxHeight)","lam(S150.sd_PercCanopyDensity)","SElam(S150.sd_PercCanopyDensity)","lam(S150.VPD__10.11m_Grid.1x1m.mean)","SElam(S150.VPD__10.11m_Grid.1x1m.mean)","lam(S150.VPD__100.150cm_Grid.1x1m.mean)","SElam(S150.VPD__100.150cm_Grid.1x1m.mean)","lam(S150.VPD__11.12m_Grid.1x1m.mean)","SElam(S150.VPD__11.12m_Grid.1x1m.mean)","lam(S150.VPD__150.200cm_Grid.1x1m.mean)","SElam(S150.VPD__150.200cm_Grid.1x1m.mean)","lam(S150.VPD__2.3m_Grid.1x1m.mean)","SElam(S150.VPD__2.3m_Grid.1x1m.mean)","lam(S150.VPD__3.4m_Grid.1x1m.mean)","SElam(S150.VPD__3.4m_Grid.1x1m.mean)","lam(S150.VPD__4.5m_Grid.1x1m.mean)","SElam(S150.VPD__4.5m_Grid.1x1m.mean)","lam(S150.VPD__5.6m_Grid.1x1m.mean)","SElam(S150.VPD__5.6m_Grid.1x1m.mean)","lam(S150.VPD__50.100cm_Grid.1x1m.mean)","SElam(S150.VPD__50.100cm_Grid.1x1m.mean)","lam(S150.VPD__6.7m_Grid.1x1m.mean)","SElam(S150.VPD__6.7m_Grid.1x1m.mean)","lam(S150.VPD__7.8m_Grid.1x1m.mean)","SElam(S150.VPD__7.8m_Grid.1x1m.mean)","lam(S150.VPD__8.9m_Grid.1x1m.mean)","SElam(S150.VPD__8.9m_Grid.1x1m.mean)","lam(S150.VPD__9.10m_Grid.1x1m.mean)","SElam(S150.VPD__9.10m_Grid.1x1m.mean)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","2/6","~1 ~ S150.mean_MaxHeight + S150.VPD__11.12m_Grid.1x1m.mean + 1",-0.512344401759803,0.355468009786572,0.634083285545431,0.317192607299985,NA,NA,NA,NA,NA,NA,-0.838265340544954,0.375397128502707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.57002028483378,0.422950379862723,NA,NA,0,18.2161347214884,132.344068014348,4,98,272.688136028696,0,0.0157241091412483,NA,0.0157241091412483
"2","2/4","~1 ~ S150.mean_MaxHeight + S150.VPD__10.11m_Grid.1x1m.mean + 1",-0.499494869032875,0.357818989646332,0.521257084972391,0.278129248541896,NA,NA,-0.729558294338824,0.332355153527947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.57931393689775,0.427139687767041,NA,NA,0,18.8793423892623,132.446802383756,4,98,272.893604767511,0.20546873881483,0.0141889114987192,NA,0.0299130206399674
"3","12","~1 ~ S150.VPD__50.100cm_Grid.1x1m.mean + 1",-0.508767037338111,0.329978297902595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.294303022490417,0.166879283788232,NA,NA,NA,NA,NA,NA,NA,NA,-1.51186312351101,0.398716197797845,NA,NA,0,14.0058825132014,133.62952683987,3,98,273.259053679741,0.570917651044169,0.0118193299561565,NA,0.0417323505961239
"4","2/6/12","~1 ~ S150.mean_MaxHeight + S150.VPD__11.12m_Grid.1x1m.mean + S150.VPD__50.100cm_Grid.1x1m.mean + 1",-0.531367976041085,0.357780970251118,0.648591472451762,0.32129591233087,NA,NA,NA,NA,NA,NA,-0.649048637585294,0.404673310513317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.270648463511391,0.237154408547973,NA,NA,NA,NA,NA,NA,NA,NA,-1.57034606674473,0.423956463543951,NA,NA,0,24.9615101390672,131.674619309491,5,98,273.349238618981,0.661102590284827,0.0112982048860191,NA,0.053030555482143
"5","2/14/16","~1 ~ S150.mean_MaxHeight + S150.VPD__7.8m_Grid.1x1m.mean + S150.VPD__9.10m_Grid.1x1m.mean + 1",-0.494907310086674,0.373947105205219,0.556655791795315,0.275256565672217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.613550682732125,0.356170500155345,NA,NA,-1.26337336094999,0.521008526840474,-1.62093927758503,0.444595985171315,NA,NA,0,31.1717210084958,131.698472443663,5,98,273.396944887326,0.708808858629027,0.0110318960657156,NA,0.0640624515478586
"6","2/15/16","~1 ~ S150.mean_MaxHeight + S150.VPD__8.9m_Grid.1x1m.mean + S150.VPD__9.10m_Grid.1x1m.mean + 1",-0.500402867760208,0.373270613945813,0.575494775509211,0.281370481528474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15964059827534,0.6830848553753,-1.88290357495592,0.859010796204076,-1.61850724604347,0.443273214591667,NA,NA,0,98.0486867516375,131.747273809447,5,98,273.494547618894,0.806411590197683,0.010506449991768,NA,0.0745689015396266
"7","2/3/6","~1 ~ S150.mean_MaxHeight + S150.sd_PercCanopyDensity + S150.VPD__11.12m_Grid.1x1m.mean + 1",-0.506863907564162,0.36763427329596,0.969453403074969,0.463616173069968,0.293998028535923,0.292604898171957,NA,NA,NA,NA,-1.02543969994001,0.421458964884874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.60364123845054,0.436452908751075,NA,NA,0,31.8790416399482,131.810754735461,5,98,273.621509470922,0.933373442225729,0.0098602194748953,NA,0.0844291210145219
"8","2/4/12","~1 ~ S150.mean_MaxHeight + S150.VPD__10.11m_Grid.1x1m.mean + S150.VPD__50.100cm_Grid.1x1m.mean + 1",-0.518771921931507,0.359015133411533,0.547620521538409,0.284350338341258,NA,NA,-0.559202418051222,0.365873354569038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25937004088917,0.237382717642323,NA,NA,NA,NA,NA,NA,NA,NA,-1.57827398367273,0.426947827654876,NA,NA,0,25.5714293193305,131.820924821405,5,98,273.641849642811,0.953713614114235,0.00976044839557958,NA,0.0941895694101015
"9","2/14/15","~1 ~ S150.mean_MaxHeight + S150.VPD__7.8m_Grid.1x1m.mean + S150.VPD__8.9m_Grid.1x1m.mean + 1",-0.485237875199788,0.371922875192233,0.492357848009514,0.260330155690598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.70856551538883,0.790941413504338,-2.19885447208602,0.919483029173803,NA,NA,-1.61759211869827,0.443808652849456,NA,NA,0,109.264072382486,131.843296565996,5,98,273.686593131992,0.998457103295095,0.00954451455146494,NA,0.103734083961566
"10","2/13/16","~1 ~ S150.mean_MaxHeight + S150.VPD__6.7m_Grid.1x1m.mean + S150.VPD__9.10m_Grid.1x1m.mean + 1",-0.482427086121392,0.375067579329983,0.528849875760975,0.272657171721616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.415902153073628,0.265397163284564,NA,NA,NA,NA,-1.00137669501147,0.416072529238179,-1.62590231815607,0.447535825810447,NA,NA,0,21.8505071392633,131.881737586774,5,98,273.763475173548,1.07533914485134,0.00918457619095293,NA,0.112918660152519
