"","model","formula","lam(Int)","SElam(Int)","lam(S150.mean_MaxHeight)","SElam(S150.mean_MaxHeight)","lam(S150.sd_PercCanopyDensity)","SElam(S150.sd_PercCanopyDensity)","lam(S150.VPD__10.11m_Grid.1x1m.mean)","SElam(S150.VPD__10.11m_Grid.1x1m.mean)","lam(S150.VPD__100.150cm_Grid.1x1m.mean)","SElam(S150.VPD__100.150cm_Grid.1x1m.mean)","lam(S150.VPD__11.12m_Grid.1x1m.mean)","SElam(S150.VPD__11.12m_Grid.1x1m.mean)","lam(S150.VPD__150.200cm_Grid.1x1m.mean)","SElam(S150.VPD__150.200cm_Grid.1x1m.mean)","lam(S150.VPD__2.3m_Grid.1x1m.mean)","SElam(S150.VPD__2.3m_Grid.1x1m.mean)","lam(S150.VPD__3.4m_Grid.1x1m.mean)","SElam(S150.VPD__3.4m_Grid.1x1m.mean)","lam(S150.VPD__4.5m_Grid.1x1m.mean)","SElam(S150.VPD__4.5m_Grid.1x1m.mean)","lam(S150.VPD__5.6m_Grid.1x1m.mean)","SElam(S150.VPD__5.6m_Grid.1x1m.mean)","lam(S150.VPD__50.100cm_Grid.1x1m.mean)","SElam(S150.VPD__50.100cm_Grid.1x1m.mean)","lam(S150.VPD__6.7m_Grid.1x1m.mean)","SElam(S150.VPD__6.7m_Grid.1x1m.mean)","lam(S150.VPD__7.8m_Grid.1x1m.mean)","SElam(S150.VPD__7.8m_Grid.1x1m.mean)","lam(S150.VPD__8.9m_Grid.1x1m.mean)","SElam(S150.VPD__8.9m_Grid.1x1m.mean)","lam(S150.VPD__9.10m_Grid.1x1m.mean)","SElam(S150.VPD__9.10m_Grid.1x1m.mean)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/3","~Julian + 1 ~ S150.sd_PercCanopyDensity + 1",-0.530584792178214,0.250326324701354,NA,NA,0.556574857382783,0.185748131248256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.18808231931484,0.319384126420766,0.393784990606092,0.209158344709787,0,10.2922647022278,161.740073541302,4,98,331.480147082604,0,0.0972992949667572,NA,0.0972992949667572
"2","3","~1 ~ S150.sd_PercCanopyDensity + 1",-0.609117841011634,0.237705034314792,NA,NA,0.500719921189991,0.182501779111543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.01899270725314,0.299643125466326,NA,NA,0,8.36821110674368,163.426815118697,3,98,332.853630237394,1.37348315478937,0.0489622780439603,NA,0.146261573010718
"3","1/2/3","~Julian + 1 ~ S150.mean_MaxHeight + S150.sd_PercCanopyDensity + 1",-0.522273042545798,0.252948140407488,0.154503927675285,0.237044528796318,0.650086934190424,0.233402457945708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.20514522276991,0.323182676450371,0.398784733098606,0.208091020831162,0,12.2643460356832,161.529342764478,5,98,333.058685528957,1.57853844635247,0.0441910606113103,NA,0.190452633622028
"4","1/3/4","~Julian + 1 ~ S150.sd_PercCanopyDensity + S150.VPD__10.11m_Grid.1x1m.mean + 1",-0.526889951991752,0.250798585892151,NA,NA,0.588601042368692,0.191568674295032,0.100707367966374,0.165761465890742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.19868779715977,0.319656209959774,0.406167398953399,0.209316307717913,0,10.720934803152,161.559206902158,5,98,333.118413804317,1.63826672171263,0.0428908442467864,NA,0.233343477868814
"5","1/3/6","~Julian + 1 ~ S150.sd_PercCanopyDensity + S150.VPD__11.12m_Grid.1x1m.mean + 1",-0.526763036709505,0.250916965273829,NA,NA,0.590054157717804,0.1929616441699,NA,NA,NA,NA,0.0991739063648234,0.169811054194454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.19955376956535,0.319702211049071,0.407222356463807,0.209373920023675,0,10.7872262058099,161.572783596509,5,98,333.145567193018,1.66542011041349,0.0423124634975614,NA,0.275655941366376
"6","1/3/8","~Julian + 1 ~ S150.sd_PercCanopyDensity + S150.VPD__2.3m_Grid.1x1m.mean + 1",-0.546488608730829,0.253348194694058,NA,NA,0.572321064382754,0.193034761067662,NA,NA,NA,NA,NA,NA,NA,NA,0.0775724280445095,0.172248782238741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.17901554307206,0.319716458527362,0.377121842603825,0.213014871837515,0,10.3220116823795,161.639510142797,5,98,333.279020285594,1.79887320298934,0.0395812349755428,NA,0.315237176341918
"7","1/3/16","~Julian + 1 ~ S150.sd_PercCanopyDensity + S150.VPD__9.10m_Grid.1x1m.mean + 1",-0.528475386703095,0.250548289107079,NA,NA,0.577950829050563,0.190880647613582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0721635776671399,0.162629774392493,-1.19419530121033,0.319548128833701,0.40004498052968,0.209159105899224,0,10.6851950151911,161.642851217706,5,98,333.285702435412,1.80555535280826,0.0394492117769909,NA,0.354686388118909
"8","1/3/15","~Julian + 1 ~ S150.sd_PercCanopyDensity + S150.VPD__8.9m_Grid.1x1m.mean + 1",-0.528246355011197,0.250790467744468,NA,NA,0.572752714927083,0.190750913856143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0570568147328054,0.164283178944547,NA,NA,-1.19375364959032,0.320182758127015,0.396805101975448,0.208987565359677,0,10.7039579110334,161.680065826794,5,98,333.360131653587,1.87998457098297,0.0380081061875025,NA,0.392694494306412
"9","1/3/5","~Julian + 1 ~ S150.sd_PercCanopyDensity + S150.VPD__100.150cm_Grid.1x1m.mean + 1",-0.541399680202163,0.253320304734159,NA,NA,0.560068538740405,0.188775208404676,NA,NA,0.0477434334485904,0.175371752685377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.17980037465374,0.319986595578634,0.384773328595447,0.212226779732471,0,10.4227436033062,161.703138714867,5,98,333.406277429733,1.92613034712906,0.0371411890079578,NA,0.42983568331437
"10","1/3/10","~Julian + 1 ~ S150.sd_PercCanopyDensity + S150.VPD__4.5m_Grid.1x1m.mean + 1",-0.527566414524886,0.250510011750801,NA,NA,0.544434182149726,0.190035940296567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0447868412897474,0.176381987266559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.18921343447482,0.319322469261277,0.398634220519297,0.209991336201174,0,10.6619998186273,161.707783216298,5,98,333.415566432595,1.93541934999115,0.0369690866765956,NA,0.466804769990965
