"","model","formula","lam(Int)","SElam(Int)","lam(S150.mean_MaxHeight)","SElam(S150.mean_MaxHeight)","lam(S150.sd_PercCanopyDensity)","SElam(S150.sd_PercCanopyDensity)","lam(S150.VPD__10.11m_Grid.1x1m.mean)","SElam(S150.VPD__10.11m_Grid.1x1m.mean)","lam(S150.VPD__100.150cm_Grid.1x1m.mean)","SElam(S150.VPD__100.150cm_Grid.1x1m.mean)","lam(S150.VPD__11.12m_Grid.1x1m.mean)","SElam(S150.VPD__11.12m_Grid.1x1m.mean)","lam(S150.VPD__150.200cm_Grid.1x1m.mean)","SElam(S150.VPD__150.200cm_Grid.1x1m.mean)","lam(S150.VPD__2.3m_Grid.1x1m.mean)","SElam(S150.VPD__2.3m_Grid.1x1m.mean)","lam(S150.VPD__3.4m_Grid.1x1m.mean)","SElam(S150.VPD__3.4m_Grid.1x1m.mean)","lam(S150.VPD__4.5m_Grid.1x1m.mean)","SElam(S150.VPD__4.5m_Grid.1x1m.mean)","lam(S150.VPD__5.6m_Grid.1x1m.mean)","SElam(S150.VPD__5.6m_Grid.1x1m.mean)","lam(S150.VPD__50.100cm_Grid.1x1m.mean)","SElam(S150.VPD__50.100cm_Grid.1x1m.mean)","lam(S150.VPD__6.7m_Grid.1x1m.mean)","SElam(S150.VPD__6.7m_Grid.1x1m.mean)","lam(S150.VPD__7.8m_Grid.1x1m.mean)","SElam(S150.VPD__7.8m_Grid.1x1m.mean)","lam(S150.VPD__8.9m_Grid.1x1m.mean)","SElam(S150.VPD__8.9m_Grid.1x1m.mean)","lam(S150.VPD__9.10m_Grid.1x1m.mean)","SElam(S150.VPD__9.10m_Grid.1x1m.mean)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/9/10","~Julian + 1 ~ S150.VPD__3.4m_Grid.1x1m.mean + S150.VPD__4.5m_Grid.1x1m.mean + 1",0.722261150409514,0.204304705843904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.595187345867963,0.236186998602194,0.704981191345082,0.229679353547687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.18791915958114,0.265174830088802,-0.294867917401693,0.11839431505404,0,26.3364475078833,334.085024660355,5,98,678.170049320709,0,0.055403824117605,NA,0.055403824117605
"2","1/13","~Julian + 1 ~ S150.VPD__6.7m_Grid.1x1m.mean + 1",0.739787578324648,0.200478097166346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.252554826412267,0.0916009795957531,NA,NA,NA,NA,NA,NA,-1.19655125875244,0.261309055701426,-0.31654207833302,0.116832288259321,0,20.1064277287326,335.30108146621,4,98,678.60216293242,0.43211361171052,0.0446382811625817,NA,0.100042105280187
"3","1/14","~Julian + 1 ~ S150.VPD__7.8m_Grid.1x1m.mean + 1",0.726999176268806,0.198394415966639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.246678450366581,0.0909174338297932,NA,NA,NA,NA,-1.17838024609638,0.258646405380514,-0.306628390041944,0.116960280249059,0,19.5068586517989,335.412871531483,4,98,678.825743062966,0.65569374225629,0.0399169780184194,NA,0.139959083298606
"4","1/9/11","~Julian + 1 ~ S150.VPD__3.4m_Grid.1x1m.mean + S150.VPD__5.6m_Grid.1x1m.mean + 1",0.72264477042193,0.201825639348164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.195965411300639,0.130466210191347,NA,NA,0.36501642992671,0.123633775626309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.18134159595451,0.262491049106228,-0.303189007220557,0.118473964464119,0,22.4492129792809,334.610353102449,5,98,679.220706204897,1.0506568841879,0.032763666628561,NA,0.172722749927167
"5","1/11","~Julian + 1 ~ S150.VPD__5.6m_Grid.1x1m.mean + 1",0.755939560102796,0.20238645926074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.239521870577329,0.0937697429818248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.21355652606028,0.264150070041598,-0.325454780185469,0.116968779755424,0,20.3785354760675,335.776411907746,4,98,679.552823815491,1.38277449478176,0.0277507084993234,NA,0.200473458426491
"6","1/3/13","~Julian + 1 ~ S150.sd_PercCanopyDensity + S150.VPD__6.7m_Grid.1x1m.mean + 1",0.745094280223403,0.199740200552794,NA,NA,-0.0938694461630017,0.0942611067901733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.240675039257842,0.091398068199324,NA,NA,NA,NA,NA,NA,-1.20647292778621,0.259816038283109,-0.332562415837984,0.11778287040338,0,20.6359576776838,334.811849275715,5,98,679.623698551429,1.45364923072009,0.026784517179859,NA,0.227257975606349
"7","1/8/11","~Julian + 1 ~ S150.VPD__2.3m_Grid.1x1m.mean + S150.VPD__5.6m_Grid.1x1m.mean + 1",0.726419153738632,0.202151835892634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.141215795011646,0.106891223555406,NA,NA,NA,NA,0.291134919953572,0.100463428138606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.18398434862984,0.26311740830983,-0.301487324861075,0.118892303190843,0,20.5045100879217,334.877998579114,5,98,679.755997158227,1.58594783751778,0.0250700698911324,NA,0.252328045497482
"8","1/10/11","~Julian + 1 ~ S150.VPD__4.5m_Grid.1x1m.mean + S150.VPD__5.6m_Grid.1x1m.mean + 1",0.729843248649848,0.20138361951376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.280973304303802,0.228363359478882,0.490098667379536,0.221506774876345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.18624680117682,0.262323491740592,-0.311100791252262,0.118043177813347,0,27.9409903136411,335.005202106061,5,98,680.010404212122,1.84035489141252,0.0220755612986304,NA,0.274403606796112
"9","1/3/14","~Julian + 1 ~ S150.sd_PercCanopyDensity + S150.VPD__7.8m_Grid.1x1m.mean + 1",0.730924936264934,0.197505153622044,NA,NA,-0.0831853065447961,0.0936157986498874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.233725398065624,0.0916681332890107,NA,NA,NA,NA,-1.18578519417595,0.257045548699887,-0.320732941272664,0.117905126346768,0,20.0452198494175,335.022259185874,5,98,680.044518371748,1.87446905103911,0.0217022098820764,NA,0.296105816678189
"10","1/7/11","~Julian + 1 ~ S150.VPD__150.200cm_Grid.1x1m.mean + S150.VPD__5.6m_Grid.1x1m.mean + 1",0.732776212817932,0.202271191639069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.119650378495084,0.100327879266708,NA,NA,NA,NA,NA,NA,0.265485620244134,0.0949108076139912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.19049857446851,0.263439010565837,-0.304707882856355,0.118712531118797,0,20.2311792883859,335.051397445135,5,98,680.102794890269,1.93274556955976,0.0210789694305589,NA,0.317184786108748
