SS,mean_MaxHeight,mean_MeanHeight,mean_PercCanopyCoverCut0.1m,mean_PercCanopyCoverCut0.5m,mean_PercCanopyCoverCut1.0m,mean_PercCanopyCoverCut1.5m,mean_PercCanopyDensity,sd_MaxHeight,sd_MeanHeight,sd_PercCanopyCoverCut0.1m,sd_PercCanopyCoverCut0.5m,sd_PercCanopyCoverCut1.0m,sd_PercCanopyCoverCut1.5m,sd_PercCanopyDensity,cv_MaxHeight,cv_MeanHeight,cv_PercCanopyCoverCut0.1m,cv_PercCanopyCoverCut0.5m,cv_PercCanopyCoverCut1.0m,cv_PercCanopyCoverCut1.5m,cv_PercCanopyDensity,kurtosis_MaxHeight,kurtosis_MeanHeight,kurtosis_PercCanopyCoverCut0.1m,kurtosis_PercCanopyCoverCut0.5m,kurtosis_PercCanopyCoverCut1.0m,kurtosis_PercCanopyCoverCut1.5m,kurtosis_PercCanopyDensity,skewness_MaxHeight,skewness_MeanHeight,skewness_PercCanopyCoverCut0.1m,skewness_PercCanopyCoverCut0.5m,skewness_PercCanopyCoverCut1.0m,skewness_PercCanopyCoverCut1.5m,skewness_PercCanopyDensity,strata_00_to_02_returnProportion,strata_02_to_04_returnProportion,strata_04_to_06_returnProportion,strata_06_to_08_returnProportion,strata_08_to_10_returnProportion,strata_10_to_15_returnProportion,strata_15_to_20_returnProportion,strata_20_above_returnProportion,VPD__0.1m_Grid.1x1m.mean,VPD__0.50cm_Grid.1x1m.mean,VPD__1.2m_Grid.1x1m.mean,VPD__10.11m_Grid.1x1m.mean,VPD__100.150cm_Grid.1x1m.mean,VPD__11.12m_Grid.1x1m.mean,VPD__12.13m_Grid.1x1m.mean,VPD__13.14m_Grid.1x1m.mean,VPD__14.15m_Grid.1x1m.mean,VPD__15.16m_Grid.1x1m.mean,VPD__150.200cm_Grid.1x1m.mean,VPD__16.17m_Grid.1x1m.mean,VPD__17.18m_Grid.1x1m.mean,VPD__18.19m_Grid.1x1m.mean,VPD__19.20m_Grid.1x1m.mean,VPD__2.3m_Grid.1x1m.mean,VPD__3.4m_Grid.1x1m.mean,VPD__4.5m_Grid.1x1m.mean,VPD__5.6m_Grid.1x1m.mean,VPD__50.100cm_Grid.1x1m.mean,VPD__6.7m_Grid.1x1m.mean,VPD__7.8m_Grid.1x1m.mean,VPD__8.9m_Grid.1x1m.mean,VPD__9.10m_Grid.1x1m.mean,VPD__Abv200cm_Grid.1x1m.mean,VPD__Abv20m_Grid.1x1m.mean,X,VPD__0.1m_Grid.1x1m.sd,VPD__0.50cm_Grid.1x1m.sd,VPD__1.2m_Grid.1x1m.sd,VPD__10.11m_Grid.1x1m.sd,VPD__100.150cm_Grid.1x1m.sd,VPD__11.12m_Grid.1x1m.sd,VPD__12.13m_Grid.1x1m.sd,VPD__13.14m_Grid.1x1m.sd,VPD__14.15m_Grid.1x1m.sd,VPD__15.16m_Grid.1x1m.sd,VPD__150.200cm_Grid.1x1m.sd,VPD__16.17m_Grid.1x1m.sd,VPD__17.18m_Grid.1x1m.sd,VPD__18.19m_Grid.1x1m.sd,VPD__19.20m_Grid.1x1m.sd,VPD__2.3m_Grid.1x1m.sd,VPD__3.4m_Grid.1x1m.sd,VPD__4.5m_Grid.1x1m.sd,VPD__5.6m_Grid.1x1m.sd,VPD__50.100cm_Grid.1x1m.sd,VPD__6.7m_Grid.1x1m.sd,VPD__7.8m_Grid.1x1m.sd,VPD__8.9m_Grid.1x1m.sd,VPD__9.10m_Grid.1x1m.sd,VPD__Abv200cm_Grid.1x1m.sd,VPD__Abv20m_Grid.1x1m.sd
BG_15_1,11.36717606,7.860887508,81.2129798,72.58356999,70.25617372,68.47764033,79.09465272,7.00843706,5.328396896,27.1826508,33.28720618,34.95734431,35.98986043,24.69325644,61.65504102,67.78365535,33.47082063,45.86052489,49.75697146,52.55709785,31.21988097,1.909299735,2.000984605,5.164291492,2.935729052,2.589242867,2.369085261,4.771636487,-0.127542029,0.110996929,-1.737168987,-1.130294723,-1.012646419,-0.92532411,-1.513978422,0.273185021,0.103624087,0.065730864,0.074293464,0.092615811,0.16890988,0.182507215,0.039133665,0.208504437,0.171219997,0.064680585,0.046318983,0.027460362,0.043608554,0.041260138,0.037722206,0,0.03721838,0.037220223,0.035302725,0.066616329,0.025066467,0.018303316,0.062838385,0.040785703,0.032531595,0.033199269,0.037284441,0.034884427,0.039409037,0.044868722,0.047747089,0.726814982,0.039133665,1,0.309411073,0.276238545,0.1466224,0.112494254,0.085180448,0.108452618,0.108627015,0.102937656,0,0.103835139,0.101372028,0.101318965,0.15842144,0.086796804,0.075978388,0.138936731,0.105275344,0.092151179,0.093027755,0.105470075,0.09292493,0.104388065,0.111061887,0.114398455,0.347645053,0.135575215
BG_15_10,9.655929837,6.706842569,73.78897402,67.61515327,66.61164502,65.75179831,71.62564858,5.218470512,4.067209132,33.84739439,37.03436067,37.29760699,37.55089148,29.08811835,54.04420496,60.64268081,45.87053126,54.7722794,55.99262258,57.11006003,40.61131581,2.184021223,2.037737969,3.062370496,2.238246267,2.158073206,2.082503938,3.105845284,-0.613674116,-0.170263589,-1.205929918,-0.874082254,-0.828271157,-0.785409932,-1.041027632,0.250083361,0.080312069,0.096242575,0.105408392,0.132371503,0.248470078,0.087112031,0,0.208215141,0.183712911,0.041868221,0.068286045,0.019601355,0.061575691,0.061805237,0.056803106,0,0.046261406,0.022266866,0.027542629,0.013136208,0.000171789,0,0.039370578,0.04094149,0.045549511,0.050693064,0.02450223,0.050517116,0.054891276,0.058219168,0.074152335,0.749916642,0,2,0.303175156,0.286572416,0.123369987,0.14515161,0.078021098,0.133177463,0.14224795,0.129730969,0,0.121944979,0.084282135,0.093946084,0.068659984,0.0073623,0,0.113126408,0.108945987,0.115609939,0.126244175,0.087518015,0.119158049,0.125819745,0.123041976,0.156869284,0.325724695,0
BG_15_100,7.41823753,4.494499789,78.76916676,63.40937894,59.44038899,56.73722871,77.22854291,4.397259229,3.170230034,22.84905925,30.63449852,32.66114449,33.94341825,22.28641196,59.27633365,70.53577,29.00761833,48.31225133,54.94773007,59.8256542,28.85773979,1.88610692,2.056278945,4.543298604,2.352726763,2.015220934,1.836086746,4.394409769,-0.115383644,0.287469092,-1.437132702,-0.742939008,-0.595704428,-0.503828483,-1.346662515,0.394235085,0.126863248,0.117411384,0.122253641,0.113710519,0.114558399,0.010967733,0,0.319494262,0.266080989,0.074740824,0.044843589,0.03507397,0.034243027,0.022348592,0.013123192,0,0.006809835,0.039666855,0.002856821,0.001251622,4.52E-05,4.29E-06,0.067486601,0.059376647,0.058560924,0.05885046,0.053413274,0.060709484,0.061544157,0.059761996,0.053948524,0.605764919,0,3,0.321102006,0.285174313,0.137380036,0.095037548,0.082605692,0.085417454,0.07048498,0.054772866,0,0.039584562,0.085445463,0.02596188,0.01878467,0.002801129,0.000941371,0.118860094,0.105312986,0.100611507,0.099076509,0.10669059,0.102357044,0.105530088,0.106142768,0.102654879,0.355003671,0
BG_15_11,5.246554972,2.833747064,62.66138204,43.03286884,39.91290421,37.69933228,62.00053328,4.309085461,2.944024852,25.82085673,31.11623569,31.57643923,31.82905597,25.06499191,82.1317128,103.8915889,41.20696972,72.30806713,79.1133591,84.42869953,40.42705858,2.998581974,4.105785763,2.202508214,1.752561565,1.767313074,1.797642353,2.257079055,0.958534609,1.390645588,-0.455854544,0.158218173,0.279191327,0.366476407,-0.471745381,0.559204508,0.185425812,0.085671019,0.055677312,0.04632968,0.056015496,0.011661177,1.50E-05,0.467049675,0.414856948,0.092154835,0.018534969,0.035706563,0.015466429,0.012540473,0.009473626,0,0.006103881,0.056448272,0.003301571,0.002081303,0.000143975,3.04E-05,0.109955635,0.075470177,0.050402022,0.035268997,0.052192728,0.029251805,0.026425507,0.024472224,0.021857457,0.440795495,1.50E-05,4,0.335577091,0.320744514,0.130899985,0.060271092,0.072228716,0.055576133,0.050454742,0.044378228,0,0.035725029,0.094172672,0.025879084,0.024632845,0.004722792,0.001612953,0.148121595,0.118775152,0.094661143,0.07856417,0.091489133,0.072163655,0.069012996,0.068060374,0.064959632,0.349480535,0.001503234
BG_15_12,5.856039483,3.169459047,70.23447866,52.01410522,48.69567263,46.43011314,69.70305555,3.684314005,2.516206353,25.03083065,31.52029914,32.16188703,32.4395702,24.46542908,62.91477399,79.38914232,35.63894989,60.599522,66.04670455,69.86752348,35.09950732,2.338738354,3.116409962,2.855198823,1.781134015,1.690917077,1.649573222,2.899329515,0.281998703,0.83539784,-0.863570667,-0.254594115,-0.142987234,-0.063681045,-0.861979821,0.475758817,0.17811752,0.138000542,0.105286723,0.062672172,0.038097699,0.002066533,0,0.395824032,0.347402834,0.079934786,0.017696322,0.032127457,0.010931934,0.006332299,0.003137144,0,0.001340733,0.04780733,0.00049167,0.000220661,1.12E-05,2.31E-06,0.09629163,0.081825889,0.072364622,0.06563592,0.048421198,0.057288059,0.047998664,0.036332689,0.026339483,0.524241186,0,5,0.327771067,0.309485699,0.13013555,0.059292712,0.072933172,0.045946956,0.035394116,0.025230424,0,0.0161572,0.091396204,0.009356144,0.007407857,0.001640836,0.000379221,0.143116515,0.123927775,0.112243766,0.105879235,0.093478234,0.0999877,0.094757113,0.083370091,0.072192207,0.342917631,0
BG_15_13,10.0148786,5.713450983,78.2723822,62.88197338,58.79651151,55.69800252,77.6659414,7.235941238,5.01161449,22.76301121,31.35434399,32.60003649,33.2640032,22.20740945,72.25191169,87.71606695,29.08179178,49.86221377,55.44552841,59.72207564,28.59349807,2.127460585,3.063907508,3.95751908,2.207740569,1.955567881,1.804826649,3.971214141,0.467959927,0.920584864,-1.283522879,-0.672147611,-0.523661168,-0.409755105,-1.261439128,0.420809301,0.141272616,0.085508471,0.06779434,0.055760794,0.08860919,0.091452048,0.048793244,0.328600922,0.272311765,0.09220838,0.02437685,0.041094212,0.022820347,0.021239718,0.020172276,0,0.018396172,0.051114167,0.017147069,0.030420297,0.013227588,0.012260922,0.08551047,0.055762147,0.045386431,0.04012204,0.056289157,0.035714961,0.032079378,0.029094582,0.026666212,0.579190702,0.048793244,6,0.31533646,0.289786658,0.140570831,0.067071202,0.081691481,0.065451275,0.06337054,0.062897063,0,0.060613714,0.091106884,0.058877375,0.092536787,0.053467065,0.05283719,0.134275454,0.103047227,0.090996093,0.084646087,0.098588955,0.079689691,0.07520812,0.072287908,0.070168145,0.340428494,0.157068785
BG_15_14,10.23041573,5.862882728,71.47499217,57.05844105,54.2821884,52.37406985,70.58753709,6.449487101,4.59535421,25.19117791,31.07558285,31.63458219,31.88685582,24.34252561,63.04227776,78.38045587,35.24474385,54.46272678,58.27801554,60.88290621,34.48558571,2.00219001,2.590986767,3.067651776,2.020974271,1.897255467,1.826143869,3.070546862,0.106030268,0.640911937,-0.963568046,-0.487261861,-0.399637057,-0.340997709,-0.925618236,0.397380333,0.111220267,0.08632706,0.081681044,0.072149938,0.116742319,0.110739558,0.023759488,0.334566653,0.292561978,0.062813681,0.031623784,0.027389016,0.030342118,0.028240463,0.026535954,0,0.023884346,0.035424665,0.021906024,0.037338031,0.015155771,0.012455386,0.063231244,0.047989023,0.043401034,0.042926025,0.042004675,0.04140334,0.040277704,0.037434277,0.034715661,0.60261967,0.023759488,7,0.316049513,0.297959921,0.117885733,0.073797962,0.067135773,0.075636962,0.073997787,0.07361995,0,0.070456781,0.079519666,0.06992119,0.108290848,0.061196032,0.056268687,0.11735246,0.094870666,0.086724203,0.08512425,0.08750565,0.082063647,0.082242098,0.078859919,0.076671631,0.333793562,0.104805744
BG_15_15,8.704990878,4.741197907,69.55977644,51.90196489,48.9398189,47.19330455,68.99041443,5.951897729,4.084799459,25.13404536,31.53286842,31.98302565,32.13217938,24.350687,68.37339421,86.15543032,36.1330163,60.7546718,65.351745,68.08630946,35.29575406,2.199232848,3.237942529,2.77297932,1.818078214,1.72926636,1.690803331,2.822796952,0.310288118,0.92162362,-0.829602384,-0.285249401,-0.188449654,-0.129630861,-0.817237634,0.456087793,0.120802247,0.090877401,0.079025961,0.070063761,0.105600729,0.063899139,0.013642975,0.396942294,0.35242504,0.0591455,0.031265599,0.024938264,0.028438407,0.024610995,0.021285729,0,0.016957497,0.034207236,0.013422394,0.019052417,0.007616209,0.006850623,0.066043044,0.054759202,0.047991162,0.042886239,0.044517254,0.040562555,0.038463406,0.036254486,0.033809275,0.54391221,0.013642975,8,0.328256066,0.313684036,0.109707691,0.074036795,0.06117709,0.072281347,0.068159515,0.066353351,0,0.059354881,0.075189931,0.054057465,0.077996904,0.045172952,0.043333851,0.118907923,0.101945071,0.090822707,0.083796174,0.088843006,0.080791305,0.079069387,0.077318764,0.075631296,0.3391675,0.081146694
BG_15_16,8.492008147,4.745410242,70.1068128,52.39647613,48.97009051,46.97350118,69.43906206,6.288934486,4.349296177,25.42685369,32.09012012,32.90499674,33.17542595,24.68733735,74.05709435,91.65269081,36.26873434,61.24480593,67.19406969,70.62583184,35.55252133,2.222562835,3.371491752,2.911567654,1.772454807,1.665389674,1.6217651,2.95705254,0.457997231,1.020934779,-0.888728865,-0.282386741,-0.175582123,-0.10953644,-0.873065977,0.464096138,0.124070383,0.092706702,0.075461371,0.063211516,0.086971707,0.078162022,0.015320166,0.399348062,0.34861996,0.064748076,0.026661023,0.028478379,0.02325237,0.019637141,0.017421173,0,0.016345023,0.036269698,0.015376446,0.027318623,0.010802134,0.008319796,0.068394516,0.055675867,0.049174761,0.043531941,0.050728103,0.039396486,0.036064885,0.033064744,0.030146772,0.535903865,0.015320166,9,0.339469414,0.318692049,0.117367272,0.069527674,0.068237196,0.066252878,0.062266859,0.059580594,0,0.060418046,0.078900412,0.059927205,0.095914605,0.052799902,0.047347369,0.121810652,0.103768657,0.094827292,0.087533688,0.09749581,0.082452761,0.078817559,0.075041291,0.072894801,0.352450131,0.08731563
BG_15_17,6.517625237,3.596724572,60.84181352,43.66075681,40.49988257,38.41153344,60.38515911,5.515227182,3.693648294,29.11259654,32.33180381,32.43778555,32.3773678,28.44902943,84.62019495,102.6947774,47.84965283,74.05232106,80.0935299,84.29074526,47.11261815,2.398321132,3.897795787,2.116541942,1.66806837,1.661014012,1.676528925,2.154585317,0.65137576,1.224147474,-0.508792083,0.053789734,0.16188555,0.236822945,-0.505537024,0.534350819,0.139242921,0.086129082,0.063790552,0.048994273,0.078490485,0.044782951,0.004218921,0.45805715,0.405518063,0.076293671,0.021009272,0.032582725,0.019659547,0.01975447,0.018067196,0,0.014753115,0.043710946,0.011961483,0.012990982,0.00284661,0.002230762,0.079096933,0.060145989,0.047182142,0.038946941,0.052539088,0.033745564,0.030044988,0.025949385,0.023044888,0.465649184,0.004218921,10,0.350922205,0.33791083,0.129246165,0.066809933,0.074194268,0.066668267,0.070641655,0.069281522,0,0.063525647,0.089997418,0.058805349,0.069605332,0.027459164,0.02462281,0.13208859,0.110651454,0.094408071,0.083726529,0.100921114,0.078698697,0.075780715,0.070423072,0.067377995,0.358610964,0.047041598
