"","SS","VPC_00.01m_Grid.1x1m","VPC_01.02m_Grid.1x1m","VPC_02.03m_Grid.1x1m","VPC_03.04m_Grid.1x1m","VPC_04.05m_Grid.1x1m","VPC_05.06m_Grid.1x1m","VPC_06.07m_Grid.1x1m","VPC_07.08m_Grid.1x1m","VPC_08.09m_Grid.1x1m","VPC_09.10m_Grid.1x1m","VPC_10.11m_Grid.1x1m","VPC_11.12m_Grid.1x1m","VPC_12.13m_Grid.1x1m","VPC_13.14m_Grid.1x1m","VPC_14.15m_Grid.1x1m","VPC_15.16m_Grid.1x1m","VPC_16.17m_Grid.1x1m","VPC_17.18m_Grid.1x1m","VPC_18.19m_Grid.1x1m","VPC_19.20m_Grid.1x1m","VPC_20m.above_Grid.1x1m"
"1","BG_15_1",4.51235294995914,2.9075794685592,3.16579054289976,2.50690680301345,2.2903465737976,2.31813120341574,2.43856572561462,2.67594512324277,2.88293022756854,3.12759062153537,3.17894002107518,3.20846852287184,3.02265466424295,3.02300822158305,0,2.88043146950063,2.81598497472315,4.40843949436415,2.39061984498042,2.12608507904001,4.76579497287756
"2","BG_15_10",3.85120785283543,2.19263883076443,2.20942652569314,2.52345643366308,2.83051547233346,2.74917732008608,2.94073347757925,3.01549994642011,3.30130510879723,3.74700387015102,3.77718442526569,3.64950610679881,3.74922038601235,3.75678286645493,0,3.53658049267697,3.11670887005566,2.37295701674903,0.113871987379938,0,0
"3","BG_15_100",4.98442535883022,2.69668131351528,2.66469698828283,2.56531983546264,2.53226088184981,2.57348717903306,2.6887105551758,2.76859615584137,2.78508300408948,2.70887753705691,2.58172414407108,2.32967876786622,1.92248918034807,1.5022753201698,0,1.07727075143107,0.685923370538597,0.521543859791253,0.0787962917615763,0.0303233327291181,0
"4","BG_15_11",8.42722117820188,4.42726214755468,5.41667385831449,4.93681799499023,4.57690949032695,4.34324764210109,4.34154039647447,4.50840691332256,4.56631579029489,4.57437944298241,4.38811614598644,4.15110387012233,3.98026651873059,3.61186728048358,0,2.93277768357621,2.22480012485244,2.03480595487959,0.545576202903805,0.2229276947406,0.199155461947591
"5","BG_15_12",8.4239451627285,4.3960225678202,5.11100840350475,4.88002978660331,4.91633114066306,5.17080072587013,5.28384919030948,5.2661144251432,4.88598269169258,4.33814941308567,3.68545870034106,2.94471626115494,2.40326843361117,1.73088675005805,0,1.2555442831747,0.736672433567375,0.606367184193062,0.105980366814053,0.0219308015274089,0
"6","BG_15_13",9.66975738228972,6.00786779307177,6.36385570624605,5.36539789360164,5.12953894178468,4.93014576262077,4.63626796667602,4.45386194510166,4.17693025896451,4.00283905483543,3.75459902094963,3.63874847994327,3.59619959173197,3.53780515837439,0,3.42287957034815,3.34600411229831,5.46788619807396,3.1592807241705,3.19599152319751,9.99671304790606
"7","BG_15_14",8.18476252423989,4.39914800151975,4.67427275008807,4.02462307819745,3.94685001765291,4.01981756043303,4.02305074321308,3.99876611083024,3.88423270451223,3.78904133578032,3.76382190521869,3.75268516547122,3.77680349407631,3.7591962027155,0,3.81754823385309,3.68603686306345,5.98793090737346,3.27121307206888,2.98137967819923,5.46079863474652
"8","BG_15_15",8.24428731289168,3.95745770084284,4.48736479085762,4.16211725681913,3.96311141721986,3.84937731781172,3.84956192506544,3.8718269177611,3.89616940503265,3.87049200592047,3.87716910539929,3.84680543850455,3.64664686531944,3.46233294813213,0,3.20534801130537,2.95439576909199,4.35166899190991,2.49002924571599,2.32288415919618,4.19924231847072
"9","BG_15_16",8.58273056525264,4.06815355536723,4.4820187263743,4.10561390833035,4.02269883330874,3.95437769607716,3.86754121382094,3.87819618888585,3.88693898571001,3.85010381855324,3.71454209139226,3.56344526394045,3.37172701179405,3.21779732374561,0,3.1439304287012,3.10649726400956,5.30872300828353,3.04206284004906,2.70572918011905,4.7616017766149
"10","BG_15_17",7.74284775900452,3.91107125798565,4.29789597075812,4.13427923164712,3.91198066853138,3.74423762455513,3.6693332741727,3.54219419648757,3.29906956578115,3.09868747382167,3.03239041826337,2.96230445356101,3.05142974481614,2.9544354208465,0,2.72449856022594,2.41600974085272,2.83879039137885,1.11220486267608,1.00319024989868,1.91426112255123
"11","BG_15_18",3.39644535410118,0.00753987236272804,0.00753987236272804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","BG_15_19",9.29973861601906,4.73281306874105,5.30699567646312,4.89576531025001,4.69394678450831,4.61667255467617,4.43618319957253,4.16646105196607,3.86448742605886,3.53847107466579,3.10463931257579,2.75048969960135,2.86268707706855,3.3545073982163,0,3.86320446162018,4.34690542430311,7.29834033192448,3.47600719423986,3.04347009367173,5.03025006200646
"13","BG_15_2",5.15382172682942,2.66060426710766,3.19464356907893,3.18904640828754,3.05766299412732,2.95815990997374,2.81664110480834,2.65233656455681,2.33430117875369,1.89209951231897,1.54662014796634,1.13727798774214,1.00507413238763,0.595962920059933,0,0.370258819859538,0.13151046396557,0.129280530775237,0,0,0
"14","BG_15_20",6.54027096056704,3.66665159940258,4.5662861107643,4.46853153043498,4.66307633725251,4.78792292333127,4.84402516213402,4.95591942913545,5.15480535547444,5.20604795675384,5.04426961801903,4.66704991341539,4.19903095762776,3.8363216892062,0,3.61846754503424,3.69737152244175,5.62390560008641,3.04142528309704,2.83506495137081,4.55914623042068
"15","BG_15_21",5.00318234101842,2.6201892245389,2.84377626037085,2.34901554981917,2.19361054310551,2.08401639017744,2.08582539511941,2.14932295742396,2.24465819906099,2.32816846942281,2.4047825478571,2.41053806364536,2.38800036191007,2.26961704702959,0,2.02913184574773,1.68690631540513,2.39165326629131,1.24389746747383,1.09818108721939,1.77982061065879
"16","BG_15_22",4.6983548303653,2.41008917487906,2.79953791391338,2.66182990112391,2.65922374452067,2.47141315450468,2.34305078735771,2.24346787005835,2.11649447782245,1.9969891960976,1.8154955784631,1.66613900111902,1.46104188343351,1.26384665309122,0,0.996386012074424,0.769648724654961,1.13380735856851,0.678148054981615,0.726957206764762,1.19995355908759
