"","SS","VPC_00.01m_Grid.1x1m","VPC_01.02m_Grid.1x1m","VPC_02.03m_Grid.1x1m","VPC_03.04m_Grid.1x1m","VPC_04.05m_Grid.1x1m","VPC_05.06m_Grid.1x1m","VPC_06.07m_Grid.1x1m","VPC_07.08m_Grid.1x1m","VPC_08.09m_Grid.1x1m","VPC_09.10m_Grid.1x1m","VPC_10.11m_Grid.1x1m","VPC_11.12m_Grid.1x1m","VPC_12.13m_Grid.1x1m","VPC_13.14m_Grid.1x1m","VPC_14.15m_Grid.1x1m","VPC_15.16m_Grid.1x1m","VPC_16.17m_Grid.1x1m","VPC_17.18m_Grid.1x1m","VPC_18.19m_Grid.1x1m","VPC_19.20m_Grid.1x1m","VPC_20m.above_Grid.1x1m"
"1","BG_15_1",5.66619747843294,3.12338705716199,3.58335093311076,3.20979884531219,3.00948760171267,2.90970126283371,2.91929660148059,2.96630250227888,3.03523280874855,3.09513681553857,3.08239245003433,3.075227759888,3.01798459699306,2.93354242820996,0,2.75223603213577,2.62286288863409,4.16202075243521,2.53514203319582,2.5810521517978,6.50909592679655
"2","BG_15_10",4.8104420539516,2.75085042311137,3.23645312406813,3.10431238148933,2.9885498114041,2.80947245093497,2.65987241217949,2.5685661763635,2.46944062762106,2.36988164998238,2.25522168163345,2.13158692582411,1.96848762803642,1.7324265137357,0,1.47493465773303,1.20746548869152,1.60839989938496,0.856384848898523,0.764340251766877,0.968153257252115
"3","BG_15_100",5.41751794543591,3.24845374747728,2.84163324434159,2.52194329179928,2.42597751435517,2.40347681864364,2.40987812003664,2.42423271983233,2.409014799655,2.35747981596615,2.24821975245104,2.11366145504252,1.95596343367808,1.79868855747891,0,1.61414037169758,1.42086778744836,2.05456919534209,1.10626771164764,1.04002541322424,2.3902015732651
"4","BG_15_11",7.28664024436692,3.64845146191374,4.4326675357317,3.98580579436192,3.5972632050283,3.3519610869041,3.21319251563985,3.18214427056317,3.20815567627368,3.22092506549833,3.20871278230212,3.1247862021729,3.0015346695279,2.82131730964652,0,2.56243063145586,2.29426772190749,3.32989479552183,1.78446184329341,1.73773815206886,4.21679047307794
"5","BG_15_12",7.94714778719159,3.94930801328012,4.76087635145563,4.35173571142843,4.03019391522596,3.7670192952614,3.48542484351557,3.2184416128742,2.95645593206677,2.71097097345869,2.49542187587754,2.2874655915223,2.13893613444935,1.98175088295464,0,1.88727332711831,1.83143142091199,2.9920077867689,1.78132927561844,1.72808578902917,4.27006842431643
"6","BG_15_13",8.45885054203867,4.54648133839698,5.05312239981504,4.38130415902962,4.09725585482482,3.87680901812472,3.6897648968943,3.49084862520623,3.32030934636626,3.15698380401369,3.02117397308363,2.89098804926218,2.78540847533913,2.6939585887859,0,2.67436904469516,2.60304459172584,4.34728273779831,2.50535600494385,2.43571070422925,8.14913715925921
"7","BG_15_14",7.55458439317333,3.91072797213191,4.40380654675526,3.92528672365237,3.73406912596706,3.57779164597085,3.48223944628744,3.34811525445789,3.23688842404743,3.05578771896223,2.91990144582117,2.80531337485759,2.69620315867366,2.57268483322976,0,2.50722608818046,2.35010485359467,3.65937841153197,1.87876996457049,1.68908430991405,3.73859778839062
"8","BG_15_15",7.27358101916727,3.48618393546948,3.9938528217729,3.7693918705821,3.68258731877282,3.57296489133624,3.43851735510986,3.32209348665076,3.1907432868341,3.0406314052735,2.93972030711386,2.85221244518855,2.77560062108197,2.72323303809312,0,2.69042261954246,2.64958476604659,4.19035718421807,2.29756300700194,2.19836983797648,4.81252533118217
"9","BG_15_16",7.39286505509468,3.70231974948003,4.18403789216873,3.751489836238,3.56642531884865,3.47908998008704,3.35831922801356,3.27650193652192,3.18268586906761,3.09967800147216,3.03411532354989,2.94585781937206,2.90787888840295,2.89071409640309,0,2.84827396824574,2.83268145846747,4.57845669123442,2.63244058139031,2.67378130645546,6.92437006567064
"10","BG_15_17",7.02165022485557,3.44980460353599,3.85389085680685,3.39470722639005,3.1354536122137,2.97689702771581,2.84451967259202,2.75890836347941,2.67192173377363,2.59849022622238,2.56894816956205,2.55718048728616,2.57002648087852,2.57251438903849,0,2.48922541968564,2.40207977049781,3.49261448778425,1.74135577489126,1.61328015219023,4.16105037674203
