,SS,mean_MaxHeight,mean_MeanHeight,mean_PercCanopyCoverCut0.1m,mean_PercCanopyCoverCut0.5m,mean_PercCanopyCoverCut1.0m,mean_PercCanopyCoverCut1.5m,mean_PercCanopyDensity,sd_MaxHeight,sd_MeanHeight,sd_PercCanopyCoverCut0.1m,sd_PercCanopyCoverCut0.5m,sd_PercCanopyCoverCut1.0m,sd_PercCanopyCoverCut1.5m,sd_PercCanopyDensity,cv_MaxHeight,cv_MeanHeight,cv_PercCanopyCoverCut0.1m,cv_PercCanopyCoverCut0.5m,cv_PercCanopyCoverCut1.0m,cv_PercCanopyCoverCut1.5m,cv_PercCanopyDensity,kurtosis_MaxHeight,kurtosis_MeanHeight,kurtosis_PercCanopyCoverCut0.1m,kurtosis_PercCanopyCoverCut0.5m,kurtosis_PercCanopyCoverCut1.0m,kurtosis_PercCanopyCoverCut1.5m,kurtosis_PercCanopyDensity,skewness_MaxHeight,skewness_MeanHeight,skewness_PercCanopyCoverCut0.1m,skewness_PercCanopyCoverCut0.5m,skewness_PercCanopyCoverCut1.0m,skewness_PercCanopyCoverCut1.5m,skewness_PercCanopyDensity,strata_00_to_02_returnProportion,strata_02_to_04_returnProportion,strata_04_to_06_returnProportion,strata_06_to_08_returnProportion,strata_08_to_10_returnProportion,strata_10_to_15_returnProportion,strata_15_to_20_returnProportion,strata_20_above_returnProportion
1,BG_15_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,BG_15_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,BG_15_100,8.806374652,5.525248157,79.70330873,70.67532449,69.29699666,68.32757698,77.03427079,3.441083047,2.66643547,22.57383333,27.28826736,28.02850683,28.46845436,21.77668566,39.07491088,48.25910791,28.322329,38.61074223,40.4469287,41.66466253,28.2688282,3.179572931,2.341102886,5.248097466,3.476978437,3.268903212,3.142844751,4.988424363,-0.842660705,-0.321342272,-1.619063316,-1.161162849,-1.102490793,-1.061836768,-1.482916149,0.24223865,0.118904113,0.149732881,0.177705173,0.174044,0.134718261,0.002656932,0
4,BG_15_11,5.272840418,2.829035378,63.47674978,42.58088567,39.44975818,37.36049883,62.92087041,4.189036046,2.911004836,24.16980683,29.30720851,29.55047425,29.73430222,23.56960631,79.44553056,102.8974349,38.07662949,68.82714638,74.90660429,79.58754072,37.45912312,3.211037397,4.654948639,2.347494211,1.853422457,1.87573922,1.901406684,2.386584712,1.021652052,1.535730225,-0.492219056,0.107910894,0.231828915,0.318210547,-0.498012953,0.550600369,0.199796817,0.095463564,0.047688592,0.033549503,0.059496235,0.013404925,0
5,BG_15_12,5.535927336,2.90053576,72.94288617,52.56944515,48.16178414,45.35521759,72.60367775,3.36956321,2.249567507,22.80943065,30.504207,31.47988494,31.87007094,22.42634545,60.86718639,77.5569651,31.27026068,58.02649603,65.36278816,70.26770598,30.88871824,2.400626233,3.285630179,3.097410188,1.857875,1.725004061,1.673858155,3.116617109,0.266182766,0.869578235,-0.921896204,-0.276773329,-0.127193076,-0.029670414,-0.917072603,0.499966208,0.180399578,0.148393562,0.096070454,0.051060723,0.02339335,0.000716129,0
6,BG_15_13,9.317993889,5.248292186,79.0219394,64.12351741,60.15313054,57.13102567,78.36706539,5.614182919,3.932741628,21.74394396,30.35295648,31.67777524,32.51403678,21.14704452,60.25098306,74.93374013,27.51633802,47.33513959,52.66188966,56.91134789,26.98460688,1.98565395,2.636193115,4.189750741,2.387388868,2.099863129,1.916120379,4.174416435,0.080641779,0.61896792,-1.330646822,-0.755184251,-0.603674667,-0.48732043,-1.296387066,0.397878239,0.127235335,0.104450853,0.088416952,0.070901101,0.125377217,0.081773478,0.003966831
7,BG_15_14,9.765961829,5.608519982,74.90370322,61.23143292,58.87312293,57.04945277,73.6255026,5.499122519,4.029449644,23.05997826,29.17455726,29.87688885,30.38199544,22.31563666,56.30907242,71.8451509,30.78616579,47.64637355,50.74792599,53.25554227,30.30965613,2.243789504,2.67818704,3.806569752,2.394944888,2.23033562,2.116764589,3.802477646,0.104857688,0.625116651,-1.192374415,-0.687703611,-0.606183895,-0.54411033,-1.148409231,0.361262048,0.121935554,0.108851856,0.103898536,0.085939336,0.119805423,0.091783654,0.006523599
8,BG_15_15,7.297414228,3.64725757,63.98016031,44.51376937,41.56124967,39.92956222,63.81829977,4.982279011,3.092234457,26.41038561,31.38531153,31.42768286,31.34786389,25.66654736,68.27458131,84.7824536,41.27902381,70.5069734,75.61775237,78.5079078,40.21816228,1.795112101,2.431713653,2.301589349,1.666900903,1.642452314,1.642286187,2.35633486,0.042533756,0.647808233,-0.583580141,-0.040501514,0.053014352,0.113273446,-0.584627759,0.519179922,0.112381206,0.086693146,0.085344324,0.082437851,0.098634483,0.015329072,0
9,BG_15_16,7.590571904,3.867865869,71.86393478,53.54820562,50.18032573,48.19246624,71.23953929,4.39071821,2.819995843,23.29535537,30.46350478,31.25654317,31.6156413,22.43506639,57.84436622,72.90831528,32.41591967,56.88987041,62.28844216,65.60287067,31.4924361,1.967471351,2.284975604,3.106358703,1.898519522,1.763477651,1.696913238,3.173666305,-0.16646702,0.440574954,-0.950450386,-0.393334856,-0.289961904,-0.223033312,-0.940582862,0.463068991,0.12779512,0.109014392,0.105465121,0.098762292,0.088606492,0.007287597,0
10,BG_15_17,4.11243777,1.992536269,60.51418933,40.00431408,36.59447697,34.20769916,60.37604987,3.219754323,1.83823188,28.97359697,32.64412546,32.33773615,31.87391777,28.6804569,78.29308315,92.25588054,47.87901365,81.60151277,88.36780528,93.17761368,47.50303633,2.305892628,3.720698959,1.950654751,1.598138959,1.643271883,1.704299782,1.973310028,0.45370887,1.024750809,-0.440097593,0.158427839,0.281406078,0.373297155,-0.452696981,0.621695448,0.17695959,0.111061748,0.06340896,0.020738299,0.005799529,0.00033643,0
